Features	REF	HET.1	HET.2	HET.3	KO.1	KO.2	KO.3	WT.1	WT.2	WT.3
MYL6	0	0.8	0	0	4.1	0	3.8	2.1	1.5	7.3
MYO1B	0	1.8	0.8	0	0	0	0.9	1.5	0	0.8
NACA	2.9	1.8	0	0.6	0	1.4	0	0.4	0	2
NACAD	0.8	0.4	0	0	0	1.1	0	0	0	2.1
NCAM1	5.6	5.9	3.7	1.4	7.3	9.8	7.8	2.3	7.6	6.1
NCAM2	18.6	23.5	27	22.6	24.4	25.2	16.6	26.1	19.6	8.2
NCL	7.6	8.9	0	0	2	6.8	0	5.1	0	9.3
NCSTN	6.1	3.6	8	5.5	9.1	10.7	4.1	7.3	7.3	5.1
NECTIN1	1.8	0	0.2	0	1.8	0	1.8	1.5	0	0
NECTIN2	4.9	5.1	5.1	3.6	1.8	0.2	0.8	5.1	4.8	0
NEFL	3.9	0	0	0	0	0	0	0	2	0
NEFM	7	3.9	0.6	0	0	2.5	0	4	8	1.7
NFASC	1.8	2.3	0	0	1.1	0	2.5	2.4	0.8	0
NIPSNAP1	0.9	0.8	0	2	0	2	0.2	0	0	0.8
NLGN2	0.6	0	0	2.5	0.8	0.2	0.2	0	0.2	0
NME1-NME2	8.7	16.9	19.1	27.8	19.6	26.1	15.3	9.3	24.4	17.4
NONO	33.3	0	0	0	0	2.5	0	0	0	10.1
NOP56	5.1	0	0.4	0	0	2.5	0	0	0.2	0
NOTCH2	5.3	0	0	0.8	0.6	0.2	0	0	0	0
NPEPPS	0	8.1	8.7	16.6	5.1	9.7	4.1	6.8	9.7	2.5
NPM1	12.9	5.1	2.5	0.4	1.8	7.1	4.8	2.9	3.6	5.6
NPTN	1.1	0	4.1	2.9	2.9	5.5	1.5	3.3	6.1	1.8
NRCAM	18.2	15.6	7.3	1.3	21.2	13.8	20.1	17.4	4.8	13.2
NTRK2	4.3	0.8	2.3	1.8	2.5	0	0	1.7	0	0.8
NUCB1	0.8	0.8	0	3.8	0	0	0	0	0	0
NUDC	0	4.8	8	0	2.5	0	5.1	4.3	7.5	0
NUP43	2	0	0	0	0	0	0	0	1.8	0.2
NUP50	0	0	3.5	0	0	1.8	1.8	0	1.4	1.4
NUP54	0	1.1	1.1	0.9	0	1.5	0	0	1.5	0
OLA1	0	0	0.9	0	0	0	0.8	0	2.6	0
OPA1	0	1.5	1.3	0	0.8	0	0	0	1.1	0.4
OSBPL8	1.8	0	0	0.4	2.5	0	0.8	1.8	0	0
P4HB	0.8	0.9	0.6	0.8	2.1	2.6	2	1.8	0	1.4
PA2G4	0	2.5	0	1.8	0	0.4	0	0	0	0
PABPC1	4.4	3.8	0	0.2	2.1	0	6.3	2.3	2.1	3.8
PAFAH1B2	0	1.7	2.5	0	0	0	0	0	0	0
PAICS	3.6	5.2	3.8	2.3	5.1	1.8	6.1	4.9	8.1	3.8
PARK7	0	0	2.4	7.8	2.5	7.6	1.8	0	0	0
PCBP1	4.2	5.4	4.8	5.5	3.9	6.6	3.3	4.3	8.6	6.5
PCBP2	9.9	4	4.5	1.8	0	6	2.5	4.8	0	5.1
PCMT1	2.5	8	5.5	10.8	6.5	8.1	2.1	4.1	3.9	5.3
PDCD6	2.5	0	0	1.1	0	0	0.4	0	2.5	1.5
PDCD6IP	0	2.3	5.1	1.8	3.3	0.4	1.8	1.8	0	0
PDIA3	3.3	20.1	23.5	14.4	23.5	16.2	27.8	16.6	23.5	11.5
PDIA6	2	1.1	0	1.5	3.2	1.8	4.8	2.5	0.8	2.5
PEBP1	0	0.8	2.5	3.1	4.1	2.4	0	0	0	0
PFAS	7.4	4.8	8.9	14.7	6	6.1	4.2	6.6	7.3	6.3
PFDN2	0	1.5	1.5	0.2	1.8	4.1	0.6	0	0.2	0
PFKM	1.8	0.8	0	0.8	0.9	0	2	0.4	0	0.2
PFKP	0.8	0	0.4	0	0	0	0.8	1.8	0	0
PFN1	7.2	9.2	16.6	17.4	15.1	15.9	12.7	10.3	15	13.3
PFN2	1.5	1.8	6.3	7.6	5.9	5.6	5.2	4.1	4.9	3.7
PGAM1	0	5.3	12.4	11	6.1	6.8	4.1	5.2	5.5	6.1
PGD	0	0	2.2	2.5	0	0	0	0	0.8	3.5
PGK1	11	6	8.5	6.8	9.9	8.6	8	10.1	2.9	10.8
PGLS	0	0	1.9	0	0	0	0.8	0	2.1	1.1
PGRMC1	0	0.6	0.2	0	0	0.8	0	0	0.8	0
PGRMC2	0.9	4.1	4.1	4.1	0.2	0	0	0	5.2	1.5
PHB	1.5	6.1	4.8	0	6.1	0.8	6.9	6.1	0	5.1
PHB2	1.3	5.1	0.4	0	2.3	0.8	5.2	7.4	0	1.8
PHGDH	4.8	14.7	16.2	17.8	12.2	11.5	18.2	13.2	10.3	12.2
PIN1	0	0	0	1.8	4.1	0	1.1	0	0	0
PIP	2.4	0	5.1	1.8	1.8	7.3	1.8	3.2	7.8	4
PKM	14.4	17.4	15	6	22.6	10.3	22.6	19.6	9.1	18.2
PLD3	0	0	6.5	4.1	2.2	0.6	0	0.8	0	2
PLXNA2	0	0.2	0	0	5.2	0	5.5	7	0	0
PLXNB2	3.2	5.7	1.8	0	5.3	0	2.9	5.5	2.5	1.8
PMPCA	0	0	2	1.5	0	0	0	0	1.8	0
PMPCB	0	4.4	6.1	10.6	3.3	0	4.9	1.1	4.1	4.2
PPAT	0	0	0	0.2	0.4	2	0	0.8	1.1	1.7
PPIA	20.1	11.5	19.6	15	15.9	16.9	17.4	17.4	19.1	21
PPIB	0	4.1	4.1	0	3.8	6.8	8.2	2.5	5.1	5.2
PPM1A	0.6	0	0	0	0	0	0	0.8	2.9	0.4
PPM1G	1.1	0	0	0.9	0	0.8	0	0	0	0.8
PPME1	0	0	3.8	0	2.3	2.5	0	1.5	3.3	0
PPP1CA	0	0.8	0	1.9	0	0.9	0.4	0	0	1.8
PPP2CB	0	0	0.8	1.1	0	0	0	0	0.8	1.5
PPP2R1A	2.5	3.8	9.8	7.5	12.7	4.8	7.2	6.1	6.8	9.9
PPP2R2A	0	0	1.8	1.8	0	0	0	0	1.8	0.2
PRAF2	0	0.2	0	0	0	0	1.8	0	0	0
PRDX1	16.2	20.7	31	28.4	21	22.6	25.2	24.4	28.4	19.6
PRDX2	8	13	21.2	19.6	20.7	12.2	18.6	14.7	17.8	22.6
PRDX3	0	5.1	8.1	15.9	6.3	8.1	7.3	3.3	6.1	7
PRDX4	3.2	15.1	21	18.6	13.5	14.7	14.2	11.3	21.7	8.1
PRDX5	0.8	0.8	5.6	8.5	1.1	4.1	2.1	0	7	2.1
PRDX6	0	4.8	11.1	6.3	7.8	4.1	4.1	2	0.8	3.7
PRKACA	0	0	1.8	0	1.1	0	0	0	0	0
PRKCA	0	9.9	11.6	12.2	2.5	3.1	4.8	4.1	10.1	2.9
PRKDC	6.1	1.1	0	0	0	0	3.5	0	0	0.8
PRXL2A	0	0	0	4.1	2.3	0.8	3.2	0	0.8	0.2
PSMA7	0	0	0	0	0.8	1.1	1.3	0	2.1	0.4
PSMB5	0.4	1.1	1.3	2.5	0.6	1.3	0	0	1.1	0
PSMB6	0.8	0	2.1	0	0	0	1.5	1.4	0	2.1
PSMC1	0	0	0	0	0.4	0.8	0.4	0	0	0
PSMC3	0	2	0	0	0.4	3.3	3.3	0	0	2
PSMC5	0	0	0	0.6	0	0.6	0	0.6	2.5	0
PSMC6	0	0	0.2	1.8	0.2	0	0.8	0	0	0
PSMD1	0	0	0	1.4	0.6	0.8	0	0.8	0	0
PSMD11	0	0	0	0	0	0.8	0.4	0	0	0.8
PSMD2	0.4	0	0	0.8	2	0	0	0	0	0
PSMD6	0.8	0	0	0.8	0	1.4	0.2	0.2	0	0
PSMD7	0.8	0	0	0	0	1.8	0	0.4	0	0
PSME1	2.5	4.1	2.4	0	2.9	2.5	3.3	2.5	2.4	5.1
PTBP1	9.1	0	0	1.7	0	0	0	0	0	1.3
PTGFRN	3.7	8.1	5.1	7	7.1	7.4	0.2	6.8	0	2.4
PTK7	3.7	5.1	0	0.8	4.8	4.1	2.5	6.1	0	1.8
PUF60	1.8	0	0	0	0	0.9	0	0	2.5	0
PVR	4.5	3.3	5.9	10.5	6.8	9.9	0.9	5.2	8.7	2.1
PYCR1	0	1.3	0	1.8	0.2	0	1.3	0.2	0	0
RAB14	0	0.8	12.2	13.5	4.8	6.1	5.9	3.3	3.7	5.4
RAB27B	0	0	2	1.8	0	1.4	0	0.2	0	0
RAB2B	0.4	0.9	5.4	0	4.8	0	2.9	0	4.3	0.2
RAB5C	0.4	1.5	7.1	7.3	2.1	7	6.5	2.3	9.4	6.6
RAB7A	0	1.4	0	5.4	1.4	4.8	1.5	1.8	3.6	2.9
RAC1	0	0	1.8	2.1	0.8	0	1.1	1.4	0	0
RACK1	2.9	4.1	0	2.6	1.8	0	2.5	3.7	1.8	0
RALY	11.3	0	0	0	0.2	2.9	0	0	0	0
RAN	0	0.8	0	0	0	2.3	0	1.8	0.2	0.6
RANBP1	1.8	0.8	0	0	0	0.2	0	0	0	0
RARS1	0.8	0	0	0	0	0.6	3.8	0.2	2	0
RBBP4	8.9	0	0	0	0	0.4	0	0	1.1	7.4
RBBP7	6.3	0	0.4	0	0	0	0	0	0	5.2
RBM14	7.5	0	0	0.4	0.4	0	0	0	0	2
RBM3	2.5	0	0.2	0.8	0	3.2	0	0	0.4	0
RBM39	2	0	0	0	0	2.3	0	0	0	0
RBM4	0	0	1.5	1.5	0	0	0	0	2.6	2
RBMX	20.7	0	0.8	0	0.4	0	0	0	0.8	15.9
RBP1	0	0	0	0	1.8	1.8	0	0	2	0.2
REEP5	0	0.8	0	4.2	0	2.9	0	0	2.9	0
RET	11.5	7.4	2.9	4.5	9.4	9.3	6.1	6.4	1.4	5.4
RHOA	0.2	0	0	0.4	0	0	0.8	0	0	0
RNPEP	0.8	1.5	7.6	3.8	1.8	2.1	1.9	0.2	4.2	0
RPL10	2.1	1.4	0	0.2	0	0.8	1.4	2.5	2.3	0.2
RPL10A	0	2.5	0	0	2.5	0.4	0.9	0.8	0	0
RPL11	0.2	0	0	2.2	0.9	2.5	1.3	0.8	0.8	0
RPL12	1.1	3.1	0	0.9	0.8	0	1.5	1.8	2	2.5
RPL13	5.5	2.9	2.1	0	5.1	4.4	5.1	3.6	3.5	2.6
RPL14	4	2.4	1.7	0.9	4.5	0	5.1	3.8	0	0.4
RPL15	3.8	4.3	0	2	0	0	1.3	0	0	1.8
RPL17	0	2.5	0	0	4.1	0	0.4	0	0	0
RPL18	5.1	5.5	0	3.8	6.3	0	5.1	7.4	3.7	2.5
RPL18A	0	0	0	0	0	2.5	0.4	0	0	0
RPL19	0	0.8	0	1.8	0	0	0	1.8	0	0.9
RPL21	5.1	5.1	4.4	1.7	5.1	0	3.8	4.1	0	0
RPL23	4.1	4.1	0	1.8	3.6	4.1	6.3	5.1	0	3.8
RPL23A	2	2.9	1.8	0.4	2.1	0	4.2	2.9	4.1	2
RPL24	2.5	4.1	3.1	0.2	3.2	0	4.1	2.3	0	2.4
RPL27	3.1	2.5	0	0	2.9	0.9	3.8	0	4.1	1.8
RPL27A	2.5	2	0	0	0	0	1.4	0	0	0.2
RPL28	0	0.8	0	0.8	0.8	0	1.8	1.1	1.4	0
RPL3	0	3.5	0.8	0	0.2	0	2.5	1.8	1.8	2.5
RPL30	1.7	3.2	0	0	3.6	0	2.9	0.2	2	0
RPL31	0.8	1.5	0	1.8	0	0.8	2.5	2.5	2.5	1.8
RPL32	0	1.5	0	0	0.8	0	1.8	1.8	0.4	0
RPL35	0.8	1.8	0	0.6	0	0	0.4	0.4	0.4	0
RPL36	0	0	0	2.1	1.1	0	1.8	3.6	0	0.8
RPL4	12.5	10.7	2.3	0	4.5	0	9.4	7.8	0	4.8
RPL5	0.2	1.8	0	1.1	1.5	0	4.1	1.4	0	0
RPL6	6	9.7	3.3	0	5.1	3.8	7	6.3	1.3	5.5
RPL7	0	2.5	0	1.4	4.1	1.8	5.1	2.5	0	0
RPL7A	5.9	5.4	7.8	0	6.1	0.9	9.8	8.1	7.8	4.8
RPL8	0.8	2.3	0.8	0	2.5	0	1.4	3.2	1.4	0.8
RPLP0	0.8	6.8	3.2	0	4	0	3.6	4.9	0.2	2.3
RPLP2	6.9	5.8	5.2	4.1	2.9	4.3	6.8	4.4	3.8	8
RPN1	0	1.8	0	0	0.8	0.2	6.8	5.4	0.9	1.5
RPS10	0	2.5	0	0	0	0	2	0	1.3	0
RPS11	4.1	7.2	0	1.8	5.9	0	8.9	3.2	0	4.3
RPS12	2.3	13.2	17.4	20.1	16.2	14.4	22.1	15.6	25.2	7.8
RPS13	0	2.5	0	0	1.3	0	0.8	0.9	0	0
RPS14	8.5	10.8	4.1	0	7	5.2	9.2	5.1	5.1	5.2
RPS15A	0	0	0	0	2	0	1.7	0	0	0.8
RPS16	5.1	7.1	0	2.9	5.5	4	10.7	5.1	6.1	1.3
RPS17	3.2	2.6	2.1	1.8	2.5	1.5	2.3	3.8	0.2	2
RPS18	5.1	8	2.9	7.8	8.2	7.8	8.6	9.7	13	6.1
RPS19	0	2.9	0	0	3.8	0	4.1	4.1	0	0.8
RPS2	8.9	11.8	3.2	0.2	6.8	0	10.3	10.7	3.2	0.4
RPS20	3.2	2.5	0.8	0.2	1.3	0	0.9	1.4	3.2	2.4
RPS21	0	0	0	6.3	0.8	0	0.8	0	0.4	0.9
RPS23	3.8	4.2	2.5	0	2.5	4.5	3.7	2.1	0	2.3
RPS24	0.4	2.5	0	0	0	0	0.8	0	0.9	0
RPS25	2.5	2.3	0.2	0.8	2	0.8	4.8	1.8	1.1	0
RPS26	2.1	6.1	0.8	0	0	2	2.5	2.1	0	3.2
RPS27	2.2	3.2	0	0.2	0	0	0.2	2.1	1.3	3.1
RPS27A	3.5	5.6	7.3	3.9	6.1	4.1	7.4	8.9	4.1	5.1
RPS28	0	1.8	2.5	4.8	0	5.1	0	0	0.4	0
RPS29	0	0.8	0	0.9	2.5	0	2.4	2.1	0	0.6
RPS3	6.4	7.5	5.1	0	11.1	0	16.9	10.6	6.8	6
RPS3A	6.8	9.8	2	0	1.8	0.6	9.9	8.5	5.2	4.9
RPS4X	7.4	12.4	5.1	4	9.8	3.8	14.4	8.9	3.8	8.9
RPS5	3.2	3.7	2.5	4.1	2.5	1.8	2.1	3.2	0.2	5.1
RPS6	2.5	3.3	1.8	1.4	0	1.1	2	3.1	2.5	0
RPS7	6.6	2.2	4.8	3.3	6.1	0	3.5	2.9	5.1	2.3
RPS8	8.2	11.1	1.8	0	5.8	5.1	7.3	8	0	3.8
RPS9	5.4	6.3	1.8	0.4	4.1	0.9	7.6	4.1	2	1.4
RPSA	10.8	5.1	6.8	4.8	5.4	5.3	9.7	5.4	0.9	1.8
RSL1D1	1.8	0	0.8	2.1	0	0	0	0	0	0.8
RTN1	0	3.8	2.1	8.7	3.8	0	7.1	2.5	10.6	4.1
RTN3	0.2	0.8	0	0.8	2.3	2.2	5.7	1.8	1.8	1.1
RTN4	2.1	7	6.1	5.2	8.1	4.9	5.4	5.1	1.1	7.6
RUFY3	0	0	1.7	0	0.8	2.3	0.9	1.8	1.7	0
RUVBL1	0.8	2	0	0	0.8	0	0.4	2.1	0.8	0
RUVBL2	0	0	0.8	2.3	0	1.1	0.8	0	0.8	0
S100A7	2.3	2.9	10.5	9.4	5.1	8.7	3.2	6.5	13.8	6.8
S100A8	5.1	5.2	10.3	11.1	6	14.2	4.9	6.8	16.6	7.3
S100A9	5.1	4.5	11.5	12.7	9.8	12.4	7.5	6.6	16.2	10.6
SARM1	0	0.8	0.2	2.5	0	0	0	0	0.8	0
SBSN	8.9	6.6	7.5	11.6	7.5	12.5	3.2	6	15.6	4.5
SCAMP3	1.3	7.8	6.3	6.8	2	0	3.9	3.7	3.8	4.1
SCARB2	0	0.8	0	0	0.8	1.8	0	0	0	0
SCCPDH	2.3	3.3	2	0.8	3.7	0	2.5	3.3	0	1.4
SEC22B	0	0	0	0	0.9	0	2.5	0	1.8	0
SEC23B	0	1.4	0.8	0	0.4	1.1	0.6	0	1.8	0
SEPTIN2	0	0	0	0	0.2	0	0.9	0	0	0
SEPTIN6	0	0.8	0	1.8	0.8	0.4	0	0.4	0.8	0
SEPTIN7	0	0	0	0	0.8	1.8	1.4	1.1	0	0.2
SEPTIN9	0	0.4	0	0	0	0.8	0.8	0	1.1	0
SERBP1	0	2.4	0	0	0	0	2.5	0.8	0.8	0.8
SERPINB12	0	0	0.2	5.1	0.8	6.5	0	0.8	7.2	0
SERPINB3	0	0	1.8	0	1.8	5.7	0	2.9	6.3	2.5
SERPINH1	0	0	0	0	0	3.3	2.3	0	0.6	0
SET	0.8	3.2	0.2	0	0	0	0	2.9	0	2.4
SF1	1.8	0	0	0	0	0.2	0	0	0	0
SF3B1	3.3	0.2	0	0	0	0	0	0.2	1.1	0.8
SF3B2	2.9	0	0	0.8	0	1.8	0	0	2.3	0.8
SF3B3	1.1	0	0	0.4	0	2.9	0	0	1.7	0
SFPQ	48.1	2.1	0.8	2.5	1.7	0	0.8	0	0	13.5
SLC12A2	1.8	0	0.4	0.4	0.4	0	0	1.4	0	0
SLC12A9	0	1.4	0.4	0	0	0	0	0	1.8	0
SLC16A1	0.2	0	0.8	0.8	0	0	0.2	0.9	0	0
SLC1A4	0.2	1.8	3.6	3.2	0	3.7	1.7	1.8	0	2.3
SLC1A5	3.3	1.7	1.8	2.9	5.1	6.8	1.8	2.1	2.5	2.5
SLC25A13	0	0	0.4	0.8	1.1	0	3.2	0.8	0	0.4
SLC25A6	4.1	6.8	1.8	6.3	7.4	5.1	6.1	5.1	8	6.4
SLC39A14	4	3.2	6	0.4	3.2	3.6	0	3.5	0	0
SLC3A2	34.8	31	36.8	41.4	32	39.4	23.9	39.4	33.3	32
SLC44A1	0	3.7	2.5	5.3	0.8	5.3	0.8	6.1	6.4	0
SLC44A2	8.1	12.7	7.2	15.1	11.8	16.6	7.8	22.1	6.5	7.8
SLC7A1	0	0	3.5	1.8	0	0.2	0	1.8	2.4	0.2
SLC7A5	0	1.7	0.8	6	0	4.8	1.8	0	0	2.5
SNAP25	0	0.8	0	0	0	0	0	0	0	0
SNRNP70	2.5	0	0.8	0.8	0	0.8	0	0	0	0
SNRPB	1.8	0	0.4	2.3	0	0.2	1.3	0.4	1.8	0
SNRPD1	0	0.4	0	0	0	0	0.8	0	0.2	0
SNRPD3	0	0	0	0	0.8	2.5	0	0	0.8	0
SNRPF	0	0	0.4	0.2	0	2.5	0.6	0	0	2.5
SOD1	0	0.2	0	0	0	0	0	0.6	0	0
SPRR1B	0.2	0	0	0	0	0.8	0	0	5.8	0.8
SPRR2E	0.8	0	4.9	3.5	6.8	11	0	0	15.1	5.1
SPTAN1	0	7.8	2	1.8	5.1	2.5	6.1	2.3	0	1.8
SPTBN1	1.8	8.1	1.8	0	4.8	3.6	15	7.1	0	1.8
SRC	0	0	0.4	2	0	0	0.2	0	0.8	0.8
SRI	0	0	2.3	1.8	0	0	0	0	0	0
SRP14	0	0	0.9	0.2	0	0	0.2	0	0.4	1.8
SRP9	0	0	0	0	0	0	0.4	0	1.1	0
SRSF1	6.3	4.1	0.8	2.5	0.4	0	0	0	0.8	6.8
SRSF10	2.1	0	0.4	0	0	0	0	0	0	0
SRSF3	4.8	0.4	1.4	0.8	0	1.1	0.8	0	0.4	3.2
SRSF6	1.5	0	0.9	1.8	0	0	0	0.8	0	0
SRSF7	4.1	0	0.8	1.8	0	0	1.5	0	1.5	4.1
SRSF9	1.7	0	1.4	0	0	0	0	0	0	0
SSRP1	1.3	0	0.9	0	0	0	0	0	0	0
STMN1	4.1	2.5	5.1	6.8	6.4	0	4.5	6.1	4.1	2.5
STOML2	0	2.6	5.5	4.1	0.9	2.4	1.1	0	0	0.9
STRA6	0.9	0	1.1	0	0	0	0	1.8	0	0
SUPT16H	5.1	0	0.8	1.8	0	0	0	0	0	1.5
SURF4	0	0	0	0.8	0	0	0	0.2	0.8	2.5
SYNCRIP	14.2	1.8	0	0	0	0	2.5	1.1	0	10.3
TAF15	4.8	0	0	2.5	0	1.1	0	0	2	4.2
TAGLN2	2.3	5.2	11.5	8.9	7.4	5.2	5.8	4.1	6.3	5.1
TARDBP	4.8	0	0	0	0.2	0.8	0	0	1.8	1.8
TBCB	1.8	1.8	5.1	0.6	2.5	0	0	2.5	0	0
TCP1	2.3	5.1	0.2	0	3.3	0	7.8	8.1	0	1.8
TENM4	1.1	0	0	0	0	0	0.4	1.8	1.8	0
TF	0	0	2.3	5.1	3.2	5.1	0.8	5.3	0	0
TFRC	10.1	5.5	4.8	4.9	13	7.2	6.6	13.8	4.1	2.2
TGM1	0.6	0	0.2	6.4	0	0	0	0	9.8	2.9
THOC3	1.8	0.4	0.6	0	0.2	0	0	0	1.5	0.8
THRAP3	0	0	1.1	0	0	0	0	0	0	1.7
THY1	6.1	6.8	4.3	9.8	10.5	10.6	5.1	5.3	10.8	3.9
TIA1	1.4	0	0.8	0	0.4	0.2	0	0	1.8	0
TIGAR	0.2	0.8	3.7	5.2	0.8	0	0	2	0	0
TIPRL	0.9	0.2	0	3.3	0	2.9	0	0	0	0
TLN1	0	10.3	0	0	2	0.6	5.1	9.8	0	0
TMED10	0	0	0	2.1	0	0	2	0	4.5	0
TMED7-TICAM2	0.8	0	0	0	2.4	3.3	0	2.4	0	0
TMED9	0	1.8	1.8	0	1.9	0	1.8	1.5	0.8	0
TMEM205	0	0	0	0	0	0	0.2	0.2	0	0.2
TNFRSF10B	2.5	0	0	0	0	0	0	0	0	1.1
TNPO1	1.4	6.3	10.6	8	3.6	6.4	4	4.8	7.4	4.8
TOMM70	0.4	1.1	0	0	0	0	0	0	0.8	0
TPBG	0	0	0	3.2	0	0.8	0	0	0	0
TPI1	6.3	13.3	15.3	20.7	21.7	22.1	5.1	12.7	20.1	8
TPM3	8.1	35.5	51.8	35.5	35.5	36.8	40	36.8	39.4	41.4
TPP2	0	0.2	0	1.5	1.4	0	0	0.8	0.2	1.1
TPT1	0	0	0	0	0	1.1	0	0	0	4.8
TRAP1	0	2.5	9.4	3.7	1.5	0	2.3	2	6.8	0.8
TRIM28	7.1	0	0	0	0	0	0	0	0.9	0
TTYH3	1.3	0.6	3.8	0.8	1.4	0	0.2	0.9	0.6	0.2
TUBA1B	37.9	37.9	25.2	24.4	34.8	32	33.3	46.6	43.9	43.9
TUBB	74.7	64.6	41.4	37.9	74.7	48.1	74.7	74.7	55.1	74.7
TUFM	7.8	16.6	6.1	9.8	8.7	8.5	8.5	5.9	3.5	8.9
TXN	1.4	1.1	0	10.3	3.1	10.1	0	0	11.5	5.9
TXNDC5	0	0	0	0.4	1.1	1.8	0	0	2.5	0
TXNRD1	0.6	0	0	0	0	1.3	0	0.9	0.6	0
U2AF1L5	0	0	0	1.8	0	0	0.8	0	0	0.4
UBA1	1.4	4	10.1	8.9	5.1	7.5	2.6	2.4	4.3	2.9
UBA6	0	0	2.2	0	0.4	1.8	0	0	0.8	0.9
UBE2N	0	2.1	0	6.6	0	6.3	0	0.8	1.8	3.3
UBQLN4	9.2	2.1	2.4	5.3	2.3	0.4	0	0.4	0	8.7
UBXN1	0	0	0	2	0.8	0.2	0	0	0	0
UCHL1	2.1	9.1	12.5	18.2	12.4	15.1	9.3	8	7.4	11.5
UQCRC1	2.5	0	1.8	3.2	2.6	0	1.5	2.5	1.1	6.1
USP5	0	0.2	0.6	2.3	0.4	0	2.5	0.2	0.4	0
VAPA	0	0.4	0	0	0	0	0.4	0	2.9	0
VAPB	0.4	3.2	6.3	0	0.9	1.3	1.8	0.8	4.1	1.8
VASN	3.8	1.5	3.2	3.3	4.1	0.8	0.2	4.8	0	0
VAT1	1.8	6.6	1.7	5.1	7.2	5.1	5.9	8.2	4.2	2.3
VDAC1	5.2	2.5	2.5	0	0	3.8	4.8	5.1	3.3	3.6
VDAC2	13	14.2	12.7	6.9	11.5	5.2	11.5	11.5	21	8.5
VDAC3	2.5	3.7	0.8	3.3	0.4	0.4	4.8	6.3	1.8	0
VGF	6.3	0	0	0	6.6	5.1	6	5.8	0	0
VIM	0	8.7	6.9	2.5	4.1	0	12.2	2	0	0.8
WARS1	0	0.4	2.1	0	0	1.1	0	0.2	1.8	0
WDR47	0	0	1.1	0	0	0	0	0.8	2	0
YBX1	7.8	6	3.7	0	2.5	2.5	6.8	5.1	0.6	2.1
YWHAQ	9.8	13.8	35.5	27	26.1	24.4	26.1	21.2	21.2	23.5
ZFR	1.1	0	0	0	0	0	0	0.2	0	0.8
ZNF326	1.8	0	0	0	0	0	0	0	0	0
