A	Coef.Sample.1 - Sample.2	t.Sample.1 - Sample.2	p.value.Sample.1 - Sample.2	p.value.adj.Sample.1 - Sample.2	F	F.p.value
ZNF207	11.947695	-0.47863158	-2.8704244	0.0052531822	0.01594655245	3.0255169	0.0020379144
DNPEP	10.2498862	-0.409651	-2.8703609	0.0052541366	0.01594655245	8.3300592	1.6e-09
RHOC	10.9514395	-0.70347924	-2.8702771	0.0052553965	0.01594730528	7.4694472	1.22e-08
CD1C	6.9577065	-1.79795391	-2.8700996	0.0052580659	0.01595062849	22.3709844	0
CYP4V2	8.7507413	-1.13420644	-2.8700697	0.0052585157	0.01595062849	12.0751288	0
PRR29	7.529753	-1.35260574	-2.8699308	0.0052606056	0.01595389744	18.0693825	0
SLC38A7	10.7156794	-0.7900034	-2.8697782	0.0052629024	0.01595779222	11.571272	0
POLR2C	9.9457163	-0.52239018	-2.8696582	0.0052647096	0.01595935772	6.5612625	1.158e-07
PRKAA1	10.1481228	-0.96972577	-2.8696094	0.0052654438	0.01595935772	3.8134007	0.0002055577
C19orf53	10.0425332	-0.66604258	-2.8692835	0.0052703541	0.01597116906	10.0697363	0
ZNF311	3.7391247	1.43208916	2.8689674	0.0052751202	0.01598253923	6.2284639	2.718e-07
LINC00243	3.1096929	-1.29344326	-2.8685348	0.0052816508	0.01599674211	11.2434234	0
CDRT4	7.2057693	1.42344617	2.8685224	0.0052818378	0.01599674211	8.3036964	1.7e-09
CCDC142	9.5944819	0.49552566	2.8680364	0.005289183	0.01601591024	3.3388857	0.0008154514
USP32P2	2.9325767	1.7425616	2.8678404	0.0052921468	0.01602180678	4.0819426	9.5007e-05
RXRB	9.2507946	0.84883149	2.8675583	0.0052964182	0.01603165868	2.692526	0.0053908512
ABT1	10.0357586	-0.5014992	-2.8671431	0.0053027079	0.01604397207	6.184516	3.046e-07
STUM	2.6582383	1.94981579	2.8670895	0.0053035203	0.01604397207	5.9101	6.234e-07
UXT.AS1	7.2775655	-0.82815638	-2.8670882	0.00530354	0.01604397207	6.6921565	8.32e-08
RGCC	6.875419	-2.20196896	-2.8665388	0.0053118753	0.01606610372	7.1438468	2.7e-08
PPP1R3E	7.4873047	1.25338095	2.8664329	0.0053134838	0.01606788517	4.7889676	1.29291e-05
PCSK1	2.7694612	1.63904089	2.8662554	0.0053161789	0.01607295141	4.4266708	3.56657e-05
ITGA3	3.4563356	-2.08441275	-2.8654645	0.0053282083	0.01610623155	5.5868986	1.4685e-06
CLDN9	3.2088611	1.44056597	2.865303	0.0053306686	0.0161082344	3.5028052	0.0005057531
CH25H	7.4672961	-1.14920502	-2.8652868	0.005330915	0.0161082344	162.3545787	0
ANG	7.6499133	-1.35732563	-2.8648274	0.0053379172	0.01612630111	5.2440721	3.7005e-06
SMIM3	9.4761892	-1.42339024	-2.8643414	0.0053453331	0.01614561052	6.277807	2.393e-07
ZMAT5	9.1448106	-0.64940021	-2.8635996	0.0053566727	0.01617676152	5.7501698	9.509e-07
TRPC5OS	4.290245	1.76437314	2.862874	0.0053677846	0.01620721331	10.3871699	0
STS	7.5595653	-1.18905691	-2.8627178	0.0053701794	0.01621133833	10.5544361	0
OAS2	9.1716896	-1.8255606	-2.8624317	0.0053745696	0.01622148437	7.9880342	3.5e-09
PCDHA5	4.9850742	-1.39398357	-2.8619883	0.0053813782	0.01623892432	2.9586506	0.0024781405
CBX1	9.5745186	0.4134595	2.8615712	0.0053877897	0.01625515962	10.7336117	0
HMMR	6.3106234	-1.72938713	-2.8611425	0.0053943888	0.01627195429	7.4639282	1.23e-08
HIF1AN	10.8123754	-0.43674863	-2.8603685	0.0054063195	0.0163048224	2.1528456	0.0254996612
PDGFRL	5.4698503	-1.31023996	-2.8602692	0.0054078512	0.0163063216	4.886676	9.8614e-06
DAP3	11.076693	-0.35485143	-2.8597727	0.0054155208	0.01632632435	4.7651006	1.3816e-05
PXYLP1	6.283333	1.42954216	2.8595675	0.0054186931	0.01633276369	22.1612414	0
MRPL57	10.2677871	-0.54926523	-2.8581435	0.0054407533	0.01639612108	8.0550097	3e-09
PAK2	11.6486078	-0.49954594	-2.8575758	0.0054495704	0.01641955256	8.239827	2e-09
GOLGA6L5P	2.2357671	1.14989759	2.8572441	0.0054547294	0.01643195529	5.4561645	2.0851e-06
ARGFXP2	3.0135547	1.10607612	2.8571066	0.0054568693	0.01643526038	8.6469662	8e-10
CLDN15	5.6885753	1.30155849	2.8569539	0.0054592453	0.01643927504	4.5782855	2.32801e-05
SDCBP2.AS1	5.4349424	1.51139167	2.8564188	0.0054675827	0.01646123615	1.8443637	0.060065268
TNNT1	4.0900939	-1.77558	-2.855487	0.0054821292	0.01650187886	21.2074088	0
NDUFC1	9.9751256	-0.65240196	-2.8550965	0.0054882357	0.01651710585	4.3738808	4.14033e-05
ST6GALNAC6	10.315275	0.63380786	2.8548853	0.00549154	0.01652092343	7.6453035	8e-09
MARK2	9.8529732	0.81297932	2.8548815	0.0054916006	0.01652092343	4.9679914	7.8786e-06
RRAGA	11.0392964	-0.48404344	-2.8545355	0.0054970188	0.01653406729	2.9259667	0.002726691
F13A1	11.9778999	-1.90993941	-2.8544552	0.0054982772	0.01653469714	26.8735781	0
ATAD3C	2.7010982	1.03714402	2.854365	0.0054996904	0.01653579178	1.7910397	0.0693833163
PARL	10.5372857	-0.49494326	-2.8540415	0.0055047637	0.01654788875	8.2980741	1.7e-09
C16orf96	2.4929405	1.24964259	2.8536983	0.0055101512	0.01656092551	3.9892472	0.0001239115
GSAP	9.6149076	-1.11806916	-2.8534562	0.0055139538	0.01656851052	7.327722	1.72e-08
RDH5	6.341427	1.12668421	2.8534038	0.0055147774	0.01656851052	3.0679547	0.001800006
STK40	11.4566358	-0.59013317	-2.8524505	0.0055297772	0.0166091194	9.3628078	2e-10
PPP1R32	5.6723273	1.44422402	2.8524032	0.005530523	0.0166091194	3.2067927	0.0011993707
TMSB4X	15.6415856	-0.79841692	-2.852344	0.0055314553	0.0166091194	4.4204443	3.62982e-05
CD99	7.3728382	-0.86422459	-2.8522763	0.0055325224	0.0166091592	5.9562179	5.523e-07
PLEKHH1	7.8097154	0.84865141	2.8520784	0.0055356425	0.01661536107	9.9038244	0
DMXL2	10.5835622	-1.27295249	-2.8499937	0.0055686081	0.0167111257	5.3884135	2.5028e-06
TSTA3	9.5689555	-0.56221507	-2.8490022	0.0055843494	0.01675517451	8.8540862	5e-10
APOBEC3D	5.1877872	1.10520828	2.8483222	0.0055951684	0.01678444036	7.8037296	5.5e-09
KIF9	7.0569793	0.57566467	2.8480066	0.0056001972	0.01679632871	2.5046763	0.0093040989
METAP2	10.5587058	-0.43628535	-2.8475843	0.0056069318	0.01681332788	2.4694887	0.0103010953
ANKS6	6.0043897	1.67428462	2.8470869	0.0056148736	0.01683393999	6.0853475	3.941e-07
TMOD4	3.831312	0.87654137	2.8467728	0.0056198949	0.0168457899	6.1715576	3.15e-07
ACOT2	7.9941437	-0.69768722	-2.8466721	0.0056215051	0.01684741241	10.0660286	0
ELK1	8.442321	-0.88854779	-2.8463006	0.0056274492	0.01686202028	3.7741344	0.0002302421
ARMC9	7.6181572	-1.44773753	-2.8459104	0.0056337007	0.01687754351	8.9190444	4e-10
ATP13A2	10.1435942	0.75707385	2.8452644	0.0056440612	0.01690215802	8.1430097	2.5e-09
MPHOSPH6	8.4352158	-1.0731078	-2.8452644	0.0056440618	0.01690215802	9.5995385	1e-10
NT5C2	11.2947835	-0.58288029	-2.8447629	0.0056521174	0.01692306668	4.6365634	1.9774e-05
NLRP6	3.1540211	-1.39733542	-2.8440193	0.005664083	0.01695567174	9.7558103	1e-10
BEX5	3.5031528	1.52274703	2.8436675	0.005669751	0.01696941622	11.8765603	0
CLIC2	5.7737727	-1.95264482	-2.8432999	0.0056756802	0.01698393699	6.9301746	4.58e-08
PRDM4	10.1094186	-0.66151577	-2.8428846	0.0056823859	0.01699759176	2.1622179	0.0248324537
CCZ1	7.5711068	-0.5916888	-2.8428764	0.0056825168	0.01699759176	5.2675898	3.4714e-06
C3orf52	2.4176817	1.31103841	2.8428169	0.0056834787	0.01699759176	1.9579397	0.0439930315
CD2	3.0170255	-1.43874112	-2.8423409	0.0056911743	0.01701737778	24.4247567	0
RNF180	2.9743964	2.11718529	2.8416673	0.0057020811	0.01704675651	3.0083625	0.0021427837
TMEM164	8.9140308	-1.04964805	-2.8412373	0.0057090531	0.01706436294	8.3175908	1.6e-09
GAS5	9.326252	0.70395431	2.8411517	0.0057104418	0.0170652773	3.4720633	0.0005530924
HLA.J	8.2438696	-0.87390862	-2.840073	0.0057279697	0.0171144134	11.3242188	0
UBLCP1	10.3080437	-0.42803421	-2.8398708	0.0057312615	0.01712100323	4.7554312	1.41927e-05
IGBP1	9.4657523	-0.8475867	-2.8393751	0.0057393378	0.01713870025	9.2345415	2e-10
KCTD20	11.2318863	-0.65613893	-2.8393737	0.0057393604	0.01713870025	3.3657154	0.0007540524
CPLX1	2.4495002	1.47923168	2.8380337	0.0057612427	0.01720078543	3.460464	0.0005720921
CENPL	6.6225118	-1.03222641	-2.8374003	0.0057716141	0.01722848659	8.3826511	1.4e-09
MAPK1IP1L	11.6611712	-0.40473981	-2.8371532	0.0057756642	0.01723731182	5.6886729	1.1195e-06
TMEM246	3.5598428	1.78899885	2.8367041	0.0057830329	0.01725361124	4.3797746	4.07188e-05
SMARCA4	10.9249019	0.49906158	2.8366869	0.005783315	0.01725361124	11.8892254	0
LGALS9	10.6303573	-0.85662672	-2.8365008	0.0057863718	0.01725946367	9.8404113	1e-10
ANTXR2	9.0328262	-1.85505224	-2.8349244	0.0058123169	0.01733357174	16.681411	0
FBN2	5.100516	2.35980308	2.834781	0.005814683	0.01733734753	12.5276905	0
RNF144A	4.825623	1.43507846	2.8346795	0.0058163567	0.01733905761	25.0004174	0
STPG3.AS1	2.2147384	0.97958301	2.8344568	0.0058200332	0.01734673661	4.755319	1.41971e-05
NPL	12.7272954	-0.72248157	-2.8341932	0.0058243879	0.01735643372	8.9260907	4e-10
MBD2	8.5287893	-1.20140424	-2.8340702	0.0058264216	0.01735921185	9.2521972	2e-10
LAMC1	6.6227623	-1.83912258	-2.8325721	0.0058512326	0.01742983866	13.0105676	0
TIMM13	10.2547259	-0.5881531	-2.8324393	0.0058534357	0.01743310646	14.3146038	0
SLC22A1	2.368908	-1.20884288	-2.8321329	0.0058585251	0.01744496771	7.4337342	1.33e-08
HIST1H2AL	2.4265881	1.17249238	2.8316861	0.0058659515	0.01746312232	3.7320046	0.00026007
R3HDM2	9.5267094	0.81133636	2.8316328	0.0058668379	0.01746312232	2.2929336	0.0171179297
C19orf44	8.0349351	0.7389602	2.8301803	0.0058910464	0.01753106105	2.2729364	0.0181249562
MTCH1	12.1881233	0.57181389	2.8300579	0.0058930902	0.01753106105	4.4180664	3.65427e-05
DNAH9	2.1830118	1.46481116	2.8300288	0.0058935757	0.01753106105	5.6335582	1.2965e-06
UBE2E2	10.3609019	-0.47296659	-2.8299967	0.0058941116	0.01753106105	3.7518275	0.0002455779
PARS2	6.9825563	-1.21842474	-2.8296391	0.0059000886	0.01754552764	3.2007955	0.0012205805
OASL	7.2617519	-1.99925381	-2.8295257	0.0059019864	0.01754786028	5.3226459	2.9899e-06
ZNRF2P1	2.7210246	1.14260057	2.828347	0.0059217308	0.01760324392	3.615712	0.0003642869
SIN3B	9.4258594	0.7252567	2.828134	0.0059253067	0.01761055217	3.3994817	0.0006833391
ANO6	11.1665609	-0.96666723	-2.8278162	0.0059306433	0.01762308992	2.5180416	0.0089508505
VAMP1	8.7059836	1.19094296	2.8273066	0.0059392101	0.01764521962	3.7720041	0.0002316639
C8orf33	10.0007757	-0.40955243	-2.8267516	0.0059485541	0.01766964965	11.8857133	0
MST1	5.768515	1.25120854	2.8265557	0.0059518556	0.01767612517	10.6901316	0
TAF1B	7.7456642	-1.08590253	-2.8253594	0.0059720513	0.01773276193	7.8291881	5.1e-09
NSMAF	10.4321303	-0.59034657	-2.8247056	0.0059831161	0.01776227034	9.7482577	1e-10
MRPL14	9.9485679	-0.73459544	-2.8243529	0.0059890929	0.01777666553	9.8183066	1e-10
NPIPB13	2.5122287	1.22629713	2.8238589	0.005997472	0.01779818423	3.1408822	0.0014542567
PARP2	8.9578943	0.59882446	2.8236882	0.0060003704	0.01780140754	5.6178725	1.3519e-06
PCF11.AS1	5.6025398	0.92618413	2.8236576	0.0060008904	0.01780140754	4.7476702	1.45026e-05
TBX6	4.5059947	1.2082422	2.8235954	0.0060019466	0.01780140754	5.804273	8.24e-07
CDK4	11.0652222	-0.44768095	-2.8233806	0.0060055967	0.01780888246	6.7761186	6.73e-08
UBOX5.AS1	5.221614	0.79838426	2.8231479	0.0060095515	0.01781725761	3.2200539	0.0011537744
RABL2B	8.0636821	0.42900808	2.8230542	0.0060111465	0.01781863462	5.0116431	6.9866e-06
ACKR4	3.1951101	1.09859375	2.8227297	0.0060166675	0.0178314601	4.4169072	3.66625e-05
SIM2	2.6415696	1.18329542	2.8226502	0.0060180224	0.0178314601	5.0127786	6.9648e-06
SSC5D	2.4507854	1.26953951	2.8226005	0.0060188673	0.0178314601	3.6960829	0.0002885686
DTYMK	9.170656	-0.53731606	-2.8224078	0.0060221504	0.0178378336	6.3935692	1.777e-07
NDUFS1	10.6173005	-0.79535679	-2.8218506	0.0060316515	0.0178626193	2.6551952	0.0060099618
CRNDE	4.0392881	-1.42737349	-2.8214966	0.0060376947	0.01787715693	4.9746127	7.7362e-06
STK11	9.0560734	0.84667924	2.8212171	0.0060424706	0.01788793746	6.1220859	3.582e-07
DISP1	9.2415968	1.19455439	2.820602	0.0060529914	0.01790473746	31.8002892	0
EPB41L2	10.9898766	0.94383869	2.8205342	0.0060541521	0.01790473746	27.2532079	0
EMC3.AS1	5.9796713	1.00908543	2.8205161	0.0060544621	0.01790473746	1.9427062	0.0458834926
RRP7A	10.6526897	-0.48408167	-2.8204548	0.0060555119	0.01790473746	4.3745494	4.13251e-05
TRAPPC5	9.9482616	-0.86977265	-2.8204446	0.0060556871	0.01790473746	22.3253796	0
TBL3	10.0557035	-0.48619285	-2.8204288	0.0060559577	0.01790473746	7.750128	6.2e-09
METTL5	9.4479895	-0.52787085	-2.8204206	0.0060560977	0.01790473746	2.6903041	0.0054258617
FAM120AOS	10.3874834	-0.52686252	-2.8197959	0.0060668046	0.01793302835	1.9019343	0.0513293284
CSPG5	2.4432574	1.43295778	2.8192872	0.0060755371	0.0179554735	6.754329	7.11e-08
C19orf70	9.388358	-0.72195377	-2.8191774	0.0060774242	0.01795768344	7.8449358	5e-09
ANKRD6	7.707719	1.0349254	2.8179954	0.0060977644	0.0180144075	6.9401169	4.47e-08
MOB1B	9.9127659	0.59337344	2.8174178	0.0061077275	0.01804045986	9.9366429	0
LINC00852	5.1692438	0.96370071	2.8161384	0.0061298465	0.01810054916	4.4778889	3.08697e-05
SEH1L	10.1953698	-0.58221426	-2.8161083	0.0061303681	0.01810054916	3.242713	0.0010798528
VPS11	10.902484	-0.55692863	-2.8159933	0.0061323603	0.01810304	1.8668967	0.056491496
FAM78B	1.9501796	1.46363283	2.8158696	0.0061345042	0.01810525529	8.1965364	2.2e-09
MAPK8	8.5929647	0.6731811	2.8158174	0.0061354082	0.01810525529	12.5594067	0
ATXN7	9.1255125	1.06153229	2.8155917	0.0061393224	0.01811341451	8.0887087	2.8e-09
IKZF4	6.8265527	0.91199938	2.8155201	0.0061405634	0.01811368518	7.5933407	9e-09
CALN1	2.7924295	1.73173557	2.8151879	0.0061463282	0.01812729757	9.7098514	1e-10
DSE	10.6357631	-0.88370771	-2.8146474	0.0061557191	0.01815159761	4.6862478	1.72107e-05
GPR107	10.2728308	-0.52499686	-2.8145707	0.0061570516	0.01815213062	6.8362147	5.79e-08
B3GNT4	9.69464	-0.50580225	-2.8141311	0.0061647005	0.01817128187	3.1166512	0.0015610483
CDCA5	6.6639046	-1.52762789	-2.8140002	0.0061669789	0.01817417426	7.9610157	3.8e-09
RHNO1	9.6992082	-0.5943068	-2.8139423	0.006167988	0.01817417426	3.7417855	0.0002528145
ATP8B2	6.620095	1.76356744	2.813566	0.0061745448	0.01819009356	3.3089759	0.000889843
TM9SF2	13.2008426	-0.43645487	-2.8133615	0.0061781118	0.01819720054	6.176353	3.111e-07
TBCA	9.6182984	-0.53621097	-2.8124774	0.006193551	0.01823754538	6.994489	3.9e-08
NFKBIE	10.6338742	-0.85580619	-2.8124446	0.0061941235	0.01823754538	4.04228	0.000106431
ERC1	9.7134997	0.60081127	2.8119774	0.0062022983	0.01825820392	9.0820082	3e-10
DIS3	10.2387958	-0.50114773	-2.811601	0.0062088895	0.01827419383	1.7844062	0.0706324089
NELL2	3.9569732	2.66381136	2.8113972	0.0062124617	0.01828129366	7.0834098	3.13e-08
FPR1	12.865356	-1.4429098	-2.8113008	0.0062141531	0.01828285748	14.6734826	0
SRPK1	9.5165232	-0.88391924	-2.8110737	0.0062181357	0.01829116019	5.5806029	1.4934e-06
UBE2F	10.6643749	-0.59243451	-2.8104015	0.0062299421	0.01832247024	2.0174573	0.0372935575
MAGOH	8.8328464	-0.58944085	-2.8099014	0.006238738	0.01834491584	5.9778103	5.219e-07
CCDC22	10.167252	-0.81118103	-2.8095672	0.0062446229	0.01835879525	4.2321167	6.19002e-05
MAPK14	10.7396271	-0.66110118	-2.8093164	0.0062490409	0.01836801037	17.1672111	0
NR4A3	5.4693361	2.12372752	2.80917	0.0062516228	0.01836801037	12.2245685	0
RUNX1T1	3.7236527	2.12458528	2.809163	0.0062517468	0.01836801037	4.5994694	2.19379e-05
DERL2	10.7242525	-0.39107321	-2.8091249	0.006252419	0.01836801037	5.8246619	7.808e-07
USP35	5.1370152	1.24628146	2.8080759	0.0062709428	0.0184189954	2.9015865	0.0029281539
OTUB2	5.6170715	-1.29820326	-2.8077886	0.0062760257	0.0184304901	11.2349456	0
CACNA2D3	6.2151877	-1.6076693	-2.8076087	0.0062792093	0.01843640415	25.7610835	0
RCAN1	9.1475387	-1.16043984	-2.8072178	0.0062861333	0.01845329619	4.9010415	9.4774e-06
ARHGAP11B	4.1633039	1.11341789	2.8059076	0.0063093943	0.01851813111	8.110191	2.6e-09
MXRA7	6.2872653	1.25646348	2.8057365	0.0063124369	0.0185236115	7.4915554	1.15e-08
ZDHHC8	7.829747	1.05834785	2.8056159	0.0063145838	0.01852646222	3.2576617	0.0010337061
RIMBP3	3.4618489	-1.1821096	-2.804327	0.0063375597	0.018590411	3.2980786	0.0009186103
DCT	2.5908455	1.61727332	2.8041952	0.006339913	0.01859385353	6.9742479	4.1e-08
ARHGEF5	2.1845639	-1.2658752	-2.8039824	0.0063437153	0.01860154352	10.4457147	0
TMCC3	9.3118727	1.31571123	2.8039028	0.0063451369	0.01860225136	9.9615866	0
C7orf61	3.6285732	1.22621012	2.8035188	0.0063520045	0.01861892173	3.6867221	0.0002964997
EMP2	4.1517103	2.16819593	2.80325	0.0063568157	0.01862955973	3.1398709	0.0014585636
PKDREJ	2.6932139	1.27653394	2.8031636	0.0063583647	0.01863063497	3.771707	0.0002318629
RNF32	4.6558284	-1.26162438	-2.8029754	0.0063617357	0.01863704774	6.5876676	1.083e-07
PTPN3	2.7071392	1.95786725	2.8027736	0.0063653515	0.01864417494	2.6585106	0.0059522403
LYPLA1	10.9643811	-0.50032332	-2.8020425	0.0063784705	0.01867912927	4.0234544	0.0001123307
NFASC	3.0555413	1.94746574	2.8017231	0.0063842101	0.0186924642	5.4374494	2.1928e-06
SCMH1	8.0011677	1.31206118	2.8011413	0.0063946773	0.01871963389	2.1762806	0.0238629184
SIRT3	9.0041719	0.69934765	2.8006786	0.0064030125	0.0187405534	2.4628379	0.0105010126
MAP3K9	6.443382	1.42729013	2.8003262	0.0064093668	0.01875566832	8.9352056	4e-10
MRPL58	8.674262	-0.84416761	-2.7999054	0.0064169622	0.01877440889	1.7460816	0.0782670643
ACAT1	10.1680412	-0.53210519	-2.7994528	0.0064251423	0.018794853	5.1186919	5.2091e-06
C15orf39	8.7635837	-1.13653728	-2.7975233	0.0064601177	0.01889365663	16.5897305	0
PRR3	8.2707814	1.07464593	2.7968646	0.0064720968	0.0189251794	2.4716668	0.0102364399
ASL	9.7564063	-0.58858217	-2.7966134	0.0064766718	0.01893504437	5.5164082	1.7735e-06
KCTD7	9.8483593	1.04633803	2.7964102	0.0064803739	0.01893917057	9.8780716	1e-10
GPANK1	9.3969852	-0.50382535	-2.796404	0.0064804864	0.01893917057	4.5072133	2.84239e-05
ESR2	2.2635084	1.15605738	2.7961518	0.0064850845	0.01894909484	4.2608215	5.7049e-05
ERVW.1	2.4212286	1.32958526	2.7956446	0.0064943404	0.0189726227	3.1285324	0.0015077377
TARSL2	7.5342737	0.99156319	2.7947924	0.0065099195	0.01901461095	4.2697857	5.56144e-05
ST3GAL1	11.6919237	-0.53691312	-2.7943254	0.0065184698	0.01903605743	6.4924649	1.38e-07
PACSIN2	11.3978183	-0.55500353	-2.7938371	0.0065274227	0.01905867168	7.1325865	2.77e-08
CCR10	4.0486456	1.41499506	2.7930937	0.0065410741	0.01909499341	3.9898144	0.0001237099
LINC00513	3.368414	1.32772901	2.7928392	0.0065457534	0.01910511463	5.3850631	2.5255e-06
AMIGO1	4.3101378	1.84915548	2.7926164	0.0065498519	0.01911353759	4.7792094	1.32845e-05
FLII	12.4918188	-0.6275005	-2.7920153	0.0065609223	0.0191422984	4.3779688	4.09273e-05
NUTM2D	2.8557557	1.33667321	2.7897341	0.006603093	0.01926177102	3.4057649	0.0006709363
NEURL1B	3.1239899	1.81777065	2.7894064	0.0066091718	0.01927593582	5.2420374	3.721e-06
RPS2P32	5.4264304	-1.43840599	-2.7891491	0.0066139468	0.01928401274	6.4490405	1.542e-07
BMP8B	4.7384026	0.9427763	2.7891254	0.0066143882	0.01928401274	2.9262234	0.0027246445
FSD2	5.9278775	1.21978937	2.7889346	0.006617932	0.0192907761	5.5151332	1.7796e-06
PTTG2	2.2819852	1.07827451	2.7888107	0.0066202331	0.01929391527	3.1333418	0.00148668
TNFAIP2	10.1546785	-1.29209692	-2.7880867	0.006633702	0.01932959451	12.8055479	0
DNAH12	2.1786999	1.30504687	2.787888	0.0066374016	0.01933679971	2.1561614	0.0252616541
LDHD	6.1951465	-1.65970048	-2.7869208	0.0066554418	0.01938577316	14.758213	0
PCDHA7	4.9547977	-1.34489108	-2.7867831	0.0066580141	0.01938968233	2.9377535	0.0026343108
ZNF579	5.4410249	1.34657506	2.7864754	0.0066637642	0.01940284277	1.6722178	0.0951688014
GALNT18	3.8024553	-1.23811801	-2.7852308	0.00668707	0.01946710571	10.3782639	0
PCDHA12	5.0274904	-1.36618336	-2.7848653	0.0066939297	0.01948347655	2.8863983	0.0030610942
PMPCB	10.6023478	-0.3754028	-2.7845916	0.0066990696	0.01949483668	2.0405828	0.0349630858
USP32P1	3.3995158	1.65501923	2.7844888	0.0067010009	0.01949685707	2.4030336	0.0124786999
SPATA6L	4.5913632	1.21144684	2.7843107	0.0067043495	0.01950299986	5.8622553	7.071e-07
PVRIG	3.6096745	1.22142736	2.783183	0.0067255811	0.01956115207	1.4855252	0.153549231
C22orf42	1.8549085	-1.16040596	-2.7812629	0.006761874	0.01966308055	5.3724566	2.613e-06
DDX46	10.6012424	0.3844526	2.781077	0.0067653978	0.01966771896	10.4918185	0
ADORA3	12.4477902	0.90924498	2.7810471	0.0067659649	0.01966771896	29.6384225	0
GUK1	11.4859111	-0.58692988	-2.7807049	0.0067724556	0.01968295634	13.9081255	0
DARS2	9.0974394	-1.01840001	-2.7801286	0.0067833976	0.01971112284	8.2720701	1.8e-09
TBCB	10.804232	-0.48366218	-2.7799095	0.0067875636	0.01971959254	16.1833535	0
APOBR	9.5378941	-1.15819047	-2.7792586	0.0067999493	0.01975193544	15.6725034	0
API5	11.1668304	-0.5283251	-2.778172	0.0068206734	0.01980848218	3.0836952	0.0017190095
NUP62	11.6984253	-0.43650999	-2.7778851	0.0068261554	0.01982075078	4.2470044	5.93341e-05
FILIP1L	8.3239605	1.11970351	2.7774174	0.0068350998	0.01984306652	16.6690226	0
CCDC71	6.1233428	-1.0844874	-2.7768418	0.0068461221	0.01987140537	8.404634	1.3e-09
MFN2	11.5025257	-0.50533086	-2.7759878	0.0068625069	0.01991529584	8.4972767	1.1e-09
LRFN3	5.5433546	1.34715154	2.775821	0.0068657116	0.01992092781	6.7780987	6.7e-08
DDX19A	10.1402416	-0.38887941	-2.7756961	0.0068681114	0.01992422315	2.123109	0.0277331829
REXO2	8.7231801	-0.64814777	-2.7754	0.0068738058	0.01993707287	7.0504931	3.4e-08
CYB5R3	11.6662041	-0.37913637	-2.7737706	0.0069052116	0.02002447846	24.0247639	0
SCARF1	9.0449785	1.23107978	2.7736939	0.0069066947	0.02002509483	17.7809015	0
JAML	9.7100671	1.52808949	2.7721544	0.0069364955	0.02010779952	59.5362085	0
MASP2	4.0954251	1.13994419	2.7718868	0.0069416869	0.02011914799	8.4427325	1.2e-09
TMEM248	10.9559351	0.64384517	2.7716025	0.0069472071	0.02013144523	6.2653141	2.472e-07
ABLIM2	3.4420639	1.47350211	2.7712922	0.0069532375	0.02014521636	2.7409959	0.0046804792
KLHDC9	2.9465015	1.62766874	2.7706927	0.0069648999	0.02017529645	3.9913468	0.0001231671
A1BG	7.3634298	-1.28603963	-2.7704693	0.0069692487	0.02018418388	9.1311694	3e-10
RBM8A	10.6108899	-0.38970323	-2.7700657	0.0069771151	0.02020319281	7.7298246	6.5e-09
IL1A	5.8970564	1.82583463	2.7700011	0.0069783758	0.02020319281	23.283483	0
PCDHA2	4.9843847	-1.36164409	-2.76973	0.0069836649	0.02021479206	3.1224629	0.0015347397
POLN	6.5700644	1.03247385	2.7694172	0.0069897714	0.02022875268	10.6476002	0
GLUD1P3	5.1263979	0.94024832	2.7693093	0.0069918786	0.02023113629	8.7248713	6e-10
SEC11A	11.3284426	-0.53898823	-2.7690065	0.0069977973	0.02024454533	8.7996914	5e-10
SLC1A4	9.9457583	0.83196412	2.7687469	0.0070028742	0.0202523245	16.3449672	0
AKAP5	3.6276412	1.6873106	2.7687376	0.0070030562	0.0202523245	2.6653321	0.0058351983
SFT2D3	6.6717509	1.24735459	2.7685424	0.0070068768	0.02025965604	3.9543352	0.000136979
ASH1L.AS1	5.8234857	0.95619463	2.7678426	0.0070205882	0.02029551248	5.5935135	1.4427e-06
ANAPC16	11.0739394	-0.58116503	-2.7677781	0.0070218533	0.02029551248	6.8632572	5.41e-08
PIGZ	6.4466399	1.06669803	2.7675073	0.007027166	0.02030714404	2.127546	0.0273883277
ASPN	2.330686	1.6423583	2.7659812	0.00705718	0.02039014009	1.5811695	0.1205463015
TRAPPC6B	9.5664863	-0.53330395	-2.765864	0.007059489	0.02039307287	4.7741435	1.34729e-05
HYAL3	6.3559903	-1.28391074	-2.7657702	0.0070613382	0.02039467674	4.1873099	7.0323e-05
TOM1L1	6.2105347	-1.10674933	-2.7650512	0.0070755251	0.0204319074	3.9843197	0.0001256765
MRPL3	10.3485808	-0.80366769	-2.764063	0.0070950696	0.02048459264	1.5613804	0.126806824
COPS6	11.0534067	-0.3924314	-2.7628937	0.0071182574	0.02054777562	5.7412864	9.735e-07
MIEF1	10.4522164	-0.71769622	-2.7625681	0.0071247266	0.02056268371	2.0513827	0.0339231143
AKIP1	9.665755	-0.43475545	-2.7620212	0.0071356048	0.02059030881	9.3096262	2e-10
EXOSC5	8.6631108	-0.60360154	-2.761813	0.0071397493	0.02059629923	10.834358	0
HSPA7	6.3726681	1.63834357	2.7617856	0.0071402943	0.02059629923	10.38556	0
FEN1	8.8845459	-1.13939749	-2.7610269	0.0071554194	0.02063615088	2.4729859	0.0101974792
