A	Coef.KO - WT	Coef.WT - KO	t.KO - WT	t.WT - KO	p.value.KO - WT	p.value.WT - KO	p.value.adj.KO - WT	p.value.adj.WT - KO	F	F.p.value
EIF5A	-1.8782984	0.77397603	-0.77397603	0.5984738	-0.5984738	0.5749146271	0.5749146271	0.97405083038	0.97405083038	0.3581709	0.5749146271
ELAVL1	-2.1831131	-2.27763	2.27763	-1.6168766	1.6168766	0.1652237833	0.1652237833	0.92623449899	0.92623449899	2.61429	0.1652237833
ELAVL4	-2.1460477	2.35176081	-2.35176081	2.0502734	-2.0502734	0.0940603031	0.0940603031	0.92623449899	0.92623449899	4.2036211	0.0940603031
ELMOD2	-1.7961251	3.05160604	-3.05160604	2.1881968	-2.1881968	0.0787865888	0.0787865888	0.92623449899	0.92623449899	4.7882052	0.0787865888
EMD	-2.1917015	-0.71250117	0.71250117	-0.470774	0.470774	0.6571008945	0.6571008945	0.98172036546	0.98172036546	0.2216281	0.6571008945
ENAH	-1.3183158	2.13565473	-2.13565473	1.855827	-1.855827	0.12102508	0.12102508	0.92623449899	0.92623449899	3.4440937	0.12102508
ENO1	3.7254589	-0.11568434	0.11568434	-0.2612361	0.2612361	0.8040534848	0.8040534848	1	1	0.0682443	0.8040534848
EPDR1	-2.8540356	-0.93578497	0.93578497	-1.0550351	1.0550351	0.3384439969	0.3384439969	0.92623449899	0.92623449899	1.113099	0.3384439969
EPHB2	2.5520117	-2.42303685	2.42303685	-1.1523183	1.1523183	0.2999381852	0.2999381852	0.92623449899	0.92623449899	1.3278375	0.2999381852
EPRS1	0.8898113	-1.28523931	1.28523931	-0.7388469	0.7388469	0.4923311337	0.4923311337	0.95481205133	0.95481205133	0.5458948	0.4923311337
ERH	0.0332238	-0.68618796	0.68618796	-0.3724513	0.3724513	0.7244184305	0.7244184305	1	1	0.13872	0.7244184305
ERO1A	-1.9627917	-0.11367897	0.11367897	-0.0657993	0.0657993	0.9500198906	0.9500198906	1	1	0.0043296	0.9500198906
ERP29	0.6379424	0.73819802	-0.73819802	0.4292755	-0.4292755	0.6851187051	0.6851187051	0.98856654381	0.98856654381	0.1842775	0.6851187051
ERP44	0.4030961	-1.64975518	1.64975518	-1.0665477	1.0665477	0.3336777302	0.3336777302	0.92623449899	0.92623449899	1.1375239	0.3336777302
ESYT1	1.1406644	-0.79329762	0.79329762	-0.4294417	0.4294417	0.6850053002	0.6850053002	0.98856654381	0.98856654381	0.1844202	0.6850053002
EZR	-1.0471269	-1.41597584	1.41597584	-0.7303173	0.7303173	0.4971040119	0.4971040119	0.9560334062	0.9560334062	0.5333634	0.4971040119
FABP5	0.9864628	-2.04169026	2.04169026	-1.2526755	1.2526755	0.2642828748	0.2642828748	0.92623449899	0.92623449899	1.5691959	0.2642828748
FAM234A	2.1237505	-0.81868101	0.81868101	-0.9540474	0.9540474	0.382732312	0.382732312	0.93187776157	0.93187776157	0.9102065	0.382732312
FASN	3.1309357	2.50923895	-2.50923895	1.079767	-1.079767	0.3282750037	0.3282750037	0.92623449899	0.92623449899	1.1658968	0.3282750037
FBL	-2.2146187	-0.66666667	0.66666667	-0.4508825	0.4508825	0.6704555898	0.6704555898	0.98548706171	0.98548706171	0.2032951	0.6704555898
FDFT1	-1.9168527	0.20555712	-0.20555712	0.1373617	-0.1373617	0.8959628622	0.8959628622	1	1	0.0188682	0.8959628622
FKBP4	1.7221692	-0.85369513	0.85369513	-1.1547987	1.1547987	0.2990081283	0.2990081283	0.92623449899	0.92623449899	1.3335601	0.2990081283
FLG	-1.0272652	0.61986163	-0.61986163	0.2880593	-0.2880593	0.7845540191	0.7845540191	1	1	0.0829781	0.7845540191
FLNB	3.097663	0.62350159	-0.62350159	1.0084169	-1.0084169	0.3583315494	0.3583315494	0.93187776157	0.93187776157	1.0169046	0.3583315494
FLOT1	-1.5294468	1.1949875	-1.1949875	0.7758865	-0.7758865	0.4719814644	0.4719814644	0.95148881675	0.95148881675	0.6019998	0.4719814644
FLOT2	-1.9923814	2.65909331	-2.65909331	2.1547087	-2.1547087	0.0822376836	0.0822376836	0.92623449899	0.92623449899	4.6427697	0.0822376836
FLVCR1	-1.2491428	0.69895385	-0.69895385	0.4648793	-0.4648793	0.6610437991	0.6610437991	0.98172036546	0.98172036546	0.2161127	0.6610437991
FSCN1	1.8019846	1.20728515	-1.20728515	0.595497	-0.595497	0.5767567382	0.5767567382	0.97405083038	0.97405083038	0.3546167	0.5767567382
FTH1	-1.5572985	-1.41597584	1.41597584	-0.9463918	0.9463918	0.3862736372	0.3862736372	0.93187776157	0.93187776157	0.8956574	0.3862736372
FUBP1	-2.0102006	-0.51017157	0.51017157	-0.3004125	0.3004125	0.7756320677	0.7756320677	1	1	0.0902477	0.7756320677
FUBP3	-2.5294468	0.52832083	-0.52832083	0.4840625	-0.4840625	0.6482583834	0.6482583834	0.97942924783	0.97942924783	0.2343165	0.6482583834
FUS	-1.8611162	-1.3736718	1.3736718	-0.6735	0.6735	0.529716102	0.529716102	0.96617026473	0.96617026473	0.4536022	0.529716102
FXR1	-2.0856193	0.35933417	-0.35933417	0.2257346	-0.2257346	0.8301080168	0.8301080168	1	1	0.0509561	0.8301080168
G3BP2	-3.0577677	-0.52832083	0.52832083	-0.9302101	0.9302101	0.3938451858	0.3938451858	0.93187776157	0.93187776157	0.8652908	0.3938451858
GANAB	-3.0577677	-0.52832083	0.52832083	-0.9302101	0.9302101	0.3938451858	0.3938451858	0.93187776157	0.93187776157	0.8652908	0.3938451858
GAP43	3.5552025	-0.26705154	0.26705154	-0.4381982	0.4381982	0.6790441056	0.6790441056	0.98548706171	0.98548706171	0.1920176	0.6790441056
GAPDH	5.1517591	-0.08435486	0.08435486	-0.2320876	0.2320876	0.8254263034	0.8254263034	1	1	0.0538646	0.8254263034
GARS1	-0.8752565	-0.07413081	0.07413081	-0.0421953	0.0421953	0.9679328509	0.9679328509	1	1	0.0017804	0.9679328509
GART	-2.0102006	-2.62345491	2.62345491	-2.0766464	2.0766464	0.0909156674	0.0909156674	0.92623449899	0.92623449899	4.3124603	0.0909156674
GDAP1	-1.3116433	0.35933417	-0.35933417	0.2555505	-0.2555505	0.8082079645	0.8082079645	1	1	0.0653061	0.8082079645
GDI2	-0.385674	0.40606006	-0.40606006	0.2154353	-0.2154353	0.8377146435	0.8377146435	1	1	0.0464124	0.8377146435
GET3	-2.9349401	0.77397603	-0.77397603	1.0238318	-1.0238318	0.3516506336	0.3516506336	0.92623449899	0.92623449899	1.0482315	0.3516506336
GFRA2	-2.504113	1.6356302	-1.6356302	1.106059	-1.106059	0.3177507118	0.3177507118	0.92623449899	0.92623449899	1.2233665	0.3177507118
GGCT	-0.9313277	-1.18632243	1.18632243	-0.5418871	0.5418871	0.6105484614	0.6105484614	0.97942924783	0.97942924783	0.2936416	0.6105484614
GLUD1	-1.5986198	3.44661667	-3.44661667	8.4855215	-8.4855215	0.0003254098	0.0003254098	0.05678400437	0.05678400437	72.0040748	0.0003254098
GNA13	2.7292009	0.12431737	-0.12431737	0.2253469	-0.2253469	0.8303939226	0.8303939226	1	1	0.0507812	0.8303939226
GNAI3	2.2963087	1.04620547	-1.04620547	1.4906583	-1.4906583	0.1946724346	0.1946724346	0.92623449899	0.92623449899	2.2220622	0.1946724346
GNB1	3.43483	-0.11776696	0.11776696	-0.2741262	0.2741262	0.7946617978	0.7946617978	1	1	0.0751451	0.7946617978
GNG2	-1.024489	0.87156995	-0.87156995	0.4995575	-0.4995575	0.6380294082	0.6380294082	0.97942924783	0.97942924783	0.2495577	0.6380294082
GOT2	-2.0102006	-2.62345491	2.62345491	-2.0766464	2.0766464	0.0909156674	0.0909156674	0.92623449899	0.92623449899	4.3124603	0.0909156674
GPC2	0.2817582	-1.73115991	1.73115991	-1.2886313	1.2886313	0.2524650812	0.2524650812	0.92623449899	0.92623449899	1.6605707	0.2524650812
GPC6	-1.9627917	1.17032064	-1.17032064	0.8805329	-0.8805329	0.417824422	0.417824422	0.93723015951	0.93723015951	0.7753382	0.417824422
GPRIN1	0.989625	0.60865687	-0.60865687	0.4721406	-0.4721406	0.6561885086	0.6561885086	0.98172036546	0.98172036546	0.2229168	0.6561885086
GPX1	-0.6780261	-0.50785399	0.50785399	-0.2815522	0.2815522	0.7892687793	0.7892687793	1	1	0.0792716	0.7892687793
GRPEL1	0.2596802	0.66330373	-0.66330373	0.4423293	-0.4423293	0.6762408364	0.6762408364	0.98548706171	0.98548706171	0.1956552	0.6762408364
GSPT1	-2.0196312	-2.60459373	2.60459373	-6.3625374	6.3625374	0.0012782809	0.0012782809	0.11153000681	0.11153000681	40.481882	0.0012782809
GSTM3	-2.117125	-2.40960623	2.40960623	-2.1492712	2.1492712	0.0828129442	0.0828129442	0.92623449899	0.92623449899	4.6193668	0.0828129442
GSTO1	0.3091772	1.30053425	-1.30053425	0.8452047	-0.8452047	0.4355547077	0.4355547077	0.93812055503	0.93812055503	0.7143709	0.4355547077
GSTP1	0.6440739	2.26014086	-2.26014086	1.4219114	-1.4219114	0.21277519	0.21277519	0.92623449899	0.92623449899	2.0218319	0.21277519
GTF2I	-3.3219281	0	0	0	0	1	1	1	1	0	1
H1-2	-1.8064686	-1.97427738	1.97427738	-1.4826591	1.4826591	0.1967006999	0.1967006999	0.92623449899	0.92623449899	2.1982781	0.1967006999
H1-5	-3.3219281	0	0	0	0	1	1	1	1	0	1
H2AC13	1.0216276	2.07652506	-2.07652506	1.3681009	-1.3681009	0.2280435424	0.2280435424	0.92623449899	0.92623449899	1.8717	0.2280435424
H2BC14	-1.1622902	2.20599252	-2.20599252	1.2622754	-1.2622754	0.2610795007	0.2610795007	0.92623449899	0.92623449899	1.5933392	0.2610795007
H3C15	-2.6139402	1.41597584	-1.41597584	1.0972529	-1.0972529	0.3212430579	0.3212430579	0.92623449899	0.92623449899	1.2039639	0.3212430579
H4C15	2.8140203	0.16250217	-0.16250217	0.2246752	-0.2246752	0.8308894638	0.8308894638	1	1	0.0504789	0.8308894638
HADHA	3.3585756	0.1586726	-0.1586726	0.2531144	-0.2531144	0.8099902575	0.8099902575	1	1	0.0640669	0.8099902575
HADHB	-0.0375661	1.6578426	-1.6578426	1.2274888	-1.2274888	0.2728565293	0.2728565293	0.92623449899	0.92623449899	1.5067287	0.2728565293
HBB	-1.5654016	-0.45641127	0.45641127	-0.2043712	0.2043712	0.8459084044	0.8459084044	1	1	0.0417676	0.8459084044
HDAC2	-2.3145291	2.01479804	-2.01479804	1.6844563	-1.6844563	0.1512988618	0.1512988618	0.92623449899	0.92623449899	2.837393	0.1512988618
HDGF	-2.9349401	-0.77397603	0.77397603	-1.0238318	1.0238318	0.3516506336	0.3516506336	0.92623449899	0.92623449899	1.0482315	0.3516506336
HLA-A	-2.2652864	0	0	0	0	1	1	1	1	0	1
HMGB1	2.4864212	0.91575097	-0.91575097	1.5372071	-1.5372071	0.1832628188	0.1832628188	0.92623449899	0.92623449899	2.3630058	0.1832628188
HMGCS1	-1.7460402	-2.09513407	2.09513407	-1.5559597	1.5559597	0.1788514332	0.1788514332	0.92623449899	0.92623449899	2.4210107	0.1788514332
HNRNPA0	-1.6286162	-0.41366937	0.41366937	-0.1921741	0.1921741	0.8549666962	0.8549666962	1	1	0.0369309	0.8549666962
HNRNPA1	0.4402562	-1.16881537	1.16881537	-0.4421506	0.4421506	0.676361954	0.676361954	0.98548706171	0.98548706171	0.1954972	0.676361954
HNRNPA2B1	0.3075518	-1.50605544	1.50605544	-0.5818232	0.5818232	0.5852653085	0.5852653085	0.97942924783	0.97942924783	0.3385182	0.5852653085
HNRNPA3	-0.2067505	-1.31947363	1.31947363	-0.5324355	0.5324355	0.6166247252	0.6166247252	0.97942924783	0.97942924783	0.2834875	0.6166247252
HNRNPAB	-0.7608744	-1.75917799	1.75917799	-0.751159	0.751159	0.4854988138	0.4854988138	0.95481205133	0.95481205133	0.5642398	0.4854988138
HNRNPC	0.2043293	-0.4163839	0.4163839	-0.1603787	0.1603787	0.8786945095	0.8786945095	1	1	0.0257213	0.8786945095
HNRNPD	-0.5403141	-3.4499447	3.4499447	-2.2437707	2.2437707	0.0733936297	0.0733936297	0.92623449899	0.92623449899	5.0345068	0.0733936297
HNRNPDL	-2.1727918	-2.29827259	2.29827259	-1.119455	1.119455	0.3125007227	0.3125007227	0.92623449899	0.92623449899	1.2531795	0.3125007227
HNRNPF	-0.8119599	-1.16569658	1.16569658	-0.5009321	0.5009321	0.6371263042	0.6371263042	0.97942924783	0.97942924783	0.2509329	0.6371263042
HNRNPH1	2.9507844	-0.38271398	0.38271398	-0.6243775	0.6243775	0.559040077	0.559040077	0.97405083038	0.97405083038	0.3898473	0.559040077
HNRNPH3	-1.2732078	-1.12448613	1.12448613	-0.526578	0.526578	0.6204078334	0.6204078334	0.97942924783	0.97942924783	0.2772844	0.6204078334
HNRNPK	3.5612707	-0.23415588	0.23415588	-0.36922	0.36922	0.7266837215	0.7266837215	1	1	0.1363234	0.7266837215
HNRNPL	-1.5517387	-1.42709537	1.42709537	-0.5939232	0.5939232	0.5777321544	0.5777321544	0.97405083038	0.97405083038	0.3527447	0.5777321544
HNRNPM	-1.0288215	-2.37159448	2.37159448	-1.1963547	1.1963547	0.2837984101	0.2837984101	0.92623449899	0.92623449899	1.4312647	0.2837984101
HNRNPR	0.4580876	-2.35084394	2.35084394	-1.5067888	1.5067888	0.1906432835	0.1906432835	0.92623449899	0.92623449899	2.2704126	0.1906432835
HNRNPU	2.3386875	0.86157833	-0.86157833	0.551959	-0.551959	0.6041119965	0.6041119965	0.97942924783	0.97942924783	0.3046588	0.6041119965
HNRNPUL2	-2.2652864	0	0	0	0	1	1	1	1	0	1
HPCAL1	-0.6024064	0.12085669	-0.12085669	0.0666766	-0.0666766	0.9493547049	0.9493547049	1	1	0.0044458	0.9493547049
HPCAL4	-2.7682734	1.10730936	-1.10730936	1.0758368	-1.0758368	0.329873479	0.329873479	0.92623449899	0.92623449899	1.1574248	0.329873479
HPRT1	2.0244569	0.09269531	-0.09269531	0.155257	-0.155257	0.8825308423	0.8825308423	1	1	0.0241047	0.8825308423
HSD17B10	3.7949593	0.33637307	-0.33637307	0.8434486	-0.8434486	0.4364507273	0.4364507273	0.93812055503	0.93812055503	0.7114056	0.4364507273
HSD17B12	-1.3992202	2.29746368	-2.29746368	2.1815786	-2.1815786	0.0794562829	0.0794562829	0.92623449899	0.92623449899	4.7592851	0.0794562829
HSD17B4	-1.1719094	-1.37182574	1.37182574	-0.7451642	0.7451642	0.4888170526	0.4888170526	0.95481205133	0.95481205133	0.5552697	0.4888170526
HSP90AB1	3.2201953	0.19519709	-0.19519709	0.4994096	-0.4994096	0.6381265958	0.6381265958	0.97942924783	0.97942924783	0.24941	0.6381265958
HSPA1A	4.2749106	0.19825942	-0.19825942	0.5235287	-0.5235287	0.622382474	0.622382474	0.97942924783	0.97942924783	0.2740823	0.622382474
HSPA5	5.5914519	0.01753342	-0.01753342	0.0462293	-0.0462293	0.964869645	0.964869645	1	1	0.0021371	0.964869645
HSPA8	6.0307322	-0.04329343	0.04329343	-0.1227891	0.1227891	0.9069301776	0.9069301776	1	1	0.0150772	0.9069301776
HSPA9	4.6249638	-0.01042794	0.01042794	-0.0208462	0.0208462	0.984153306	0.984153306	1	1	0.0004346	0.984153306
HSPB1	0.7757999	1.52691264	-1.52691264	0.9372675	-0.9372675	0.3905285323	0.3905285323	0.93187776157	0.93187776157	0.8784704	0.3905285323
HSPBP1	-2.6269406	-1.389975	1.389975	-1.0959438	1.0959438	0.3217650037	0.3217650037	0.92623449899	0.92623449899	1.2010928	0.3217650037
HSPD1	5.2223222	0.3171353	-0.3171353	0.8874431	-0.8874431	0.4144222858	0.4144222858	0.93723015951	0.93723015951	0.7875553	0.4144222858
HSPE1	1.3644325	1.21637585	-1.21637585	0.6643008	-0.6643008	0.5351288607	0.5351288607	0.96685142635	0.96685142635	0.4412955	0.5351288607
HSPH1	3.724707	-0.04944556	0.04944556	-0.1181465	0.1181465	0.9104292625	0.9104292625	1	1	0.0139586	0.9104292625
HUWE1	-1.9387268	1.21845061	-1.21845061	1.0478487	-1.0478487	0.3414481384	0.3414481384	0.92623449899	0.92623449899	1.097987	0.3414481384
HYOU1	2.6604061	-0.21552842	0.21552842	-0.1929432	0.1929432	0.8543947402	0.8543947402	1	1	0.0372271	0.8543947402
IARS1	-1.0695579	0.84350491	-0.84350491	0.5540349	-0.5540349	0.6027904092	0.6027904092	0.97942924783	0.97942924783	0.3069547	0.6027904092
IDH2	1.4563452	2.85302505	-2.85302505	1.7861013	-1.7861013	0.1325264214	0.1325264214	0.92623449899	0.92623449899	3.1901579	0.1325264214
IGLON5	-0.5958528	-3.06217566	3.06217566	-2.7563652	2.7563652	0.0388307852	0.0388307852	0.92623449899	0.92623449899	7.5975489	0.0388307852
ILF2	-0.1936734	0.17032064	-0.17032064	0.1011472	-0.1011472	0.9232602582	0.9232602582	1	1	0.0102308	0.9232602582
ILF3	-1.0838463	-0.81492828	0.81492828	-0.3259949	0.3259949	0.7572804661	0.7572804661	1	1	0.1062727	0.7572804661
IMPDH2	-0.5393402	2.73322411	-2.73322411	2.1028515	-2.1028515	0.0878999171	0.0878999171	0.92623449899	0.92623449899	4.4219845	0.0878999171
INA	0.8907006	-3.42006095	3.42006095	-2.7259687	2.7259687	0.0402847978	0.0402847978	0.92623449899	0.92623449899	7.4309051	0.0402847978
IPO5	4.0466804	-0.05736779	0.05736779	-0.1684804	0.1684804	0.8726336702	0.8726336702	1	1	0.0283857	0.8726336702
IPO7	-2.4066192	-1.8306177	1.8306177	-2.0417859	2.0417859	0.0950963367	0.0950963367	0.92623449899	0.92623449899	4.1688897	0.0950963367
IPO9	-2.6707797	-1.30229687	1.30229687	-1.0909795	1.0909795	0.3237509556	0.3237509556	0.92623449899	0.92623449899	1.1902363	0.3237509556
ISOC1	0.8103481	-1.84134509	1.84134509	-1.1570941	1.1570941	0.2981496811	0.2981496811	0.92623449899	0.92623449899	1.3388668	0.2981496811
ISYNA1	-1.4769079	1.47542158	-1.47542158	0.8544593	-0.8544593	0.4308555342	0.4308555342	0.93812055503	0.93812055503	0.7301007	0.4308555342
ITGA1	4.638357	0.77936815	-0.77936815	1.3293263	-1.3293263	0.2396729968	0.2396729968	0.92623449899	0.92623449899	1.7671083	0.2396729968
ITGA2	1.6374293	3.86750443	-3.86750443	2.4285862	-2.4285862	0.058116094	0.058116094	0.92623449899	0.92623449899	5.8980311	0.058116094
ITGAV	1.4666047	4.79045953	-4.79045953	2.2311398	-2.2311398	0.0745839627	0.0745839627	0.92623449899	0.92623449899	4.9779846	0.0745839627
ITGB1	5.1564376	0.64718661	-0.64718661	1.5854382	-1.5854382	0.1721249273	0.1721249273	0.92623449899	0.92623449899	2.5136144	0.1721249273
ITGB5	-0.4720642	1.37182574	-1.37182574	0.738628	-0.738628	0.492453207	0.492453207	0.95481205133	0.95481205133	0.5455714	0.492453207
JPT1	-2.3334719	1.97691245	-1.97691245	1.1145661	-1.1145661	0.3144079975	0.3144079975	0.92623449899	0.92623449899	1.2422576	0.3144079975
JPT2	-1.5572985	-1.41597584	1.41597584	-0.9463918	0.9463918	0.3862736372	0.3862736372	0.93187776157	0.93187776157	0.8956574	0.3862736372
K2M2_SHEEP	-1.8324884	-0.76426058	0.76426058	-0.3928559	0.3928559	0.7101878586	0.7101878586	1	1	0.1543358	0.7101878586
KARS1	-2.8540356	0.93578497	-0.93578497	1.0550351	-1.0550351	0.3384439969	0.3384439969	0.92623449899	0.92623449899	1.113099	0.3384439969
KCTD12	-2.6139402	1.41597584	-1.41597584	1.0972529	-1.0972529	0.3212430579	0.3212430579	0.92623449899	0.92623449899	1.2039639	0.3212430579
KHDRBS1	-2.3414876	-1.96088102	1.96088102	-1.1142596	1.1142596	0.3145278848	0.3145278848	0.92623449899	0.92623449899	1.2415745	0.3145278848
KHSRP	-0.5067811	-2.49666743	2.49666743	-1.3347627	1.3347627	0.238010006	0.238010006	0.92623449899	0.92623449899	1.7815915	0.238010006
KIF21A	-2.8540356	-0.93578497	0.93578497	-1.0550351	1.0550351	0.3384439969	0.3384439969	0.92623449899	0.92623449899	1.113099	0.3384439969
KIF5C	1.1193512	1.06706903	-1.06706903	0.5968995	-0.5968995	0.575888394	0.575888394	0.97405083038	0.97405083038	0.356289	0.575888394
KLC1	-2.4232085	-1.79743914	1.79743914	-1.7507616	1.7507616	0.1387721533	0.1387721533	0.92623449899	0.92623449899	3.0651662	0.1387721533
KPNA2	-2.117125	0.1949875	-0.1949875	0.126422	-0.126422	0.9041937832	0.9041937832	1	1	0.0159825	0.9041937832
KPNB1	5.2267504	-0.21093034	0.21093034	-0.5427771	0.5427771	0.6099780616	0.6099780616	0.97942924783	0.97942924783	0.294607	0.6099780616
KRT77	2.172413	-1.01074158	1.01074158	-0.3397428	0.3397428	0.7474912176	0.7474912176	1	1	0.1154252	0.7474912176
KTN1	-2.6139402	-1.41597584	1.41597584	-1.0972529	1.0972529	0.3212430579	0.3212430579	0.92623449899	0.92623449899	1.2039639	0.3212430579
L1CAM	3.5089564	0.01347626	-0.01347626	0.0276366	-0.0276366	0.978992821	0.978992821	1	1	0.0007638	0.978992821
LAMC1	-2.6269406	1.389975	-1.389975	1.0959438	-1.0959438	0.3217650037	0.3217650037	0.92623449899	0.92623449899	1.2010928	0.3217650037
LAMP1	-2.3718548	-1.90014657	1.90014657	-1.11303	1.11303	0.3150093285	0.3150093285	0.92623449899	0.92623449899	1.2388358	0.3150093285
LAMTOR1	-2.5294468	-0.52832083	0.52832083	-0.4840625	0.4840625	0.6482583834	0.6482583834	0.97942924783	0.97942924783	0.2343165	0.6482583834
LCE1C	0.7043441	0.61599897	-0.61599897	1.4638269	-1.4638269	0.20155591	0.20155591	0.92623449899	0.92623449899	2.1427893	0.20155591
LDAH	-1.6638669	3.31612241	-3.31612241	2.2040304	-2.2040304	0.0772085254	0.0772085254	0.92623449899	0.92623449899	4.8577499	0.0772085254
LDHB	4.2195242	-0.13585047	0.13585047	-0.2856723	0.2856723	0.7862823279	0.7862823279	1	1	0.0816087	0.7862823279
LETM1	-2.4811957	1.68146471	-1.68146471	1.1074954	-1.1074954	0.3171841858	0.3171841858	0.92623449899	0.92623449899	1.226546	0.3171841858
LGALS1	3.5053106	0.17866957	-0.17866957	0.4724994	-0.4724994	0.6559491554	0.6559491554	0.98172036546	0.98172036546	0.2232556	0.6559491554
LGALS7B	-1.9991551	-1.09759392	1.09759392	-0.6045098	0.6045098	0.5711906191	0.5711906191	0.97405083038	0.97405083038	0.3654321	0.5711906191
LMAN2	-3.3219281	0	0	0	0	1	1	1	1	0	1
LMNB1	-2.0856193	0.35933417	-0.35933417	0.2257346	-0.2257346	0.8301080168	0.8301080168	1	1	0.0509561	0.8301080168
LOR	-2.137174	-1.31286649	1.31286649	-0.7630858	0.7630858	0.4789447995	0.4789447995	0.95481205133	0.95481205133	0.5822999	0.4789447995
LRP1	-3.0577677	-0.52832083	0.52832083	-0.9302101	0.9302101	0.3938451858	0.3938451858	0.93187776157	0.93187776157	0.8652908	0.3938451858
LRPPRC	-0.1988291	3.0762729	-3.0762729	3.2942044	-3.2942044	0.020740007	0.020740007	0.92623449899	0.92623449899	10.8517829	0.020740007
LRRC4B	-2.0856193	-0.35933417	0.35933417	-0.2257346	0.2257346	0.8301080168	0.8301080168	1	1	0.0509561	0.8301080168
LRRC59	-0.9104059	1.65311934	-1.65311934	0.7941236	-0.7941236	0.4621878598	0.4621878598	0.94606195357	0.94606195357	0.6306323	0.4621878598
LSAMP	3.4360578	0.31161798	-0.31161798	0.4549497	-0.4549497	0.6677136067	0.6677136067	0.98548706171	0.98548706171	0.2069792	0.6677136067
LSS	1.6463888	0.07085099	-0.07085099	0.0827441	-0.0827441	0.9371803885	0.9371803885	1	1	0.0068466	0.9371803885
LUC7L2	-0.5036438	0.69133353	-0.69133353	0.5548459	-0.5548459	0.6022745639	0.6022745639	0.97942924783	0.97942924783	0.3078539	0.6022745639
LYZ	-1.7116317	-1.10730936	1.10730936	-0.8062267	0.8062267	0.4557710186	0.4557710186	0.94120760646	0.94120760646	0.6500014	0.4557710186
M6PR	-1.3693393	1.07322601	-1.07322601	0.5321102	-0.5321102	0.616834462	0.616834462	0.97942924783	0.97942924783	0.2831413	0.616834462
MAOA	-2.1269406	-0.27669167	0.27669167	-0.1802181	0.1802181	0.8638704027	0.8638704027	1	1	0.0324786	0.8638704027
MAP1B	1.2588157	-2.314624	2.314624	-1.407178	1.407178	0.2168573135	0.2168573135	0.92623449899	0.92623449899	1.9801499	0.2168573135
MAP4K4	-1.2072197	-1.34813137	1.34813137	-0.7475052	0.7475052	0.4875193658	0.4875193658	0.95481205133	0.95481205133	0.558764	0.4875193658
MARCKS	3.239143	0.00308467	-0.00308467	0.0068191	-0.0068191	0.9948159152	0.9948159152	1	1	4.65e-05	0.9948159152
MARCKSL1	2.0967026	-0.73912478	0.73912478	-1.2386351	1.2386351	0.2690319116	0.2690319116	0.92623449899	0.92623449899	1.5342168	0.2690319116
MARS1	-1.9232085	0.13077247	-0.13077247	0.0736083	-0.0736083	0.9441003981	0.9441003981	1	1	0.0054182	0.9441003981
MAT2A	1.8635159	-0.51671653	0.51671653	-0.7494374	0.7494374	0.4864500773	0.4864500773	0.95481205133	0.95481205133	0.5616565	0.4864500773
MAT2B	0.0692571	0.73115991	-0.73115991	0.4381001	-0.4381001	0.6791107116	0.6791107116	0.98548706171	0.98548706171	0.1919317	0.6791107116
MATR3	-2.0971401	-2.44957605	2.44957605	-1.1211347	1.1211347	0.3118477412	0.3118477412	0.92623449899	0.92623449899	1.256943	0.3118477412
MCAM	-1.6492325	-0.24948708	0.24948708	-0.1178288	0.1178288	0.9106687745	0.9106687745	1	1	0.0138836	0.9106687745
MCCC2	-2.9349401	-0.77397603	0.77397603	-1.0238318	1.0238318	0.3516506336	0.3516506336	0.92623449899	0.92623449899	1.0482315	0.3516506336
MDH1	0.0302368	1.04309434	-1.04309434	0.600302	-0.600302	0.5737850893	0.5737850893	0.97405083038	0.97405083038	0.3603625	0.5737850893
MDH2	1.7319618	1.51452362	-1.51452362	1.4620477	-1.4620477	0.2020204806	0.2020204806	0.92623449899	0.92623449899	2.1375836	0.2020204806
MGRN1	-2.6707797	-1.30229687	1.30229687	-1.0909795	1.0909795	0.3237509556	0.3237509556	0.92623449899	0.92623449899	1.1902363	0.3237509556
MIF	1.8779641	-0.05664167	0.05664167	-0.1175272	0.1175272	0.9108961815	0.9108961815	1	1	0.0138126	0.9108961815
MMAB	-0.9313277	0.26029424	-0.26029424	0.1575873	-0.1575873	0.8807849377	0.8807849377	1	1	0.0248337	0.8807849377
MPDU1	-2.1961135	-0.13834583	0.13834583	-0.0958091	0.0958091	0.9272950398	0.9272950398	1	1	0.0091794	0.9272950398
MPZL1	1.0560922	0.41388446	-0.41388446	0.2067042	-0.2067042	0.8441788088	0.8441788088	1	1	0.0427266	0.8441788088
MRC2	-0.5257189	3.4791351	-3.4791351	3.0040356	-3.0040356	0.0289289955	0.0289289955	0.92623449899	0.92623449899	9.02423	0.0289289955
MTPN	0.5982799	2.6312286	-2.6312286	2.0153209	-2.0153209	0.0984038782	0.0984038782	0.92623449899	0.92623449899	4.0615182	0.0984038782
MYEF2	-3.3219281	0	0	0	0	1	1	1	1	0	1
MYH9	5.396234	-0.04851003	0.04851003	-0.1215056	0.1215056	0.9078972935	0.9078972935	1	1	0.0147636	0.9078972935
MYL12B	-0.3938166	1.74293956	-1.74293956	1.2413102	-1.2413102	0.2681212083	0.2681212083	0.92623449899	0.92623449899	1.5408509	0.2681212083
MYL6	0.902506	-1.33038845	1.33038845	-0.7781968	0.7781968	0.4707325095	0.4707325095	0.95148881675	0.95148881675	0.6055903	0.4707325095
