Query id	Subject id	% identity	alignment length	mismatches	gap openings	q. start	q. end	s. start	s. end	e-value	bit score
lcl|YNL006W	NP_660337	20.47	171	136	13	188	19	571	729	4e-04	42.7
lcl|YNL006W	NP_660337	28.57	91	65	9	159	74	657	743	8e-04	41.6
lcl|YNL006W	NP_005048	22.22	234	182	31	286	74	65	288	3e-08	56.2
lcl|YNL006W	NP_115708	21.89	233	182	11	236	6	41	264	3e-08	56.2
lcl|YNL006W	NP_115708	24.30	214	162	15	279	70	62	264	2e-06	50.1
lcl|YNL006W	NP_115708	22.63	190	147	14	184	2	121	303	2e-05	47.0
lcl|YNL006W	NP_115708	29.03	93	66	1	302	210	28	119	2e-05	47.0
lcl|YNL006W	NP_065851	26.11	180	133	10	182	5	121	292	4e-08	55.8
lcl|YNL006W	NP_000279	22.67	247	191	20	278	42	79	315	4e-08	55.8
lcl|YNL006W	NP_000279	22.53	182	141	15	172	4	127	306	2e-04	43.9
lcl|YNL006W	NP_113644	22.13	244	190	18	278	36	415	641	7e-08	55.1
lcl|YNL006W	NP_113644	26.85	149	109	12	150	5	508	647	1e-05	47.8
lcl|YNL006W	NP_113644	22.34	188	146	17	183	5	468	647	2e-05	46.6
lcl|YNL006W	NP_071902	22.58	186	144	6	186	4	485	667	7e-08	55.1
lcl|YNL006W	NP_071902	21.83	229	179	28	291	78	424	639	0.002	40.0
lcl|YNL006W	NP_001001740	22.58	186	144	6	186	4	461	643	7e-08	55.1
lcl|YNL006W	NP_001001740	21.83	229	179	28	291	78	400	615	0.002	40.0
lcl|YNL006W	NP_056975	21.99	241	188	22	234	6	348	578	9e-08	54.7
lcl|YNL006W	NP_056975	22.30	305	237	63	298	4	303	554	1e-07	54.3
lcl|YNL006W	NP_056975	26.05	119	88	10	301	183	274	382	9e-06	48.1
lcl|YNL006W	NP_056975	24.66	146	110	7	144	6	434	579	1e-04	44.3
lcl|YNL006W	NP_036585	20.35	231	184	28	278	69	84	307	1e-07	54.3
lcl|YNL006W	NP_036585	20.35	231	184	20	241	28	86	313	4e-04	42.7
lcl|YNL006W	NP_036585	29.52	105	74	12	283	187	70	170	0.002	40.0
lcl|YNL006W	NP_851782	31.86	113	77	4	150	42	508	620	3e-07	53.1
lcl|YNL006W	NP_851782	21.22	278	219	61	297	73	367	636	9e-05	44.7
lcl|YNL006W	NP_733828	31.86	113	77	4	150	42	532	644	3e-07	53.1
lcl|YNL006W	NP_733828	21.22	278	219	61	297	73	391	660	9e-05	44.7
lcl|YNL006W	NP_004695	19.44	216	174	20	277	73	197	403	3e-07	53.1
lcl|YNL006W	NP_004695	23.42	222	170	22	282	73	144	355	2e-05	47.0
lcl|YNL006W	NP_004695	19.53	215	173	10	241	33	200	410	6e-05	45.4
lcl|YNL006W	NP_004695	24.82	137	103	8	291	161	148	282	0.002	40.0
lcl|YNL006W	NP_694984	20.87	254	201	31	229	5	283	534	3e-07	52.8
lcl|YNL006W	NP_694984	23.32	223	171	15	283	73	178	397	2e-05	46.6
lcl|YNL006W	NP_694984	21.07	318	251	54	288	11	201	504	4e-05	45.8
lcl|YNL006W	NP_694984	18.88	196	159	2	291	96	70	263	1e-04	44.3
lcl|YNL006W	NP_694984	16.54	254	212	34	291	68	215	464	0.015	37.4
lcl|YNL006W	NP_443182	22.94	231	178	18	280	55	179	396	5e-07	52.4
lcl|YNL006W	NP_443182	16.86	172	143	6	237	67	106	272	0.004	39.3
lcl|YNL006W	NP_387505	19.08	304	246	66	291	11	207	467	5e-07	52.4
lcl|YNL006W	NP_387505	19.92	251	201	28	229	5	289	537	2e-06	50.4
lcl|YNL006W	NP_387505	21.86	215	168	13	277	73	184	395	0.001	40.8
lcl|YNL006W	NP_387505	25.00	96	72	1	291	196	175	269	0.005	38.9
lcl|YNL006W	NP_008936	19.76	253	203	19	279	32	533	771	5e-07	52.4
lcl|YNL006W	NP_008936	23.78	185	141	30	243	74	486	655	4e-05	45.8
lcl|YNL006W	NP_008936	25.40	126	94	6	302	180	507	629	1e-04	44.3
lcl|YNL006W	NP_008936	20.00	235	188	14	236	5	548	771	0.001	40.8
lcl|YNL006W	NP_061836	19.08	304	246	66	291	11	207	467	5e-07	52.4
lcl|YNL006W	NP_061836	19.92	251	201	28	229	5	289	537	2e-06	50.4
lcl|YNL006W	NP_061836	21.86	215	168	13	277	73	184	395	0.001	40.8
lcl|YNL006W	NP_061836	25.00	96	72	1	291	196	175	269	0.005	38.9
lcl|YNL006W	NP_003571	19.66	295	237	52	302	11	651	896	6e-07	52.0
lcl|YNL006W	NP_003571	19.76	253	203	22	285	39	604	840	8e-07	51.6
lcl|YNL006W	NP_115551	23.44	192	147	12	235	46	95	276	8e-07	51.6
lcl|YNL006W	NP_115551	19.82	227	182	17	288	67	72	286	5e-06	48.9
lcl|YNL006W	NP_115551	20.69	116	92	2	119	4	179	292	4e-04	42.7
lcl|YNL006W	NP_660284	21.59	227	178	18	281	66	93	312	8e-07	51.6
lcl|YNL006W	NP_660284	28.41	88	63	0	287	200	95	182	9e-05	44.7
lcl|YNL006W	NP_001012361	21.59	227	178	18	281	66	94	313	8e-07	51.6
lcl|YNL006W	NP_001012361	28.41	88	63	0	287	200	96	183	9e-05	44.7
lcl|YNL006W	NP_000073	22.31	242	188	37	283	74	42	278	8e-07	51.6
lcl|YNL006W	NP_000073	20.16	248	198	30	297	74	98	339	4e-04	42.7
lcl|YNL006W	NP_077007	24.33	263	199	21	274	22	71	322	1e-06	51.2
lcl|YNL006W	NP_001315	19.39	263	212	35	290	59	88	346	1e-06	51.2
lcl|YNL006W	NP_001315	21.86	247	193	25	234	4	187	424	1e-05	47.8
lcl|YNL006W	NP_001028694	19.39	263	212	35	290	59	88	346	1e-06	51.2
lcl|YNL006W	NP_001028694	21.86	247	193	25	234	4	187	424	1e-05	47.8
lcl|YNL006W	NP_001028693	19.39	263	212	35	290	59	88	346	1e-06	51.2
lcl|YNL006W	NP_001028693	21.86	247	193	25	234	4	187	424	1e-05	47.8
lcl|YNL006W	NP_056305	25.13	195	146	22	285	105	110	296	1e-06	50.8
lcl|YNL006W	NP_115647	24.91	285	214	31	277	1	407	668	2e-06	50.4
lcl|YNL006W	NP_115647	22.58	217	168	56	285	70	391	552	0.004	39.3
lcl|YNL006W	NP_009109	22.33	206	160	14	277	74	99	292	2e-06	50.4
lcl|YNL006W	NP_009109	32.26	93	63	3	294	203	55	145	1e-05	47.4
lcl|YNL006W	NP_009109	21.03	233	184	15	298	68	52	271	4e-05	45.8
lcl|YNL006W	NP_009109	23.13	134	103	5	143	11	163	292	3e-04	43.1
lcl|YNL006W	NP_009109	25.81	93	69	2	102	10	202	292	5e-04	42.4
lcl|YNL006W	NP_071918	22.74	277	214	58	301	70	1526	1789	2e-06	50.4
lcl|YNL006W	NP_071918	27.18	103	75	5	106	4	1672	1769	0.009	38.1
lcl|YNL006W	NP_055417	18.15	292	239	30	283	22	983	1274	2e-06	50.4
lcl|YNL006W	NP_055417	20.08	239	191	24	277	58	1124	1357	0.002	40.4
lcl|YNL006W	NP_055417	31.73	104	71	6	102	4	1255	1357	0.005	38.9
lcl|YNL006W	NP_001006624	22.77	101	78	2	144	44	132	230	2e-06	50.1
lcl|YNL006W	NP_001006624	27.27	99	72	2	103	5	134	230	2e-05	47.0
lcl|YNL006W	NP_001006624	23.14	121	93	8	234	114	117	229	0.026	36.6
lcl|YNL006W	NP_115918	30.56	72	50	0	145	74	291	362	2e-06	50.1
lcl|YNL006W	NP_115918	28.38	74	53	2	279	206	291	362	0.004	39.3
lcl|YNL006W	NP_644810	25.23	107	80	4	106	1	550	653	2e-06	50.1
lcl|YNL006W	NP_644810	19.33	119	96	1	190	72	536	653	3e-04	43.1
lcl|YNL006W	NP_644810	18.64	236	192	16	277	47	136	360	0.007	38.5
lcl|YNL006W	NP_644810	34.33	67	44	1	279	213	586	651	0.015	37.4
lcl|YNL006W	NP_036287	23.12	160	123	11	281	125	386	537	2e-06	50.1
lcl|YNL006W	NP_036287	22.03	177	138	17	296	129	264	432	6e-04	42.0
lcl|YNL006W	NP_001008707	21.22	245	193	36	277	43	500	718	3e-06	49.7
lcl|YNL006W	NP_009017	23.35	197	151	17	188	5	67	259	3e-06	49.7
lcl|YNL006W	NP_009017	23.03	178	137	25	280	110	7	166	4e-06	49.3
lcl|YNL006W	NP_009017	22.29	166	129	9	238	73	11	167	7e-05	45.1
lcl|YNL006W	NP_009017	23.43	175	134	18	166	3	149	316	0.002	40.0
lcl|YNL006W	NP_005103	19.44	324	261	46	283	2	106	425	3e-06	49.7
lcl|YNL006W	NP_005103	21.88	224	175	20	236	23	40	253	1e-05	47.8
lcl|YNL006W	NP_005103	22.50	160	124	6	280	122	311	465	0.001	40.8
lcl|YNL006W	NP_005103	27.91	86	62	4	288	206	48	132	0.002	40.4
lcl|YNL006W	NP_059830	19.44	324	261	46	283	2	246	565	3e-06	49.7
lcl|YNL006W	NP_059830	21.49	242	190	20	236	5	162	393	9e-06	48.1
lcl|YNL006W	NP_059830	19.25	239	193	27	288	64	47	272	7e-05	45.1
lcl|YNL006W	NP_059830	24.64	207	156	26	296	103	44	237	9e-05	44.7
lcl|YNL006W	NP_059830	22.50	160	124	6	280	122	451	605	0.001	40.8
lcl|YNL006W	NP_115635	20.54	297	236	55	271	30	24	320	3e-06	49.7
lcl|YNL006W	NP_004425	21.22	245	193	36	277	43	481	699	3e-06	49.7
lcl|YNL006W	NP_113673	26.52	132	97	7	165	41	272	403	4e-06	49.3
lcl|YNL006W	NP_001246	21.32	197	155	25	234	50	287	470	4e-06	49.3
lcl|YNL006W	NP_001246	22.83	92	71	0	102	11	379	470	0.004	39.3
lcl|YNL006W	NP_001246	20.75	294	233	26	291	18	155	442	0.009	38.1
lcl|YNL006W	NP_001246	19.10	199	161	26	296	106	178	358	0.012	37.7
lcl|YNL006W	NP_001007794	22.89	201	155	25	188	4	110	301	5e-06	48.9
lcl|YNL006W	NP_001007794	21.53	144	113	6	145	2	27	164	0.005	38.9
lcl|YNL006W	NP_004716	22.89	201	155	25	188	4	110	301	5e-06	48.9
lcl|YNL006W	NP_004716	21.53	144	113	6	145	2	27	164	0.005	38.9
lcl|YNL006W	NP_085058	20.07	274	219	25	272	17	90	356	7e-06	48.5
lcl|YNL006W	NP_077321	31.20	125	86	8	153	35	171	293	7e-06	48.5
lcl|YNL006W	NP_077321	27.83	115	83	6	278	164	173	281	2e-05	46.6
lcl|YNL006W	NP_077321	27.03	74	54	2	103	30	210	281	0.002	40.4
lcl|YNL006W	NP_000098	28.57	98	70	5	166	74	241	338	9e-06	48.1
lcl|YNL006W	NP_851937	35.06	77	50	7	145	74	269	343	9e-06	48.1
lcl|YNL006W	NP_851938	35.06	77	50	7	145	74	199	273	9e-06	48.1
lcl|YNL006W	NP_056419	35.06	77	50	7	145	74	369	443	9e-06	48.1
lcl|YNL006W	NP_079506	28.92	83	59	5	105	28	303	385	9e-06	48.1
lcl|YNL006W	NP_079506	19.92	236	189	23	283	65	162	391	9e-05	44.7
lcl|YNL006W	NP_079506	26.03	73	54	1	159	88	454	526	0.020	37.0
lcl|YNL006W	NP_852002	28.92	83	59	5	105	28	277	359	9e-06	48.1
lcl|YNL006W	NP_852002	19.92	236	189	23	283	65	136	365	9e-05	44.7
lcl|YNL006W	NP_852002	26.03	73	54	1	159	88	428	500	0.020	37.0
lcl|YNL006W	NP_060121	22.08	231	180	16	288	73	652	881	9e-06	48.1
lcl|YNL006W	XP_001133215	26.85	149	109	12	150	5	35	174	9e-06	48.1
lcl|YNL006W	NP_055784	26.67	150	110	12	143	4	769	916	1e-05	47.8
lcl|YNL006W	NP_055784	18.64	236	192	50	277	46	727	916	8e-04	41.6
lcl|YNL006W	NP_055784	20.07	274	219	22	296	40	624	892	0.020	37.0
lcl|YNL006W	NP_640337	20.00	180	144	20	206	40	107	279	1e-05	47.8
lcl|YNL006W	NP_005601	25.60	168	125	16	158	5	193	358	1e-05	47.8
lcl|YNL006W	NP_005601	21.65	231	181	66	280	66	168	348	0.020	37.0
lcl|YNL006W	NP_005500	24.09	137	104	6	157	27	2833	2969	1e-05	47.4
lcl|YNL006W	NP_005500	20.86	187	148	13	240	65	2828	3012	5e-04	42.4
lcl|YNL006W	NP_005500	21.32	197	155	27	251	73	2785	2972	0.012	37.7
lcl|YNL006W	NP_079436	20.61	228	181	18	294	74	207	423	1e-05	47.4
lcl|YNL006W	NP_079436	34.88	86	56	5	296	216	217	302	7e-05	45.1
lcl|YNL006W	NP_079436	18.73	251	204	43	301	70	249	475	1e-04	44.3
lcl|YNL006W	NP_060404	23.60	250	191	23	283	44	162	398	1e-05	47.4
lcl|YNL006W	NP_060404	21.71	152	119	18	188	55	345	496	2e-04	43.9
lcl|YNL006W	NP_060404	25.00	96	72	1	291	196	172	266	8e-04	41.6
lcl|YNL006W	NP_060404	19.09	309	250	38	288	11	204	505	0.001	40.8
lcl|YNL006W	NP_056280	21.57	343	269	51	299	4	351	689	2e-05	47.0
lcl|YNL006W	NP_079431	26.53	98	72	1	103	6	108	204	2e-05	47.0
lcl|YNL006W	NP_079431	26.25	80	59	1	150	72	131	210	5e-04	42.4
lcl|YNL006W	NP_079431	25.00	136	102	3	302	168	53	186	5e-04	42.4
lcl|YNL006W	NP_079431	25.42	118	88	7	278	161	94	204	0.004	39.3
lcl|YNL006W	NP_079431	21.74	115	90	2	187	74	91	204	0.020	37.0
lcl|YNL006W	NP_008993	23.93	234	178	12	296	69	250	477	2e-05	47.0
lcl|YNL006W	NP_008993	24.32	148	112	9	145	4	271	415	0.012	37.7
lcl|YNL006W	NP_036296	23.53	204	156	24	191	4	160	355	2e-05	47.0
lcl|YNL006W	NP_036296	20.67	179	142	24	284	115	147	310	9e-05	44.7
lcl|YNL006W	NP_055809	23.31	236	181	62	260	80	343	571	2e-05	47.0
lcl|YNL006W	NP_055809	36.21	58	37	2	301	246	86	143	0.002	40.0
lcl|YNL006W	NP_057085	20.11	189	151	6	226	42	306	492	2e-05	47.0
lcl|YNL006W	NP_057085	19.81	207	166	13	278	78	254	453	0.026	36.6
lcl|YNL006W	NP_003251	18.66	284	231	24	279	6	472	741	2e-05	46.6
lcl|YNL006W	NP_003251	20.43	235	187	14	236	5	518	741	4e-04	42.7
lcl|YNL006W	NP_003251	26.32	95	70	1	302	209	505	599	8e-04	41.6
lcl|YNL006W	NP_006373	26.17	149	110	12	150	5	8	147	2e-05	46.6
lcl|YNL006W	NP_689631	28.57	105	75	12	169	74	269	370	2e-05	46.6
lcl|YNL006W	NP_004402	26.56	128	94	10	188	71	480	607	2e-05	46.6
lcl|YNL006W	NP_001369	25.00	128	96	10	188	71	472	599	3e-05	46.2
lcl|YNL006W	NP_056078	21.89	233	182	16	242	23	2799	3028	3e-05	46.2
lcl|YNL006W	XP_049078	17.22	209	173	12	236	29	1229	1426	4e-05	45.8
lcl|YNL006W	XP_049078	24.75	101	76	2	218	119	970	1069	0.034	36.2
lcl|YNL006W	NP_060504	21.13	213	168	31	188	5	197	407	4e-05	45.8
lcl|YNL006W	NP_060504	22.22	279	217	47	270	27	177	443	9e-05	44.7
lcl|YNL006W	NP_060504	18.18	176	144	16	278	119	185	360	0.002	40.0
lcl|YNL006W	XP_945978	17.22	209	173	12	236	29	1229	1426	4e-05	45.8
lcl|YNL006W	XP_945978	24.75	101	76	2	218	119	970	1069	0.034	36.2
lcl|YNL006W	NP_872358	19.54	261	210	31	301	69	579	836	4e-05	45.8
lcl|YNL006W	NP_872358	19.37	253	204	25	291	63	531	782	8e-04	41.6
lcl|YNL006W	NP_005068	24.32	185	140	30	243	74	483	652	4e-05	45.8
lcl|YNL006W	NP_005068	25.40	126	94	6	302	180	504	626	5e-04	42.4
lcl|YNL006W	NP_005068	20.00	235	188	14	236	5	545	768	0.001	40.8
lcl|YNL006W	NP_002884	25.93	162	120	17	149	5	192	353	7e-05	45.1
lcl|YNL006W	NP_003601	25.74	101	75	2	144	46	57	157	7e-05	45.1
lcl|YNL006W	NP_001015885	25.74	101	75	2	144	46	57	157	7e-05	45.1
lcl|YNL006W	NP_076962	21.47	163	128	4	205	45	94	254	1e-04	44.3
lcl|YNL006W	NP_001008397	25.19	131	98	14	188	70	8	136	1e-04	44.3
lcl|YNL006W	NP_001008397	23.43	175	134	18	166	3	26	193	0.002	40.0
lcl|YNL006W	NP_000072	24.86	181	136	17	243	73	3614	3787	1e-04	44.3
lcl|YNL006W	NP_001025126	32.47	77	52	7	145	74	269	343	1e-04	44.3
lcl|YNL006W	NP_438171	30.51	118	82	16	175	73	80	196	2e-04	43.9
lcl|YNL006W	NP_438171	26.67	120	88	18	110	4	147	261	3e-04	43.1
lcl|YNL006W	NP_005432	21.11	341	269	75	273	5	32	369	2e-04	43.9
lcl|YNL006W	NP_005432	20.14	139	111	21	291	174	32	170	0.012	37.7
lcl|YNL006W	NP_872433	19.50	241	194	38	281	45	66	272	2e-04	43.9
lcl|YNL006W	NP_003380	30.51	118	82	16	175	73	80	196	2e-04	43.9
lcl|YNL006W	NP_003380	26.67	120	88	18	110	4	147	261	3e-04	43.1
lcl|YNL006W	NP_060738	30.83	120	83	10	234	115	322	431	2e-04	43.9
lcl|YNL006W	NP_055140	23.20	125	96	2	295	173	95	219	2e-04	43.5
lcl|YNL006W	NP_055140	25.00	116	87	10	178	73	78	193	0.004	39.3
lcl|YNL006W	NP_060808	23.18	220	169	30	293	95	349	559	2e-04	43.5
lcl|YNL006W	NP_065830	28.67	143	102	26	169	41	47	177	2e-04	43.5
lcl|YNL006W	NP_001006658	28.67	143	102	26	169	41	47	177	2e-04	43.5
lcl|YNL006W	NP_077005	21.99	141	110	10	135	5	189	329	2e-04	43.5
lcl|YNL006W	NP_077005	18.63	204	166	26	236	53	101	298	0.007	38.5
lcl|YNL006W	NP_077005	20.87	206	163	21	188	4	93	298	0.007	38.5
lcl|YNL006W	NP_060176	20.56	214	170	11	291	80	89	293	3e-04	43.1
lcl|YNL006W	NP_060725	29.35	92	65	12	277	198	605	696	4e-04	42.7
lcl|YNL006W	NP_001007234	20.16	248	198	30	297	74	40	281	4e-04	42.7
lcl|YNL006W	NP_003748	22.89	201	155	26	251	62	39	224	5e-04	42.4
lcl|YNL006W	NP_003748	21.69	83	65	0	132	50	163	245	0.001	40.8
lcl|YNL006W	NP_003748	30.59	85	59	2	281	197	1	83	0.002	40.4
lcl|YNL006W	NP_003748	18.35	218	178	9	283	72	7	221	0.004	39.3
lcl|YNL006W	NP_006082	21.79	234	183	27	288	73	80	304	5e-04	42.4
lcl|YNL006W	NP_443066	34.92	63	41	4	106	45	1334	1393	5e-04	42.4
lcl|YNL006W	NP_443066	22.22	135	105	14	188	67	456	589	5e-04	42.4
lcl|YNL006W	NP_056100	34.92	63	41	4	106	45	1367	1426	5e-04	42.4
lcl|YNL006W	NP_056100	22.22	135	105	14	188	67	456	589	5e-04	42.4
lcl|YNL006W	XP_943106	32.56	86	58	2	285	202	50	135	6e-04	42.0
lcl|YNL006W	XP_943106	28.42	95	68	4	161	71	51	145	8e-04	41.6
lcl|YNL006W	NP_694997	19.07	215	174	12	280	69	551	756	6e-04	42.0
lcl|YNL006W	NP_653269	25.00	112	84	4	236	125	620	727	8e-04	41.6
lcl|YNL006W	NP_003316	24.59	122	92	7	182	68	124	245	8e-04	41.6
lcl|YNL006W	NP_003316	19.90	196	157	28	277	110	6	201	0.012	37.7
lcl|YNL006W	NP_899243	23.75	160	122	18	269	116	1702	1849	0.001	41.2
lcl|YNL006W	NP_899243	19.65	229	184	23	224	7	252	468	0.034	36.2
lcl|YNL006W	NP_849146	21.39	201	158	22	280	90	34	222	0.001	41.2
lcl|YNL006W	NP_849146	22.30	139	108	20	159	26	111	234	0.020	37.0
lcl|YNL006W	NP_001006616	21.39	201	158	10	248	55	2	199	0.001	41.2
lcl|YNL006W	XP_001126984	19.59	291	234	27	301	25	14	291	0.002	40.4
lcl|YNL006W	XP_001126984	20.95	148	117	8	144	4	121	267	0.005	38.9
lcl|YNL006W	XP_001126984	22.22	108	84	7	108	5	36	140	0.044	35.8
lcl|YNL006W	NP_060732	21.09	147	116	7	181	35	15	154	0.002	40.4
lcl|YNL006W	XP_931937	28.41	88	63	3	177	91	22	107	0.002	40.4
lcl|YNL006W	NP_036367	26.53	147	108	17	145	5	1092	1227	0.002	40.4
lcl|YNL006W	NP_061878	25.56	133	99	13	159	31	184	307	0.002	40.4
lcl|YNL006W	XP_941915	28.41	88	63	3	177	91	22	107	0.002	40.4
lcl|YNL006W	NP_060551	21.34	239	188	20	226	5	245	480	0.002	40.4
lcl|YNL006W	XP_001127580	19.59	291	234	27	301	25	14	291	0.002	40.4
lcl|YNL006W	XP_001127580	20.95	148	117	8	144	4	121	267	0.005	38.9
lcl|YNL006W	XP_001127580	22.22	108	84	7	108	5	36	140	0.044	35.8
lcl|YNL006W	NP_443715	21.09	147	116	7	181	35	15	154	0.002	40.4
lcl|YNL006W	NP_001007526	19.66	295	237	36	280	4	789	1065	0.002	40.0
lcl|YNL006W	NP_060376	18.42	228	186	20	291	68	33	244	0.002	40.0
lcl|YNL006W	NP_003788	19.84	252	202	26	285	42	38	271	0.003	39.7
lcl|YNL006W	NP_694536	19.84	252	202	26	285	42	38	271	0.003	39.7
lcl|YNL006W	XP_001133439	31.03	87	60	5	281	197	12	95	0.003	39.7
lcl|YNL006W	NP_061139	24.79	117	88	6	152	40	111	225	0.004	39.3
lcl|YNL006W	NP_001017930	25.44	114	85	17	170	74	195	308	0.004	39.3
lcl|YNL006W	NP_653175	22.37	152	118	23	301	172	163	313	0.004	39.3
lcl|YNL006W	NP_851819	22.37	152	118	23	301	172	39	189	0.004	39.3
lcl|YNL006W	NP_851808	22.37	152	118	23	301	172	163	313	0.004	39.3
lcl|YNL006W	NP_851825	22.37	152	118	23	301	172	102	252	0.004	39.3
lcl|YNL006W	NP_387510	24.79	117	88	6	152	40	111	225	0.004	39.3
lcl|YNL006W	NP_004934	25.24	103	77	1	301	199	276	377	0.005	38.9
lcl|YNL006W	NP_112493	29.20	137	97	21	190	74	11	146	0.005	38.9
lcl|YNL006W	NP_065881	21.51	93	73	2	145	55	179	271	0.005	38.9
lcl|YNL006W	NP_078811	25.42	118	88	9	177	68	70	186	0.005	38.9
lcl|YNL006W	NP_001013650	28.00	75	54	3	102	30	147	220	0.005	38.9
lcl|YNL006W	NP_938026	29.87	77	54	1	298	222	38	113	0.005	38.9
lcl|YNL006W	NP_001013455	29.20	137	97	21	190	74	11	146	0.005	38.9
lcl|YNL006W	NP_056235	22.22	171	133	17	283	119	351	510	0.009	38.1
lcl|YNL006W	NP_116243	18.40	125	102	2	294	172	95	219	0.009	38.1
lcl|YNL006W	NP_116243	27.43	113	82	10	175	73	79	191	0.020	37.0
lcl|YNL006W	NP_055806	28.57	77	55	2	148	73	3125	3200	0.009	38.1
lcl|YNL006W	NP_037520	29.69	64	45	2	143	81	160	222	0.012	37.7
lcl|YNL006W	NP_689711	16.27	209	175	10	213	6	445	644	0.012	37.7
lcl|YNL006W	NP_056157	22.69	238	184	31	288	74	89	318	0.012	37.7
lcl|YNL006W	XP_293026	34.25	73	48	3	294	223	73	143	0.015	37.4
lcl|YNL006W	NP_061936	18.90	164	133	23	279	125	601	750	0.015	37.4
lcl|YNL006W	XP_293354	28.95	114	81	17	170	74	213	326	0.015	37.4
lcl|YNL006W	XP_947717	28.95	114	81	17	170	74	213	326	0.015	37.4
lcl|YNL006W	NP_003852	24.06	187	142	20	176	5	69	250	0.020	37.0
lcl|YNL006W	NP_009005	26.50	117	86	13	177	73	79	194	0.020	37.0
lcl|YNL006W	NP_443730	22.22	153	119	16	236	90	181	323	0.020	37.0
lcl|YNL006W	NP_060219	25.93	108	80	3	144	38	59	164	0.020	37.0
lcl|YNL006W	NP_775907	38.30	47	29	2	301	257	118	164	0.026	36.6
lcl|YNL006W	XP_949339	25.66	113	84	11	106	5	158	270	0.026	36.6
lcl|YNL006W	NP_056016	26.32	57	42	0	127	71	409	465	0.026	36.6
lcl|YNL006W	XP_001126255	26.32	57	42	0	127	71	325	381	0.026	36.6
lcl|YNL006W	NP_079039	21.36	220	173	37	279	96	558	776	0.026	36.6
lcl|YNL006W	NP_075462	24.24	132	100	4	188	61	350	481	0.034	36.2
lcl|YNL006W	NP_060353	18.69	305	248	43	301	29	169	462	0.044	35.8
lcl|YNL006W	XP_936953	25.66	113	84	11	106	5	158	270	0.044	35.8
lcl|YNL006W	XP_291064	23.37	184	141	22	205	38	2544	2721	0.044	35.8
lcl|YNL006W	NP_060501	29.41	85	60	10	143	67	201	283	0.044	35.8
lcl|YNL006W	XP_946304	23.37	184	141	22	205	38	2544	2721	0.044	35.8
