Gene	UHR_1	UHR_2	brain_1	brain_2
RNF138P1	20	19	8	9
RNF139	183	194	99	123
RNF14	121	140	144	157
RNF141	117	127	202	232
RNF144A	283	279	603	636
RNF144B	24	30	34	36
RNF145	413	399	202	240
RNF146	107	120	319	404
RNF149	210	213	76	82
RNF150	40	34	68	88
RNF151	1	2	1	1
RNF152	8	4	74	87
RNF157	202	233	1168	1178
RNF160	160	188	96	107
RNF165	46	39	125	110
RNF166	312	307	139	150
RNF167	655	689	452	451
RNF168	445	466	120	139
RNF169	167	183	72	75
RNF170	78	97	110	100
RNF175	31	20	74	83
RNF180	12	12	29	33
RNF181	291	326	116	113
RNF182	71	70	114	109
RNF183	3	2	1	3
RNF185	94	106	100	123
RNF186	2	1	1	1
RNF187	1645	1711	2424	2803
RNF19A	325	346	221	222
RNF19B	231	240	236	258
RNF2	102	115	36	42
RNF20	318	323	199	233
RNF207	147	128	86	82
RNF208	150	137	672	806
RNF212	29	44	12	18
RNF213	1380	1440	391	436
RNF214	130	155	91	86
RNF215	118	145	159	166
RNF216	631	630	319	328
RNF216L	136	137	41	76
RNF217	13	15	5	7
RNF219	66	83	49	60
RNF220	583	644	914	953
RNF222	3	1	2	2
RNF24	234	277	91	99
RNF25	135	141	109	119
RNF26	792	865	273	286
RNF31	458	498	292	274
RNF32	16	21	13	10
RNF34	222	218	183	227
RNF38	211	215	293	262
RNF39	30	31	10	11
RNF4	417	425	240	240
RNF40	1222	1222	649	707
RNF41	254	300	512	538
RNF43	212	229	92	86
RNF44	957	1061	632	712
RNF5	3	2	5	5
RNF5P1	67	67	39	41
RNF6	167	193	214	288
RNF7	279	267	119	125
RNF8	149	190	139	138
RNFT1	56	46	19	18
RNFT2	75	49	175	177
RNGTT	117	134	70	60
RNH1	1419	1529	932	1027
RNLS	11	11	20	21
RNMT	466	441	248	299
RNMTL1	164	176	76	94
RNPC3	38	29	34	30
RNPEP	698	704	109	146
RNPEPL1	874	884	291	307
RNPS1	995	1036	580	630
RNU11	1	2	4	6
RNU4ATAC	1	3	1	1
RNU6ATAC	2	1	1	1
RNU86	4	3	1	1
ROBLD3	212	182	117	129
ROBO1	504	528	209	235
ROBO2	31	33	128	128
ROBO3	80	86	108	115
ROBO4	11	25	94	103
ROCK1	205	230	90	93
ROCK1P1	1	1	2	1
ROCK2	325	381	252	296
ROD1	443	500	62	72
ROGDI	143	141	955	998
ROM1	28	35	187	182
ROMO1	691	762	148	179
ROPN1	6	7	1	1
ROPN1B	4	5	2	3
ROPN1L	2	4	5	5
ROR1	69	75	3	15
ROR2	139	107	10	10
RORA	67	71	260	254
RORB	29	30	62	89
RORC	39	42	42	45
ROS1	8	3	12	13
RP1	2	1	1	1
RP1-177G6.2	3	1	46	51
RP1L1	10	3	2	1
RP2	66	67	20	20
RP9	71	65	20	24
RP9P	23	36	36	38
RPA1	939	991	312	326
RPA2	362	359	118	144
RPA3	126	134	22	22
RPA4	5	3	1	2
RPAIN	166	167	90	95
RPAP1	547	590	211	239
RPAP2	49	53	17	15
RPAP3	127	125	57	60
RPE	84	104	43	35
RPE65	2	2	2	1
RPF1	109	130	46	30
RPF2	73	101	12	16
RPGR	32	42	34	36
RPGRIP1	1	2	1	2
RPGRIP1L	40	61	25	36
RPH3A	8	9	1968	2107
RPH3AL	25	38	28	29
RPIA	129	132	40	30
RPL10	889	896	127	137
RPL10A	1148	1237	241	269
RPL10L	5	2	1	2
RPL11	4709	4951	883	1058
RPL12	1730	1782	209	226
RPL13	5581	5562	1199	1329
RPL13A	1281	1394	209	230
RPL13AP20	12	13	6	1
RPL13AP3	20	11	4	6
RPL13AP6	17	11	6	3
RPL13P5	16	15	17	17
RPL14	736	758	153	135
RPL15	1604	1697	1029	1150
RPL17	224	248	71	90
RPL18	5133	5128	1173	1397
RPL19	2844	3156	625	662
RPL19P12	225	216	51	58
RPL21P44	2	1	7	5
RPL22	361	379	261	274
RPL22L1	140	183	6	9
RPL23	1916	1990	280	321
RPL23A	520	543	96	103
RPL23AP32	3	1	1	3
RPL23AP53	16	8	19	24
RPL23AP64	10	5	7	7
RPL23AP7	23	14	12	10
RPL23AP82	21	15	19	27
RPL23P8	53	49	11	17
RPL24	474	551	120	160
RPL26	1123	1236	282	272
RPL26L1	53	41	6	16
RPL27	2575	2682	431	486
RPL27A	1258	1381	425	451
RPL28	4865	4467	988	1094
RPL29	713	786	128	167
RPL29P2	7	16	5	2
RPL3	6508	6560	2205	2521
RPL30	2873	3050	516	543
RPL31	1541	1631	358	407
RPL31P11	6	6	6	3
RPL32	1727	1885	380	427
RPL32P3	38	34	33	29
RPL34	481	496	137	156
RPL35	2878	3059	453	505
RPL35A	1519	1670	341	422
RPL36	3403	3274	824	926
RPL36A	18	6	1	2
RPL36AL	230	269	105	131
RPL37	4424	4286	579	606
RPL37A	2974	2984	1231	1256
RPL38	1722	1851	507	557
RPL39	61	60	7	8
RPL39L	97	113	13	13
RPL3L	2	2	1	1
RPL4	3492	3567	661	692
RPL41	64	61	40	27
RPL5	2016	2119	391	429
RPL6	522	588	91	100
RPL7A	1419	1480	223	227
RPL7L1	53	49	15	23
RPL8	11758	11744	2158	2410
RPL9	128	143	60	57
RPLP0	4122	4490	336	357
RPLP0P2	95	107	10	7
RPLP1	9451	9538	1358	1508
RPLP2	4064	3868	792	883
RPN1	2233	2293	653	743
RPN2	2805	3083	296	323
RPP14	127	100	79	131
RPP21	170	193	110	105
RPP25	314	327	102	122
RPP30	85	92	53	42
RPP38	97	98	29	51
RPP40	48	63	15	11
RPPH1	33	52	51	54
RPRD1A	312	328	374	384
RPRD1B	375	371	123	119
RPRD2	421	429	352	386
RPRM	79	73	81	81
RPRML	7	7	196	203
RPS10	12	18	2	1
RPS10P7	17	17	9	9
RPS11	5413	5450	1447	1688
RPS12	1707	1923	310	346
RPS13	986	879	171	191
RPS14	3555	3422	687	752
RPS15	827	779	313	349
RPS15A	1203	1282	113	119
RPS15AP10	9	3	2	2
RPS16	4936	4800	836	919
RPS18	2119	2309	268	329
RPS19	3508	3333	547	592
RPS19BP1	320	333	318	370
RPS2	1700	1825	114	122
RPS20	1347	1373	298	324
RPS21	1873	1944	364	434
RPS23	1953	1933	684	647
RPS24	2243	2172	369	472
RPS25	1339	1490	296	364
RPS26	29	18	6	3
RPS26P11	1	2	2	1
RPS27	2	1	1	1
RPS27A	219	272	95	95
RPS27L	136	151	32	46
RPS28	109	115	45	50
RPS29	252	253	68	71
RPS2P32	23	13	1	5
RPS3	7526	8001	907	971
RPS3A	4	3	2	1
RPS4X	4138	4157	643	758
RPS4Y1	376	435	195	230
RPS4Y2	1	1	2	1
RPS5	6185	6265	995	1073
RPS6	5347	5793	1101	1278
RPS6KA1	371	361	180	194
RPS6KA2	143	176	918	985
RPS6KA3	583	637	127	116
RPS6KA4	469	536	508	546
RPS6KA5	36	44	83	74
RPS6KA6	16	16	29	26
RPS6KB1	221	246	70	97
RPS6KB2	465	468	167	177
RPS6KC1	172	131	108	147
RPS6KL1	48	52	264	308
RPS7	233	290	52	46
RPS8	3854	4039	614	673
RPS9	1651	1703	551	605
RPSA	198	219	44	31
RPSAP52	11	13	1	1
RPSAP58	126	135	17	19
RPSAP9	9	4	3	5
RPTN	1	2	2	1
RPTOR	719	725	542	583
RPUSD1	470	466	196	222
RPUSD2	162	147	54	64
RPUSD3	263	238	61	74
RPUSD4	299	305	154	138
RQCD1	138	141	40	51
RRAD	8	13	38	34
RRAGA	468	518	687	729
RRAGB	36	56	73	83
RRAGC	94	66	59	66
RRAGD	125	134	227	241
RRAS	231	258	68	68
RRAS2	120	104	9	12
RRBP1	2070	2130	396	448
RREB1	658	689	41	40
RRH	2	1	3	4
RRM1	709	759	118	124
RRM2	786	890	6	2
RRM2B	92	106	84	105
RRN3	220	223	120	114
RRN3P1	4	2	4	2
RRN3P2	4	1	2	2
RRN3P3	20	15	25	25
RRP1	522	564	173	203
RRP12	593	600	204	226
RRP15	146	151	39	48
RRP1B	743	772	170	176
RRP7A	344	350	204	193
RRP7B	65	72	43	38
RRP8	106	115	57	66
RRP9	327	334	66	79
RRS1	357	400	132	160
RS1	2	1	14	9
RSAD1	355	416	334	332
RSAD2	7	11	23	11
RSBN1	134	156	106	121
RSBN1L	115	126	71	90
RSC1A1	58	72	25	36
RSF1	230	251	143	167
RSL1D1	864	907	219	225
RSL24D1	194	214	87	80
RSPH1	6	4	36	38
RSPH3	41	41	34	27
RSPH4A	2	5	3	2
RSPH9	6	5	8	3
RSPO1	3	1	1	7
RSPO2	8	4	124	116
RSPO3	1	1	12	19
RSPO4	19	18	10	14
RSPRY1	127	156	54	67
RSRC1	84	85	45	52
RSU1	185	228	83	67
RTBDN	6	2	40	37
RTCD1	119	129	72	96
RTDR1	2	6	5	14
RTEL1	429	405	268	341
RTF1	346	377	266	325
RTKN	300	315	403	464
RTKN2	41	44	8	14
RTL1	6	3	4	12
RTN1	6	18	4043	4562
RTN2	91	106	352	367
RTN3	608	643	2384	2638
RTN4	2247	2277	2995	3098
RTN4IP1	52	62	28	27
RTN4R	132	111	699	769
RTN4RL1	56	74	198	296
RTN4RL2	118	99	167	198
RTP1	1	1	10	9
RTP4	10	16	5	4
RTTN	109	113	38	34
RUFY1	231	218	125	139
RUFY2	37	44	120	174
RUFY3	148	161	578	591
RUNDC1	248	231	182	205
RUNDC2A	13	14	13	15
RUNDC2C	2	2	1	2
RUNDC3A	7	9	2646	2835
RUNDC3B	3	4	98	119
RUNX1	519	558	30	30
RUNX1T1	4	3	142	157
RUNX2	47	70	18	26
RUNX3	271	268	7	9
RUSC1	376	372	835	982
RUSC2	215	236	1711	1900
RUVBL1	613	634	75	93
RUVBL2	1070	1136	336	367
RWDD1	119	129	85	89
RWDD2A	15	19	41	34
RWDD2B	103	106	38	67
RWDD3	35	31	15	22
RWDD4A	16	13	3	4
RXFP1	2	1	32	25
RXFP3	3	1	3	1
RXFP4	2	1	1	1
RXRA	970	994	536	642
RXRB	556	569	537	605
RXRG	36	36	17	26
RYBP	233	254	154	170
RYK	226	198	46	53
RYR1	69	69	388	394
RYR2	49	63	563	585
RYR3	18	14	134	126
S100A1	268	304	538	598
S100A10	807	835	63	57
S100A11	991	1068	62	61
S100A12	1	1	3	2
S100A13	336	334	211	222
S100A14	124	122	4	1
S100A16	529	576	140	183
S100A2	17	13	6	3
S100A3	14	22	1	2
S100A4	472	440	16	18
S100A5	3	1	1	2
S100A6	1295	1268	454	544
S100A7	1	1	2	2
S100A8	3	1	13	22
S100A9	6	12	75	79
S100B	80	91	1481	1714
S100P	296	282	3	3
S100PBP	173	212	88	78
S100Z	1	2	1	1
S1PR1	22	30	339	393
S1PR2	82	75	19	22
S1PR3	184	180	67	86
S1PR4	6	4	6	8
S1PR5	27	19	239	229
SAA1	2	1	1	1
SAA2	2	1	2	2
SAA4	15	22	1	3
SAAL1	120	135	18	15
SAC3D1	400	432	164	161
SACM1L	182	213	168	162
SACS	380	385	297	308
SAE1	1036	1107	386	470
SAFB	951	941	657	727
SAFB2	598	585	673	713
SAGE1	20	31	1	3
SALL1	308	334	206	243
SALL2	328	348	739	821
SALL3	73	62	30	49
SALL4	196	227	8	10
SAMD1	642	619	189	221
SAMD10	140	194	139	171
SAMD11	171	147	11	14
SAMD12	32	34	190	216
SAMD13	3	5	4	3
SAMD14	18	17	483	550
SAMD3	2	2	1	1
SAMD4A	163	227	441	419
SAMD4B	772	716	749	877
SAMD5	13	9	14	12
SAMD7	1	1	1	2
SAMD8	104	131	212	249
SAMD9	59	65	6	9
SAMD9L	62	60	23	18
SAMHD1	81	87	85	121
SAMM50	335	319	132	178
SAMSN1	89	94	4	5
SAP130	431	452	199	196
SAP18	492	495	603	656
SAP25	51	52	35	29
SAP30	187	167	56	56
SAP30BP	355	341	283	320
SAP30L	191	173	305	325
SAPS1	1638	1722	829	903
SAPS2	637	643	765	780
SAPS3	539	605	241	287
SAR1A	381	405	230	244
SAR1B	194	232	162	171
SARDH	140	145	39	36
SARM1	58	79	132	149
SARNP	114	98	34	45
SARS	359	365	397	400
SARS2	222	260	97	98
SART1	1008	1037	520	584
SART3	627	716	374	405
SASH1	193	206	391	449
SASH3	67	64	36	27
SASS6	50	66	8	12
SAT1	450	483	204	233
SAT2	151	147	198	269
SATB1	181	203	471	522
SATB2	131	126	193	189
SATL1	1	1	2	6
SAV1	130	123	86	78
SBDS	216	236	254	252
SBDSP1	67	61	51	51
SBF1	1669	1658	3113	3525
SBF1P1	122	103	181	208
SBF2	252	288	157	165
SBK1	405	383	908	889
SBK2	3	1	4	3
SBNO1	466	532	428	412
SBNO2	947	957	234	233
SBSN	7	5	1	3
SC4MOL	195	188	127	122
SC5DL	179	165	275	304
SC65	470	463	88	93
SCAF1	1320	1364	1593	1797
SCAI	78	81	115	136
SCAMP1	151	150	285	328
SCAMP2	343	357	111	109
SCAMP3	659	663	265	287
SCAMP4	551	569	489	540
SCAMP5	174	173	3303	3531
SCAND1	484	470	299	294
SCAND2	64	80	71	71
SCAND3	21	15	19	19
SCAP	1148	1244	817	925
SCAPER	69	87	120	160
SCARA3	506	600	472	529
SCARA5	13	13	17	18
SCARB1	1706	1813	371	418
SCARB2	685	675	792	877
SCARF1	17	11	58	77
SCARF2	476	453	69	74
SCARNA10	2	4	4	3
SCARNA12	24	34	4	5
SCARNA16	4	2	1	2
SCARNA17	83	82	131	139
SCARNA2	35	38	38	46
SCARNA21	1	1	1	2
SCARNA22	2	2	1	1
SCARNA27	2	1	1	1
SCARNA6	2	1	2	1
SCARNA7	11	8	10	11
SCARNA9	47	36	29	37
SCARNA9L	3	7	1	2
SCCPDH	293	303	200	224
SCD	7850	8364	4046	4419
SCD5	95	98	1875	2171
SCEL	1	1	2	2
SCFD1	134	151	55	52
SCFD2	151	146	73	76
SCG2	58	56	410	415
SCG3	33	24	433	458
SCG5	72	78	748	861
SCGB1A1	1	1	2	2
SCGB1D1	2	1	1	1
SCGB1D2	1	1	2	1
SCGB2A1	2	1	1	1
SCGB3A1	1	1	3	2
SCGB3A2	3	6	1	1
SCGBL	1	1	1	2
SCGN	3	5	77	94
SCHIP1	28	41	416	463
SCIN	6	7	10	13
SCLT1	62	68	22	15
SCLY	221	213	102	81
SCMH1	323	311	151	186
SCML1	95	87	42	31
SCML2	79	85	7	3
SCML4	1	3	2	1
SCN10A	2	2	1	1
SCN11A	3	1	6	4
SCN1A	6	7	306	337
SCN1B	78	71	1927	2177
SCN2A	5	7	908	921
SCN2B	3	2	1359	1504
SCN3A	22	22	120	121
SCN3B	5	7	713	729
SCN4A	17	24	7	6
SCN4B	40	47	1047	1195
SCN5A	30	32	13	20
SCN7A	1	1	4	3
SCN8A	39	42	453	456
SCN9A	40	37	8	17
SCNM1	128	130	57	66
SCNN1A	151	166	3	5
SCNN1B	67	64	14	10
SCNN1D	115	100	173	228
SCNN1G	6	8	40	49
SCO1	207	204	57	53
SCO2	15	8	13	8
SCOC	102	102	210	267
SCP2	249	273	176	223
SCPEP1	179	201	117	99
SCRG1	3	1	110	124
SCRIB	1437	1394	629	666
SCRN1	1135	1268	2843	3139
SCRN2	304	355	177	175
SCRN3	41	47	52	82
SCRT1	4	4	1472	1648
SCRT2	5	6	117	113
SCT	4	1	2	1
SCTR	3	6	2	1
SCUBE1	12	14	14	11
SCUBE2	108	101	43	42
SCUBE3	38	29	14	8
SCYL1	781	827	582	702
SCYL2	144	165	72	73
SCYL3	47	62	35	44
SDAD1	140	142	61	69
SDC1	935	991	41	63
SDC2	484	533	203	220
SDC3	1118	1176	1673	1838
SDC4	723	836	315	371
SDC4P	2	1	3	1
SDCBP	542	550	208	236
SDCBP2	15	16	87	92
SDCCAG1	138	140	119	127
SDCCAG3	514	504	86	115
SDCCAG8	76	84	126	164
SDF2	237	215	124	131
SDF2L1	526	543	73	105
SDF4	1862	1814	750	816
SDHA	1169	1185	659	786
SDHAF1	154	137	145	175
SDHAF2	220	250	109	111
SDHAP1	37	39	24	25
SDHAP2	13	16	13	17
SDHAP3	50	39	30	27
SDHB	370	387	224	223
SDHC	163	164	93	104
SDHD	56	76	32	35
SDK1	187	187	57	38
SDK2	223	231	83	103
SDPR	60	90	129	78
SDR16C5	2	4	23	23
SDR39U1	54	68	46	50
SDR42E1	21	14	2	1
SDR9C7	2	2	3	4
SDS	1	2	84	60
SDSL	66	71	36	47
SEC1	13	6	10	14
SEC11A	581	622	79	102
SEC11C	155	170	139	135
SEC13	1038	1110	270	315
SEC14L1	809	815	1106	1250
SEC14L2	104	106	269	315
SEC14L4	6	9	2	2
SEC14L5	10	17	497	513
SEC16A	1316	1314	775	871
SEC16B	26	25	38	40
SEC22A	58	46	26	37
SEC22B	325	357	194	183
SEC22C	139	149	88	131
SEC23A	641	640	219	246
SEC23B	532	559	183	185
SEC23IP	236	245	84	60
SEC24A	214	241	44	47
SEC24B	204	219	153	151
SEC24C	1106	1160	676	686
SEC24D	338	331	49	61
SEC31A	908	1016	415	454
SEC31B	178	196	216	259
SEC61A1	2797	3048	602	694
SEC61A2	88	81	173	194
SEC61B	266	243	70	91
SEC61G	186	208	45	47
SEC62	367	393	673	693
SEC63	345	396	193	225
SECISBP2	290	309	196	194
SECISBP2L	189	202	666	727
SECTM1	133	140	21	24
SEH1L	278	273	145	183
SEL1L	377	414	328	362
SEL1L3	259	253	275	300
SELE	2	1	4	3
SELENBP1	293	267	166	170
SELK	104	122	118	124
SELL	12	10	11	19
SELM	66	68	372	361
SELO	382	441	422	503
SELP	2	1	1	3
SELPLG	193	186	71	76
SELS	197	222	76	84
SELT	213	214	218	218
SELV	4	4	2	3
SEMA3A	103	116	17	30
SEMA3B	1045	1076	1115	1278
SEMA3C	302	303	44	58
SEMA3D	10	7	8	13
SEMA3E	5	4	29	39
SEMA3F	294	337	133	115
SEMA3G	83	96	249	302
SEMA4A	59	55	130	121
SEMA4B	596	632	365	408
SEMA4C	878	869	810	921
SEMA4D	291	335	1099	1155
SEMA4F	152	170	149	195
SEMA4G	316	349	199	223
SEMA5A	518	538	138	158
SEMA5B	60	52	89	93
SEMA6A	557	558	614	667
SEMA6B	556	587	1569	1817
SEMA6C	96	103	364	391
SEMA6D	53	60	184	199
SEMA7A	226	237	945	1025
SENP1	156	148	38	30
SENP2	243	217	173	163
SENP3	601	629	391	419
SENP5	281	297	234	250
SENP6	238	227	177	187
SENP7	61	54	57	58
SENP8	19	12	15	18
SEP15	305	331	163	170
SEPHS1	317	316	90	75
SEPHS2	821	761	244	271
SEPN1	1118	1130	602	671
SEPP1	207	230	122	129
SEPSECS	62	64	24	36
SEPT1	140	136	68	86
SEPT10	137	167	33	39
SEPT11	519	553	314	312
SEPT12	1	2	12	7
SEPT2	1630	1784	834	895
SEPT3	122	140	2872	3070
SEPT4	17	31	3076	3304
SEPT5	915	864	3835	4204
SEPT6	524	543	209	185
SEPT7	287	319	416	448
SEPT7L	2	1	1	1
SEPT7P2	27	29	28	25
SEPT8	829	818	2081	2377
SEPT9	5428	5671	1695	1945
SEPW1	356	353	1671	1830
SEPX1	224	256	83	107
SERAC1	47	49	58	66
SERBP1	1188	1235	221	252
SERF2	1457	1440	560	611
SERGEF	146	145	189	205
SERHL	1	1	1	2
SERHL2	2	11	8	3
SERINC1	453	430	2052	2246
SERINC2	525	557	10	21
SERINC3	490	452	606	664
SERINC4	21	14	28	45
SERINC5	514	570	235	253
SERP1	1060	1083	323	321
SERP2	4	6	191	213
SERPINA1	4108	4529	73	76
SERPINA10	18	16	1	1
SERPINA11	134	142	1	1
SERPINA12	10	9	1	1
SERPINA3	801	838	997	1064
SERPINA4	55	45	1	1
SERPINA5	602	636	9	9
SERPINA6	122	178	2	1
SERPINA7	85	84	2	1
SERPINA9	1	2	1	1
SERPINB1	188	187	40	38
SERPINB2	175	188	1	1
SERPINB3	3	3	1	1
SERPINB4	5	2	1	1
SERPINB5	23	31	1	1
SERPINB6	746	768	237	268
SERPINB7	5	2	1	1
SERPINB8	52	52	19	22
SERPINB9	264	288	65	63
SERPINC1	51	53	2	1
SERPIND1	498	476	16	12
SERPINE1	2016	2185	25	22
SERPINE2	3441	3573	530	522
SERPINE3	1	2	3	5
SERPINF1	774	790	209	212
SERPINF2	821	866	7	14
SERPING1	92	91	272	287
SERPINH1	3557	3732	149	169
SERPINI1	18	20	471	491
SERPINI2	1	1	3	2
SERTAD1	91	98	57	60
SERTAD2	313	370	101	106
SERTAD3	125	123	31	40
SERTAD4	22	28	19	25
SESN1	69	79	201	243
SESN2	359	338	141	186
SESN3	28	27	53	64
SESTD1	248	273	230	221
SET	1385	1367	337	400
SETBP1	72	87	167	168
SETD1A	880	936	379	436
SETD1B	528	566	425	521
SETD2	468	574	320	342
SETD3	268	286	240	277
SETD4	161	113	80	86
SETD5	1210	1233	637	724
SETD6	161	171	94	90
SETD7	336	381	363	382
SETD8	225	242	77	106
SETDB1	473	440	144	151
SETDB2	67	88	28	42
SETMAR	39	36	34	23
SETX	500	528	358	362
SEZ6	4	4	738	841
SEZ6L	38	37	995	1047
SEZ6L2	752	838	2364	2697
SF1	2252	2384	1451	1615
SF3A1	1324	1418	744	874
SF3A2	1091	1085	354	357
SF3A3	510	577	123	144
SF3B1	1377	1497	590	683
SF3B14	241	254	55	70
SF3B2	1893	1907	868	952
SF3B3	2178	2360	569	732
SF3B4	582	613	143	159
SF3B5	681	670	287	333
SF4	247	218	211	222
SFI1	291	322	281	367
SFMBT1	72	88	22	32
SFMBT2	98	110	49	59
SFN	453	446	55	57
SFPQ	1747	1771	620	672
SFRP1	935	935	295	325
SFRP2	342	353	60	60
SFRP4	1	5	12	12
SFRP5	4	3	21	25
SFRS1	232	279	65	76
SFRS11	1	3	1	3
SFRS12	338	308	131	128
SFRS12IP1	104	99	30	50
SFRS13B	7	10	27	39
SFRS14	909	1006	912	1010
SFRS15	567	579	193	204
SFRS16	461	420	293	367
SFRS18	628	651	436	463
SFRS2	2219	2237	607	707
SFRS2B	210	231	260	273
SFRS2IP	437	458	142	160
SFRS3	860	870	238	256
SFRS4	951	1052	473	530
SFRS5	776	832	615	675
SFRS7	747	792	230	261
SFRS8	432	475	279	326
SFRS9	1115	1076	274	391
SFT2D1	87	102	57	64
SFT2D2	24	23	7	8
SFT2D3	170	155	49	46
SFTA1P	2	1	3	3
SFTA2	1	2	1	1
SFTPA1	3	5	1	1
SFTPA2	2	1	12	11
SFTPB	1	3	1	2
SFTPC	1	1	23	15
SFTPD	5	3	13	9
SFXN1	451	422	211	218
SFXN2	96	92	8	15
SFXN3	457	512	589	643
SFXN4	100	124	49	59
SFXN5	240	255	861	1061
SGCA	8	8	23	25
SGCB	138	131	265	320
SGCD	101	95	49	40
SGCE	131	159	139	146
SGCG	8	10	13	6
SGCZ	1	1	7	6
SGEF	44	49	65	92
SGIP1	4	4	200	222
SGK1	738	743	263	307
SGK196	32	49	29	45
SGK2	11	18	49	50
SGK223	469	499	698	800
SGK269	324	316	295	309
SGK3	37	49	36	27
SGK494	68	63	87	104
SGMS1	148	134	113	114
SGMS2	30	36	17	23
SGOL1	67	59	3	4
SGOL2	84	105	4	7
SGPL1	300	302	158	179
SGPP1	104	81	111	136
SGPP2	4	6	70	88
SGSH	427	433	117	104
SGSM1	9	10	374	432
SGSM2	975	1070	1289	1428
SGSM3	565	557	556	637
SGTA	932	996	737	855
SGTB	59	55	219	241
SH2B1	733	811	817	936
SH2B2	113	111	71	92
SH2B3	507	531	91	109
SH2D1A	57	73	2	1
SH2D1B	2	2	3	7
SH2D2A	58	54	7	5
SH2D3A	71	82	3	1
SH2D3C	80	75	192	231
SH2D4A	108	103	7	7
SH2D4B	1	1	2	2
SH2D5	39	24	292	295
SH2D6	1	2	11	9
SH2D7	2	1	3	5
SH3BGR	11	13	23	25
SH3BGRL	177	165	186	174
SH3BGRL2	72	98	283	332
SH3BGRL3	1191	1233	380	468
SH3BP1	257	281	81	86
SH3BP2	324	376	202	218
SH3BP4	609	645	177	199
SH3BP5	396	457	618	688
SH3BP5L	378	369	468	530
SH3D19	160	200	67	101
SH3D20	6	7	8	11
SH3GL1	1211	1243	454	551
SH3GL1P1	10	4	7	18
SH3GL1P2	7	3	4	6
SH3GL2	4	6	1460	1632
SH3GL3	11	3	163	207
SH3GLB1	293	323	199	212
SH3GLB2	843	865	1380	1534
SH3KBP1	366	410	208	228
SH3PXD2A	949	964	953	1098
SH3PXD2B	385	414	319	365
SH3RF1	117	111	140	158
SH3RF2	17	28	13	11
SH3RF3	115	117	85	86
SH3TC1	261	257	43	41
SH3TC2	27	28	153	187
SH3YL1	43	47	55	71
SHANK1	26	16	1741	1930
SHANK2	154	162	424	485
SHANK3	234	247	3072	3343
SHARPIN	437	437	261	306
SHB	413	389	156	170
SHBG	7	6	5	3
SHC1	1386	1386	241	259
SHC2	128	137	361	388
SHC3	32	32	132	164
SHC4	43	44	33	31
SHCBP1	216	222	9	10
SHD	12	12	127	111
SHE	4	7	28	23
SHF	40	50	497	542
SHFM1	323	297	76	76
SHH	23	16	19	11
SHISA2	75	86	10	12
SHISA3	34	33	9	9
SHISA4	84	75	643	708
SHISA5	1327	1396	757	862
SHISA6	10	6	339	348
SHISA7	12	12	442	476
SHISA9	13	17	88	113
SHKBP1	476	460	94	96
SHMT1	282	309	66	86
SHMT2	1712	1796	208	239
SHOC2	97	112	133	142
SHOX2	75	83	1	1
SHPK	235	226	104	98
SHPRH	118	123	80	64
SHQ1	102	117	33	25
SHROOM1	252	266	266	271
SHROOM2	153	159	190	194
SHROOM3	204	245	188	203
SHROOM4	36	44	146	174
SIAE	141	152	170	199
SIAH1	157	168	135	132
SIAH2	462	432	158	225
SIAH3	1	2	31	53
SIDT1	27	43	126	149
SIDT2	297	358	407	416
SIGIRR	211	193	75	104
SIGLEC1	3	3	14	13
SIGLEC10	6	5	9	23
SIGLEC11	1	1	3	2
SIGLEC12	1	2	1	1
SIGLEC14	3	1	12	14
SIGLEC15	6	6	1	2
SIGLEC16	2	1	4	4
SIGLEC5	2	3	2	1
SIGLEC6	1	1	1	2
SIGLEC7	16	24	2	1
SIGLEC8	2	2	15	24
SIGLEC9	6	8	10	12
SIGLECP3	1	1	4	2
SIGMAR1	1374	1383	247	278
SIK1	1016	1074	184	188
SIK2	270	275	309	354
SIK3	249	264	894	1049
SIKE1	257	263	72	92
SIL1	315	279	88	114
SILV	12926	13814	19	21
SIM2	84	62	25	33
SIN3A	678	715	234	261
SIN3B	639	706	1016	1184
SIP1	52	59	19	16
SIPA1	537	479	156	177
SIPA1L1	335	383	629	645
SIPA1L2	286	332	236	285
SIPA1L3	437	502	453	573
SIRPA	270	279	1969	2070
SIRPB1	6	6	20	23
SIRPB2	1	1	9	6
SIRPG	1	1	2	4
SIRT1	130	140	100	99
SIRT2	15	22	53	65
SIRT3	162	177	228	251
SIRT4	8	12	13	15
SIRT5	133	153	126	131
SIRT6	184	200	118	118
SIRT7	207	225	108	158
SIT1	26	29	1	2
SIVA1	512	477	135	171
SIX1	61	62	2	2
SIX2	37	38	6	5
SIX3	9	9	7	16
SIX4	83	86	9	11
SIX5	424	423	43	49
SIX6	41	53	1	1
SKA1	93	113	1	5
SKA2	151	161	121	114
SKA3	103	93	2	1
SKAP1	11	15	1	1
SKAP2	116	138	101	87
SKI	747	856	2054	2207
SKIL	83	78	39	38
SKIV2L	740	784	329	378
SKIV2L2	280	287	103	107
SKP1	447	512	703	663
SKP2	216	192	20	24
SLA	22	29	40	50
SLA2	10	11	6	3
SLAIN1	33	46	504	502
SLAIN2	208	192	114	126
SLAMF6	8	6	2	1
SLAMF7	24	26	1	1
SLAMF8	2	5	26	28
SLAMF9	78	77	1	1
SLBP	426	473	161	153
SLC10A1	2	2	5	7
SLC10A3	334	370	77	78
SLC10A4	20	19	17	16
SLC10A5	2	4	3	2
