Feature.ID	baseMean	log2(brain/UHR)	lfcSE	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm	UHR_1.rlog	UHR_2.rlog	brain_1.rlog	brain_2.rlog
CEBPG	236.367	-0.17479	0.159735	0.267308	0.334345	294	314	178	189	247.22	254.83	221.81	221.61	7.95	7.99	7.79	7.79
CEBPZ	166.996	-1.35467	0.204455	1.39507e-11	4.87025e-11	273	312	79	74	229.56	253.21	98.44	86.77	7.84	7.98	6.63	6.45
CECR1	86.7867	0.578494	0.262855	0.022519	0.0357347	91	75	78	96	76.52	60.87	97.2	112.56	6.26	5.94	6.6	6.81
CECR2	119.671	1.29287	0.231239	9.62914e-09	2.84337e-08	83	82	127	157	69.79	66.55	158.25	184.09	6.14	6.07	7.3	7.51
CECR4	4.66841	0.416066	0.803535	0.434144	0.506111	3	5	5	5	2.52	4.06	6.23	5.86	1.58	2.05	2.51	2.45
CECR5	329.981	-1.33613	0.148428	9.36456e-20	4.63108e-19	578	570	138	170	486.04	462.59	171.96	199.33	8.92	8.85	7.43	7.64
CECR6	126.966	3.39937	0.282289	3.70946e-34	2.73127e-33	19	33	186	199	15.98	26.78	231.78	233.33	4.08	4.78	7.84	7.85
CECR7	36.0527	0.0615105	0.377715	0.862448	0.888616	46	39	32	29	38.68	31.65	39.88	34	5.27	4.99	5.31	5.09
CEL	27.7896	0.528247	0.434168	0.17868	0.235034	27	26	23	33	22.7	21.1	28.66	38.69	4.52	4.42	4.84	5.25
CELA2A	2.13684	0.370046	0.933651	0.437845	0.509783	1	2	3	2	0.84	1.62	3.74	2.35	0.38	0.81	1.52	1.11
CELA2B	2.81334	0.961708	1.22278	0.115331	0.159101	1	1	3	5	0.84	0.81	3.74	5.86	0.42	0.39	1.62	2.1
CELA3A	3.30091	-0.842343	1.09592	0.156984	0.209591	8	5	1	1	6.73	4.06	1.25	1.17	2.4	1.85	0.86	0.81
CELF1	1097.82	0.312625	0.0838037	0.000182144	0.0003811	1119	1252	973	1042	940.96	1016.08	1212.46	1221.76	9.88	9.99	10.24	10.25
CELF2	539.668	2.95523	0.131383	8.25559e-113	1.92623e-111	134	163	767	817	112.68	132.29	955.76	957.95	6.83	7.06	9.9	9.9
CELF3	538.36	8.68092	0.584457	1.12492e-48	1.12274e-47	4	2	850	929	3.36	1.62	1059.19	1089.27	2.2	1.59	10.04	10.08
CELF4	608.646	8.29613	0.483172	4.72984e-65	6.20252e-64	6	3	956	1054	5.05	2.43	1191.27	1235.83	2.64	1.93	10.21	10.26
CELF5	455.53	4.83367	0.199028	9.05659e-131	2.55067e-129	40	34	698	760	33.64	27.59	869.78	891.11	5.11	4.83	9.76	9.79
CELF6	126.722	4.83975	0.373909	1.01916e-38	8.36402e-38	9	11	195	211	7.57	8.93	242.99	247.4	3.09	3.29	7.9	7.92
CELP	1.3293	0.225006	0.944298	0.583622	NA	1	1	2	1	0.84	0.81	2.49	1.17	0.08	0.05	0.8	0.27
CELSR1	218.278	-5.41303	0.386268	1.16941e-44	1.08621e-43	528	505	7	9	443.99	409.84	8.72	10.55	8.78	8.66	3.34	3.56
CELSR2	2112.82	1.36218	0.065871	2.16031e-95	4.23045e-94	1418	1443	2423	2617	1192.39	1171.09	3019.31	3068.47	10.22	10.19	11.56	11.58
CELSR3	827.258	1.88171	0.0972661	5.49123e-84	9.28218e-83	419	433	1067	1088	352.34	351.41	1329.59	1275.7	8.46	8.46	10.37	10.31
CEMP1	64.1156	0.171938	0.294282	0.542749	0.611394	79	66	54	59	66.43	53.56	67.29	69.18	6.05	5.75	6.07	6.11
CEND1	1705.04	8.98054	0.363809	2.54847e-133	7.36664e-132	9	7	2683	2954	7.57	5.68	3343.29	3463.61	3.16	2.83	11.7	11.75
CENPA	47.497	-5.95075	0.991449	3.67499e-09	1.1183e-08	114	113	1	1	95.86	91.71	1.25	1.17	6.51	6.45	1.36	1.29
CENPB	1427.78	-0.0864842	0.0744702	0.243604	0.308212	1772	1789	1095	1198	1490.07	1451.9	1364.48	1404.67	10.54	10.5	10.41	10.46
CENPBD1	105.311	-0.445002	0.237649	0.0536387	0.0796838	142	154	77	69	119.41	124.98	95.95	80.9	6.9	6.96	6.59	6.34
CENPC1	36.6734	-0.802849	0.409277	0.0319557	0.049457	50	66	25	17	42.04	53.56	31.15	19.93	5.38	5.72	4.97	4.36
CENPE	57.5589	-4.78757	0.636261	3.05221e-14	1.20753e-13	134	136	2	4	112.68	110.37	2.49	4.69	6.76	6.73	1.94	2.52
CENPF	507.533	-5.85482	0.289169	4.43941e-91	8.16497e-90	1176	1241	17	11	988.89	1007.16	21.18	12.9	9.94	9.97	4.49	3.85
CENPH	60.4174	-4.45446	0.568113	1.92444e-15	7.98068e-15	137	144	3	5	115.2	116.87	3.74	5.86	6.8	6.82	2.33	2.78
CENPI	19.5137	-3.97769	0.923104	5.2399e-06	1.26377e-05	46	44	2	1	38.68	35.71	2.49	1.17	5.15	5.04	1.78	1.2
CENPJ	94.2409	-0.631057	0.262437	0.0125525	0.0208605	132	148	70	50	111	120.11	87.23	58.63	6.79	6.9	6.45	5.89
CENPK	22.5731	-4.7488	1.04682	3.43915e-06	8.43608e-06	63	43	1	1	52.98	34.9	1.25	1.17	5.59	5.02	1.25	1.18
CENPL	33.6706	-2.22631	0.497754	1.61766e-06	4.07573e-06	64	73	7	11	53.82	59.24	8.72	12.9	5.7	5.84	3.28	3.76
CENPM	87.2003	-4.10822	0.433181	7.79666e-22	4.12546e-21	207	193	7	8	174.07	156.63	8.72	9.38	7.41	7.26	3.3	3.38
CENPN	130.93	-2.62819	0.268906	2.93803e-23	1.62826e-22	279	269	22	37	234.61	218.31	27.41	43.38	7.86	7.76	4.83	5.46
CENPO	42.2713	-2.01442	0.430405	6.68012e-07	1.73464e-06	77	90	11	15	64.75	73.04	13.71	17.59	5.98	6.15	3.87	4.19
CENPP	15.6047	-1.40773	0.662641	0.0106492	0.0179371	26	32	7	5	21.86	25.97	8.72	5.86	4.39	4.62	3.21	2.73
CENPQ	18.4888	-1.49059	0.611589	0.00451765	0.00803025	35	34	7	7	29.43	27.59	8.72	8.21	4.82	4.73	3.23	3.15
CENPT	448.82	0.183127	0.128236	0.149478	0.201038	507	510	343	450	426.33	413.9	427.41	527.63	8.74	8.69	8.74	9.04
CENPV	215.111	-0.765476	0.17176	5.97226e-06	1.43449e-05	322	337	122	140	270.77	273.5	152.02	164.15	8.08	8.09	7.25	7.36
CENPW	44.8966	-4.39637	0.65461	7.72324e-12	2.73541e-11	95	114	2	4	79.89	92.52	2.49	4.69	6.26	6.47	1.92	2.5
CEP110	111.503	-1.68388	0.266724	7.88618e-11	2.6442e-10	195	220	52	33	163.97	178.55	64.8	38.69	7.35	7.47	6.03	5.31
CEP120	86.8786	0.0137204	0.260233	0.957913	0.966395	108	101	80	64	90.82	81.97	99.69	75.04	6.5	6.36	6.64	6.23
CEP135	29.5992	-2.65998	0.566791	5.13209e-07	1.3456e-06	58	68	5	7	48.77	55.19	6.23	8.21	5.55	5.72	2.85	3.17
CEP152	64.182	-3.18124	0.421957	9.76699e-15	3.94139e-14	138	144	5	15	116.04	116.87	6.23	17.59	6.82	6.83	2.91	4.19
CEP164	265.943	0.0668337	0.154845	0.663234	0.720162	293	336	232	218	246.38	272.69	289.1	255.61	7.95	8.09	8.17	8
CEP170	130.699	0.595129	0.214715	0.00452692	0.00804591	112	138	128	134	94.18	112	159.5	157.12	6.56	6.81	7.31	7.29
CEP192	137.603	-0.935272	0.218194	1.10216e-05	2.57915e-05	204	237	81	73	171.54	192.34	100.93	85.59	7.42	7.58	6.66	6.43
CEP250	748.107	-0.886979	0.099159	2.43267e-19	1.18237e-18	1187	1167	416	451	998.14	947.1	518.38	528.8	9.96	9.89	9.02	9.05
CEP290	53.7065	-0.060542	0.318979	0.840135	0.871069	71	62	38	49	59.7	50.32	47.35	57.45	5.9	5.66	5.57	5.84
CEP350	252.077	-0.250398	0.158644	0.109718	0.152171	307	358	191	189	258.16	290.54	238.01	221.61	8.01	8.18	7.9	7.79
CEP55	69.3262	-6.5361	0.979752	8.14091e-11	2.727e-10	158	175	1	1	132.86	142.02	1.25	1.17	7	7.09	1.41	1.34
CEP57	152.45	-1.28949	0.212259	5.29816e-10	1.69452e-09	259	268	77	67	217.79	217.5	95.95	78.56	7.76	7.76	6.59	6.31
CEP63	97.7964	0.538088	0.242909	0.0223782	0.0355337	91	100	98	95	76.52	81.16	122.12	111.39	6.26	6.35	6.93	6.8
CEP68	232.532	1.35256	0.167702	2.99439e-16	1.28868e-15	147	167	275	280	123.61	135.53	342.68	328.3	6.96	7.09	8.42	8.35
CEP70	40.8327	-0.0262346	0.355909	0.935717	0.94738	48	52	30	37	40.36	42.2	37.38	43.38	5.34	5.4	5.23	5.44
CEP72	69.2344	-1.26892	0.307982	1.61982e-05	3.72837e-05	120	120	33	32	100.91	97.39	41.12	37.52	6.64	6.59	5.38	5.25
CEP76	57.0917	0.00499221	0.312359	0.988121	0.990096	72	66	39	56	60.54	53.56	48.6	65.66	5.92	5.75	5.61	6.03
CEP78	64.2406	-1.70469	0.339647	1.51448e-07	4.12497e-07	126	115	19	29	105.95	93.33	23.68	34	6.71	6.53	4.62	5.11
CEP97	64.7476	0.661056	0.29552	0.0191623	0.0308319	60	59	64	69	50.45	47.88	79.75	80.9	5.67	5.59	6.31	6.33
CEPT1	96.6272	-0.362196	0.244416	0.126219	0.172668	128	137	64	75	107.63	111.18	79.75	87.94	6.75	6.79	6.32	6.46
CER1	1.53219	0.124659	0.90963	0.769457	NA	1	2	2	1	0.84	1.62	2.49	1.17	0.21	0.62	0.93	0.41
CERCAM	1117.3	1.97784	0.0877876	5.03182e-113	1.17875e-111	512	581	1439	1513	430.54	471.52	1793.14	1774.02	8.75	8.88	10.81	10.79
CERK	677.878	0.773523	0.100834	1.23749e-14	4.97433e-14	577	632	690	728	485.2	512.91	859.81	853.59	8.92	9	9.75	9.74
CERKL	18.9969	1.70372	0.60595	0.00121813	0.002328	6	13	24	26	5.05	10.55	29.91	30.49	2.54	3.45	4.83	4.85
CES1	51.6408	-3.3638	0.48654	9.53512e-13	3.53259e-12	124	105	9	5	104.27	85.21	11.21	5.86	6.66	6.37	3.59	2.81
CES2	395.808	0.00412034	0.125784	0.975144	0.980115	472	485	320	336	396.9	393.61	398.75	393.97	8.63	8.62	8.64	8.62
CES3	44.991	-1.16071	0.381565	0.00109103	0.00209652	73	81	17	27	61.39	65.74	21.18	31.66	5.92	6.02	4.46	5
CES4	1.83667	-0.253474	0.918756	0.572477	NA	2	4	1	1	1.68	3.25	1.25	1.17	0.78	1.33	0.58	0.54
CES7	3.10647	1.14116	1.31446	0.0851215	0.120974	1	1	3	6	0.84	0.81	3.74	7.04	0.44	0.41	1.66	2.34
CES8	205.053	5.42514	0.343422	2.12196e-56	2.44625e-55	9	13	304	361	7.57	10.55	378.82	423.28	3.1	3.51	8.55	8.7
CETN2	112.279	-0.0725282	0.22535	0.74019	0.78659	141	138	86	95	118.57	112	107.16	111.39	6.89	6.81	6.74	6.8
CETN3	29.1541	-0.883474	0.463996	0.0332383	0.0512568	43	52	10	22	36.16	42.2	12.46	25.8	5.15	5.37	3.73	4.69
CETN4P	1.72402	0.0310489	0.888223	0.944543	NA	2	2	1	2	1.68	1.62	1.25	2.35	0.76	0.73	0.57	1.01
CETP	8.74297	-1.66282	0.941754	0.017469	0.0282993	19	16	2	3	15.98	12.99	2.49	3.52	3.84	3.57	1.73	2.05
CFB	207.619	-3.33414	0.239649	1.17257e-44	1.08857e-43	445	472	23	38	374.2	383.06	28.66	44.56	8.54	8.57	4.9	5.51
CFD	100.495	-2.58763	0.304982	4.2615e-18	1.97497e-17	225	194	19	27	189.2	157.44	23.68	31.66	7.54	7.28	4.63	5.02
CFDP1	216.109	-0.221602	0.168794	0.182636	0.239501	268	297	151	179	225.36	241.04	188.16	209.88	7.82	7.91	7.56	7.71
CFH	55.751	0.369098	0.315001	0.217812	0.279387	63	53	53	52	52.98	43.01	66.04	60.97	5.73	5.44	6.04	5.93
CFHR4	1.22066	-0.00535702	0.920198	0.988754	NA	1	2	1	1	0.84	1.62	1.25	1.17	0.07	0.47	0.29	0.25
CFI	73.6239	-3.24878	0.394892	3.73596e-17	1.66797e-16	161	163	14	8	135.38	132.29	17.45	9.38	7.05	7.02	4.19	3.39
CFL1	4167.65	-0.191028	0.0588609	0.00114847	0.00220255	5378	5381	2985	3464	4522.34	4367.05	3719.62	4061.6	12.14	12.09	11.86	11.99
CFL2	272.426	0.93662	0.152807	5.47858e-10	1.75063e-09	213	237	280	315	179.11	192.34	348.91	369.34	7.49	7.59	8.44	8.53
CFLAR	107.702	0.242866	0.231039	0.280948	0.34877	109	129	95	99	91.66	104.69	118.38	116.08	6.52	6.71	6.88	6.86
CFLP1	3.7666	0.605546	0.915262	0.271256	0.338163	3	2	5	4	2.52	1.62	6.23	4.69	1.48	1.09	2.39	2.09
CFP	8.68533	0.992639	0.803224	0.0895553	0.126649	8	3	13	8	6.73	2.43	16.2	9.38	2.77	1.66	3.85	3.17
CFTR	2.92628	0.0182166	0.827792	0.971748	0.977493	3	4	1	4	2.52	3.25	1.25	4.69	1.38	1.62	0.86	1.97
CG030	15.9034	0.204822	0.53989	0.656905	0.714263	11	24	12	17	9.25	19.48	14.95	19.93	3.29	4.25	3.91	4.28
CGA	48.6777	-5.98926	0.990766	2.91312e-09	8.90016e-09	109	124	1	1	91.66	100.63	1.25	1.17	6.45	6.58	1.36	1.29
CGB7	2.17019	-0.122033	0.878811	0.787069	0.825555	5	1	2	1	4.2	0.81	2.49	1.17	1.65	0.34	1.15	0.6
CGGBP1	309.036	0.00299919	0.142326	0.983975	0.98673	351	397	251	261	295.15	322.19	312.77	306.03	8.21	8.33	8.29	8.26
CGN	128.171	1.02018	0.221775	2.37849e-06	5.91286e-06	101	101	126	161	84.93	81.97	157.01	188.78	6.42	6.37	7.29	7.55
CGNL1	144.73	1.26092	0.211841	1.15941e-09	3.63593e-09	110	93	167	173	92.5	75.48	208.1	202.85	6.54	6.25	7.69	7.66
CGREF1	154.311	1.82552	0.214867	5.24561e-18	2.424e-17	70	92	184	217	58.86	74.66	229.28	254.44	5.9	6.23	7.83	7.98
CGRRF1	26.2345	0.929119	0.466576	0.0258406	0.0405473	17	24	27	32	14.3	19.48	33.64	37.52	3.89	4.3	5.04	5.19
CH25H	18.367	3.0658	0.734506	4.57589e-06	1.11065e-05	2	6	33	22	1.68	4.87	41.12	25.8	1.36	2.43	5.22	4.59
CHAC1	76.6048	0.46522	0.276622	0.0803608	0.114831	74	80	62	87	62.23	64.93	77.26	102.01	5.97	6.03	6.27	6.66
CHAC2	14.5869	-1.58558	0.707258	0.00668439	0.0116204	25	31	6	4	21.02	25.16	7.48	4.69	4.32	4.56	3	2.47
CHAD	78.8541	2.51468	0.323975	1.49609e-15	6.24118e-15	19	36	103	121	15.98	29.22	128.35	141.87	4.07	4.9	6.98	7.12
CHADL	178.131	4.02376	0.263085	1.82637e-53	1.98916e-52	23	26	274	282	19.34	21.1	341.43	330.65	4.34	4.45	8.4	8.35
CHAF1A	394.712	-2.561	0.154727	3.20434e-62	4.05359e-61	813	824	82	106	683.65	668.73	102.18	124.29	9.41	9.38	6.69	6.97
CHAF1B	113.291	-2.21047	0.26809	3.66594e-17	1.63713e-16	217	237	29	36	182.47	192.34	36.14	42.21	7.5	7.57	5.21	5.43
CHAT	2.34707	0.268298	0.88639	0.575301	0.640727	2	2	3	2	1.68	1.62	3.74	2.35	0.93	0.9	1.61	1.2
CHCHD1	118.752	-0.614389	0.232447	0.00649575	0.011316	181	169	85	68	152.2	137.16	105.92	79.73	7.24	7.1	6.73	6.33
CHCHD10	570.212	1.00733	0.108788	1.20735e-20	6.15462e-20	456	458	609	654	383.45	371.7	758.88	766.83	8.58	8.54	9.57	9.58
CHCHD2	466.547	-0.779115	0.120806	7.9994e-11	2.68165e-10	702	729	264	303	590.31	591.63	328.97	355.27	9.2	9.21	8.36	8.47
CHCHD3	160.3	-1.74399	0.213613	9.40781e-17	4.12261e-16	289	312	58	62	243.02	253.21	72.27	72.7	7.92	7.98	6.19	6.2
CHCHD4	89.9224	-0.155413	0.252585	0.524134	0.593396	117	113	74	66	98.38	91.71	92.21	77.39	6.62	6.52	6.53	6.28
CHCHD5	87.9429	-0.842457	0.26747	0.00106607	0.00205191	146	130	53	49	122.77	105.5	66.04	57.45	6.93	6.72	6.05	5.86
CHCHD6	147.368	0.59338	0.200169	0.00246805	0.00453354	143	139	143	152	120.25	112.81	178.19	178.22	6.91	6.82	7.47	7.47
CHCHD7	78.6029	0.556014	0.27425	0.0350494	0.0538085	72	80	66	91	60.54	64.93	82.24	106.7	5.93	6.03	6.36	6.73
CHCHD8	232.605	-1.66654	0.180521	8.04247e-21	4.1213e-20	407	453	97	85	342.24	367.64	120.87	99.66	8.41	8.52	6.93	6.65
CHD1	135.7	-1.24559	0.224173	1.2359e-08	3.61943e-08	245	220	63	68	206.02	178.55	78.5	79.73	7.68	7.47	6.31	6.33
CHD1L	252.995	-1.3739	0.166865	7.32278e-17	3.22828e-16	419	469	111	120	352.34	380.63	138.32	140.7	8.46	8.57	7.12	7.14
CHD2	846.167	-0.0798562	0.0908585	0.377007	0.448898	1042	1064	652	710	876.21	863.51	812.46	832.49	9.78	9.75	9.67	9.7
CHD3	1549.59	0.509082	0.074119	5.69411e-12	2.02819e-11	1535	1559	1409	1609	1290.78	1265.24	1755.76	1886.58	10.33	10.31	10.78	10.88
CHD4	1828.55	-1.04448	0.0707473	1.44453e-49	1.46507e-48	2930	3039	928	1047	2463.83	2466.36	1156.38	1227.62	11.27	11.27	10.18	10.26
CHD5	1054.05	6.96897	0.239981	5.20478e-185	2.32967e-183	20	20	1652	1812	16.82	16.23	2058.56	2124.6	4.17	4.12	11	11.05
CHD6	487.38	0.157493	0.115637	0.170808	0.225593	555	560	399	453	466.7	454.48	497.19	531.15	8.87	8.83	8.96	9.05
CHD7	455.648	0.526867	0.119665	9.15608e-06	2.15989e-05	437	465	417	476	367.47	377.38	519.62	558.12	8.52	8.56	9.02	9.12
CHD8	708.932	-0.126808	0.0983109	0.19465	0.253287	867	926	554	567	729.06	751.51	690.34	664.82	9.51	9.55	9.43	9.38
CHD9	206.728	0.614961	0.171093	0.000263009	0.000540876	197	196	196	220	165.66	159.07	244.24	257.95	7.37	7.32	7.93	8.01
CHDH	177.859	-0.0865067	0.182516	0.628804	0.689734	216	228	144	141	181.63	185.04	179.44	165.32	7.5	7.53	7.49	7.37
CHEK1	75.9285	-2.70065	0.355807	5.9077e-15	2.40447e-14	146	175	19	13	122.77	142.02	23.68	15.24	6.92	7.12	4.61	4.02
CHEK2	44.6434	-4.16663	0.618237	5.53157e-12	1.9719e-11	101	105	3	4	84.93	85.21	3.74	4.69	6.35	6.35	2.3	2.51
CHERP	775.021	-0.385022	0.099528	0.000100732	0.000215621	1061	1067	502	611	892.19	865.94	625.54	716.41	9.8	9.76	9.29	9.48
CHFR	163.961	-0.368851	0.194251	0.0528152	0.0785868	234	215	107	129	196.77	174.49	133.33	151.25	7.62	7.45	7.06	7.24
CHGA	1267.56	9.21581	0.456402	2.50213e-89	4.51671e-88	5	5	1979	2214	4.2	4.06	2466.04	2595.95	2.49	2.45	11.26	11.33
CHGB	1876.72	7.0842	0.18807	0	0	29	37	3011	3156	24.39	30.03	3752.01	3700.46	4.68	4.96	11.87	11.85
CHI3L1	441.17	3.67477	0.158955	5.42013e-119	1.35859e-117	76	78	646	710	63.91	63.3	804.98	832.49	6.02	6	9.65	9.69
CHI3L2	58.1794	-0.782516	0.324024	0.0106664	0.0179626	95	86	29	40	79.89	69.79	36.14	46.9	6.31	6.12	5.2	5.56
CHIC1	78.1331	2.4093	0.310969	1.74589e-15	7.25736e-15	25	33	108	111	21.02	26.78	134.58	130.15	4.44	4.78	7.05	7
CHIC2	37.071	-0.0941753	0.373839	0.784975	0.824247	51	42	29	30	42.89	34.09	36.14	35.18	5.41	5.1	5.18	5.14
CHID1	405.526	-0.469553	0.127144	0.000194846	0.000406416	574	568	281	280	482.67	460.97	350.15	328.3	8.91	8.85	8.45	8.36
CHIT1	4.33417	2.0095	1.4726	0.0236233	0.037352	1	1	6	7	0.84	0.81	7.48	8.21	0.53	0.5	2.57	2.68
CHKA	319.329	-0.166745	0.140085	0.229058	0.292181	400	419	231	267	336.36	340.05	287.85	313.06	8.39	8.41	8.17	8.29
CHKB	14.3685	0.48614	0.564738	0.304622	0.374135	13	14	16	13	10.93	11.36	19.94	15.24	3.49	3.54	4.26	3.92
CHKB-CPT1B	68.2825	0.282497	0.283131	0.299385	0.368374	72	76	59	66	60.54	61.68	73.52	77.39	5.92	5.95	6.2	6.27
CHL1	343.416	6.47559	0.358925	1.5403e-72	2.26729e-71	13	5	554	570	10.93	4.06	690.34	668.33	3.57	2.4	9.42	9.37
CHM	98.5848	0.896763	0.247635	0.000183984	0.000384768	76	88	110	104	63.91	71.42	137.07	121.94	6.01	6.17	7.09	6.92
CHML	114.588	-1.88554	0.257744	6.77942e-14	2.64044e-13	209	231	34	45	175.75	187.47	42.37	52.76	7.45	7.54	5.43	5.74
CHMP1A	752.51	-0.286664	0.100057	0.00397785	0.00712561	982	1023	507	616	825.76	830.23	631.77	722.27	9.69	9.7	9.3	9.5
CHMP1B	340.242	-0.15928	0.143455	0.261646	0.328222	419	452	229	304	352.34	366.83	285.36	356.44	8.46	8.52	8.16	8.48
CHMP2A	409.991	0.237344	0.125534	0.0567015	0.0837797	456	454	341	395	383.45	368.45	424.92	463.14	8.58	8.53	8.73	8.85
CHMP2B	97.3584	0.182261	0.240416	0.436176	0.508245	111	109	81	91	93.34	88.46	100.93	106.7	6.55	6.47	6.66	6.73
CHMP4A	152.753	-0.0185519	0.203257	0.92457	0.938589	161	212	126	125	135.38	172.05	157.01	146.56	7.08	7.42	7.29	7.2
CHMP4B	911.627	0.669995	0.0882459	2.47568e-14	9.82766e-14	830	871	906	949	697.94	706.88	1128.97	1112.72	9.45	9.47	10.14	10.12
CHMP4C	15.1463	-2.79107	0.833375	0.000149013	0.000314327	32	34	3	2	26.91	27.59	3.74	2.35	4.63	4.66	2.18	1.73
CHMP5	140.584	0.440143	0.203823	0.0274353	0.0429343	139	148	135	134	116.88	120.11	168.22	157.12	6.87	6.91	7.39	7.29
CHMP6	147.853	-0.0770984	0.197953	0.690304	0.742463	181	187	114	124	152.2	151.76	142.06	145.39	7.25	7.25	7.15	7.18
CHMP7	290.628	0.0690165	0.147972	0.63818	0.697751	348	338	254	238	292.63	274.31	316.51	279.06	8.19	8.1	8.31	8.12
CHN1	1213.67	5.34945	0.143341	2.74208e-305	2.8469e-303	80	60	1856	2069	67.27	48.69	2312.77	2425.94	6.09	5.64	11.17	11.24
CHN2	503.656	4.32578	0.169426	2.15685e-144	7.06046e-143	54	61	753	837	45.41	49.51	938.31	981.4	5.53	5.65	9.87	9.93
CHODL	4.67574	0.41639	0.801547	0.433812	0.505828	4	4	5	5	3.36	3.25	6.23	5.86	1.87	1.83	2.52	2.45
CHORDC1	49.068	-0.200315	0.329563	0.519354	0.588745	64	64	35	40	53.82	51.94	43.61	46.9	5.75	5.7	5.45	5.55
CHP	404.686	0.164436	0.12667	0.190789	0.248818	432	492	338	371	363.27	399.29	421.18	435	8.51	8.64	8.72	8.76
CHP2	3.38352	-0.111213	0.808486	0.821127	0.855041	5	4	3	2	4.2	3.25	3.74	2.35	1.97	1.71	1.85	1.42
CHPF	1345.93	-0.927209	0.0819427	6.83282e-30	4.52923e-29	2198	2075	733	800	1848.29	1684.01	913.39	938.01	10.85	10.72	9.84	9.87
CHPF2	320.459	-0.978472	0.148516	2.63388e-11	9.06691e-11	540	492	166	189	454.08	399.29	206.85	221.61	8.82	8.64	7.7	7.79
CHPT1	184.302	-0.0447791	0.180983	0.80042	0.837458	236	217	148	152	198.45	176.11	184.42	178.22	7.63	7.46	7.53	7.48
CHRAC1	117.007	-1.76192	0.253291	9.76799e-13	3.6158e-12	229	211	46	40	192.57	171.24	57.32	46.9	7.58	7.41	5.86	5.58
CHRD	587.488	3.87042	0.143861	3.67666e-160	1.36098e-158	90	91	871	951	75.68	73.85	1085.36	1115.06	6.26	6.22	10.08	10.12
CHRDL1	79.8275	1.97605	0.298582	8.47738e-12	2.99284e-11	33	43	94	119	27.75	34.9	117.13	139.53	4.83	5.15	6.85	7.1
CHRDL2	2.86911	-0.154574	0.838221	0.749588	0.7947	5	3	2	2	4.2	2.43	2.49	2.35	1.88	1.36	1.39	1.34
CHRFAM7A	1.93395	0.49649	1.00775	0.301286	NA	1	1	3	2	0.84	0.81	3.74	2.35	0.28	0.26	1.42	1.01
CHRM1	297.084	7.40883	0.517124	8.27075e-46	7.86977e-45	6	2	459	520	5.05	1.62	571.96	609.71	2.6	1.55	9.14	9.23
CHRM2	4.04104	1.81278	1.4773	0.0317428	0.049171	1	1	6	6	0.84	0.81	7.48	7.04	0.52	0.49	2.54	2.47
CHRM3	38.7436	1.3106	0.409844	0.00053958	0.00107269	22	29	37	57	18.5	23.54	46.11	66.83	4.26	4.58	5.51	6.03
CHRM4	26.9623	2.47782	0.537096	6.8012e-07	1.76529e-06	8	10	37	40	6.73	8.12	46.11	46.9	2.9	3.13	5.46	5.48
CHRM5	7.37584	3.31636	1.26653	0.00150146	0.00283825	1	1	12	11	0.84	0.81	14.95	12.9	0.62	0.59	3.61	3.42
CHRNA1	3.74087	0.604756	0.915092	0.272143	0.339062	2	3	4	5	1.68	2.43	4.98	5.86	1.12	1.44	2.15	2.32
CHRNA10	7.48232	0.19781	0.680598	0.700045	0.751989	8	8	4	10	6.73	6.49	4.98	11.73	2.77	2.72	2.44	3.43
CHRNA2	51.5897	6.13233	0.845149	6.66432e-13	2.4911e-12	1	2	78	91	0.84	1.62	97.2	106.7	0.91	1.32	6.52	6.66
CHRNA3	33.0699	2.66949	0.496281	1.23604e-08	3.61943e-08	11	9	43	53	9.25	7.3	53.58	62.14	3.31	3.01	5.69	5.89
CHRNA4	198.512	5.37695	0.343846	2.55938e-55	2.8842e-54	9	13	299	344	7.57	10.55	372.58	403.35	3.1	3.51	8.52	8.63
CHRNA5	22.4399	-2.43098	0.642812	2.87139e-05	6.46165e-05	42	52	7	3	35.32	42.2	8.72	3.52	5.07	5.32	3.22	2.2
CHRNA6	5.63803	0.86922	0.898589	0.143543	0.193738	3	4	5	9	2.52	3.25	6.23	10.55	1.61	1.85	2.56	3.18
CHRNA7	4.47285	0.500442	0.835313	0.354613	0.42573	4	3	5	5	3.36	2.43	6.23	5.86	1.84	1.53	2.49	2.42
CHRNA9	13.0128	-3.79105	1.11307	0.000197815	0.00041207	32	28	1	1	26.91	22.72	1.25	1.17	4.57	4.35	1.17	1.11
CHRNB1	48.1073	-0.627069	0.344774	0.0526023	0.0782899	70	74	27	34	58.86	60.06	33.64	39.87	5.87	5.9	5.09	5.33
CHRNB2	312.853	5.80895	0.308431	3.65438e-79	5.89336e-78	14	12	493	525	11.77	9.74	614.33	615.57	3.67	3.43	9.25	9.25
CHRNB3	5.25035	2.52423	1.40326	0.00972699	0.0164962	1	1	8	8	0.84	0.81	9.97	9.38	0.57	0.54	2.98	2.91
CHRNB4	3.07904	0.198556	0.836081	0.688501	0.740904	4	2	4	2	3.36	1.62	4.98	2.35	1.68	1.03	2.06	1.35
CHRND	1.83265	0.244063	0.913501	0.588446	NA	2	1	2	2	1.68	0.81	2.49	2.35	0.77	0.3	1.07	1.02
CHRNE	8.40526	1.12381	0.814616	0.0607122	0.089195	5	5	10	11	4.2	4.06	12.46	12.9	2.23	2.19	3.52	3.56
