Gene	length
ENSMUSG00000034164	855
ENSMUSG00000034165	853
ENSMUSG00000034168	4112
ENSMUSG00000034171	2342
ENSMUSG00000034173	2478
ENSMUSG00000034175	808
ENSMUSG00000034177	2640
ENSMUSG00000034185	1604
ENSMUSG00000034187	747
ENSMUSG00000034189	1319
ENSMUSG00000034190	2706
ENSMUSG00000034192	618
ENSMUSG00000034194	1148
ENSMUSG00000034201	2686
ENSMUSG00000034203	2663
ENSMUSG00000034205	4179
ENSMUSG00000034206	7290
ENSMUSG00000034209	902
ENSMUSG00000034210	2636
ENSMUSG00000034211	859
ENSMUSG00000034212	3243
ENSMUSG00000034216	3914
ENSMUSG00000034218	643
ENSMUSG00000034219	1381
ENSMUSG00000034220	727
ENSMUSG00000034224	869
ENSMUSG00000034226	1703
ENSMUSG00000034227	2623
ENSMUSG00000034235	3423
ENSMUSG00000034239	7776
ENSMUSG00000034243	644
ENSMUSG00000034245	738
ENSMUSG00000034247	4114
ENSMUSG00000034248	3193
ENSMUSG00000034252	1150
ENSMUSG00000034254	1268
ENSMUSG00000034255	748
ENSMUSG00000034258	3435
ENSMUSG00000034259	1042
ENSMUSG00000034263	2820
ENSMUSG00000034265	3115
ENSMUSG00000034266	955
ENSMUSG00000034269	3304
ENSMUSG00000034271	1567
ENSMUSG00000034274	926
ENSMUSG00000034275	3548
ENSMUSG00000034278	616
ENSMUSG00000034282	6384
ENSMUSG00000034285	614
ENSMUSG00000034290	5386
ENSMUSG00000034292	2374
ENSMUSG00000034295	5408
ENSMUSG00000034297	639
ENSMUSG00000034300	4366
ENSMUSG00000034303	2464
ENSMUSG00000034308	2615
ENSMUSG00000034310	748
ENSMUSG00000034311	709
ENSMUSG00000034312	771
ENSMUSG00000034317	968
ENSMUSG00000034320	3485
ENSMUSG00000034321	1560
ENSMUSG00000034324	2754
ENSMUSG00000034327	1915
ENSMUSG00000034329	600
ENSMUSG00000034330	4298
ENSMUSG00000034333	2990
ENSMUSG00000034334	1381
ENSMUSG00000034336	3240
ENSMUSG00000034339	294
ENSMUSG00000034341	958
ENSMUSG00000034342	457
ENSMUSG00000034343	1110
ENSMUSG00000034345	1613
ENSMUSG00000034349	756
ENSMUSG00000034353	852
ENSMUSG00000034354	4642
ENSMUSG00000034359	1468
ENSMUSG00000034361	744
ENSMUSG00000034362	1602
ENSMUSG00000034371	2253
ENSMUSG00000034377	1868
ENSMUSG00000034379	1784
ENSMUSG00000034382	3138
ENSMUSG00000034384	2314
ENSMUSG00000034387	1321
ENSMUSG00000034390	2342
ENSMUSG00000034391	1437
ENSMUSG00000034394	3798
ENSMUSG00000034401	790
ENSMUSG00000034402	4061
ENSMUSG00000034403	2563
ENSMUSG00000034412	1004
ENSMUSG00000034413	1231
ENSMUSG00000034416	4551
ENSMUSG00000034422	4026
ENSMUSG00000034424	914
ENSMUSG00000034427	1362
ENSMUSG00000034429	1674
ENSMUSG00000034430	2961
ENSMUSG00000034432	513
ENSMUSG00000034435	3282
ENSMUSG00000034437	492
ENSMUSG00000034438	2180
ENSMUSG00000034442	1669
ENSMUSG00000034445	1474
ENSMUSG00000034449	1098
ENSMUSG00000034450	2265
ENSMUSG00000034452	5213
ENSMUSG00000034453	1087
ENSMUSG00000034456	3416
ENSMUSG00000034457	1793
ENSMUSG00000034459	2656
ENSMUSG00000034460	6610
ENSMUSG00000034462	5130
ENSMUSG00000034463	3405
ENSMUSG00000034467	521
ENSMUSG00000034471	860
ENSMUSG00000034472	2054
ENSMUSG00000034473	625
ENSMUSG00000034480	4208
ENSMUSG00000034482	509
ENSMUSG00000034484	2013
ENSMUSG00000034485	4417
ENSMUSG00000034486	1678
ENSMUSG00000034487	2022
ENSMUSG00000034488	2699
ENSMUSG00000034493	1220
ENSMUSG00000034501	4420
ENSMUSG00000034509	1269
ENSMUSG00000034518	609
ENSMUSG00000034520	1903
ENSMUSG00000034522	4229
ENSMUSG00000034525	7675
ENSMUSG00000034528	1310
ENSMUSG00000034532	1228
ENSMUSG00000034533	5877
ENSMUSG00000034538	2796
ENSMUSG00000034543	832
ENSMUSG00000034544	2899
ENSMUSG00000034551	9460
ENSMUSG00000034552	1226
ENSMUSG00000034555	3972
ENSMUSG00000034557	5987
ENSMUSG00000034560	5854
ENSMUSG00000034563	2657
ENSMUSG00000034566	568
ENSMUSG00000034570	2554
ENSMUSG00000034573	3408
ENSMUSG00000034574	6004
ENSMUSG00000034575	4372
ENSMUSG00000034579	2608
ENSMUSG00000034583	964
ENSMUSG00000034584	2763
ENSMUSG00000034586	790
ENSMUSG00000034587	505
ENSMUSG00000034591	620
ENSMUSG00000034593	1763
ENSMUSG00000034595	2937
ENSMUSG00000034601	3836
ENSMUSG00000034602	9282
ENSMUSG00000034607	3886
ENSMUSG00000034610	636
ENSMUSG00000034612	5527
ENSMUSG00000034613	784
ENSMUSG00000034614	782
ENSMUSG00000034616	2732
ENSMUSG00000034617	3692
ENSMUSG00000034620	648
ENSMUSG00000034621	662
ENSMUSG00000034623	1032
ENSMUSG00000034634	744
ENSMUSG00000034636	4569
ENSMUSG00000034639	1680
ENSMUSG00000034640	827
ENSMUSG00000034641	2645
ENSMUSG00000034645	2280
ENSMUSG00000034647	1173
ENSMUSG00000034648	3700
ENSMUSG00000034652	4633
ENSMUSG00000034653	2808
ENSMUSG00000034656	1153
ENSMUSG00000034659	617
ENSMUSG00000034660	398
ENSMUSG00000034663	5316
ENSMUSG00000034664	648
ENSMUSG00000034667	5992
ENSMUSG00000034673	1186
ENSMUSG00000034674	773
ENSMUSG00000034675	789
ENSMUSG00000034677	1107
ENSMUSG00000034681	1798
ENSMUSG00000034683	1051
ENSMUSG00000034684	808
ENSMUSG00000034685	378
ENSMUSG00000034686	1360
ENSMUSG00000034687	913
ENSMUSG00000034689	1156
ENSMUSG00000034690	3216
ENSMUSG00000034701	2729
ENSMUSG00000034706	1704
ENSMUSG00000034707	3855
ENSMUSG00000034708	798
ENSMUSG00000034709	714
ENSMUSG00000034714	2090
ENSMUSG00000034723	3260
ENSMUSG00000034724	1436
ENSMUSG00000034729	1017
ENSMUSG00000034730	2391
ENSMUSG00000034731	3967
ENSMUSG00000034732	2338
ENSMUSG00000034738	1208
ENSMUSG00000034739	2822
ENSMUSG00000034744	1010
ENSMUSG00000034748	1278
ENSMUSG00000034751	3040
ENSMUSG00000034755	4442
ENSMUSG00000034757	1876
ENSMUSG00000034758	625
ENSMUSG00000034761	4250
ENSMUSG00000034762	676
ENSMUSG00000034764	828
ENSMUSG00000034765	2473
ENSMUSG00000034768	2843
ENSMUSG00000034771	858
ENSMUSG00000034773	890
ENSMUSG00000034774	4088
ENSMUSG00000034777	1242
ENSMUSG00000034780	1812
ENSMUSG00000034781	1547
ENSMUSG00000034783	1522
ENSMUSG00000034785	624
ENSMUSG00000034786	1019
ENSMUSG00000034789	1865
ENSMUSG00000034792	1046
ENSMUSG00000034793	848
ENSMUSG00000034795	1178
ENSMUSG00000034796	2398
ENSMUSG00000034799	1040
ENSMUSG00000034800	2873
ENSMUSG00000034801	2417
ENSMUSG00000034807	2860
ENSMUSG00000034810	7338
ENSMUSG00000034813	3378
ENSMUSG00000034818	1494
ENSMUSG00000034820	3604
ENSMUSG00000034825	3910
ENSMUSG00000034826	502
ENSMUSG00000034829	2508
ENSMUSG00000034832	4836
ENSMUSG00000034833	1694
ENSMUSG00000034837	754
ENSMUSG00000034839	2440
ENSMUSG00000034842	869
ENSMUSG00000034845	1987
ENSMUSG00000034848	4266
ENSMUSG00000034850	842
ENSMUSG00000034853	596
ENSMUSG00000034854	2306
ENSMUSG00000034855	1224
ENSMUSG00000034858	3795
ENSMUSG00000034863	3719
ENSMUSG00000034867	748
ENSMUSG00000034868	734
ENSMUSG00000034871	1923
ENSMUSG00000034872	1024
ENSMUSG00000034875	738
ENSMUSG00000034880	607
ENSMUSG00000034881	1763
ENSMUSG00000034883	1501
ENSMUSG00000034889	2724
ENSMUSG00000034891	772
ENSMUSG00000034892	426
ENSMUSG00000034893	4222
ENSMUSG00000034898	2290
ENSMUSG00000034902	910
ENSMUSG00000034903	1092
ENSMUSG00000034906	1282
ENSMUSG00000034908	672
ENSMUSG00000034910	7916
ENSMUSG00000034911	2438
ENSMUSG00000034912	3072
ENSMUSG00000034913	1574
ENSMUSG00000034917	3024
ENSMUSG00000034918	4129
ENSMUSG00000034919	1760
ENSMUSG00000034923	1141
ENSMUSG00000034926	4028
ENSMUSG00000034928	712
ENSMUSG00000034930	792
ENSMUSG00000034931	675
ENSMUSG00000034932	567
ENSMUSG00000034936	1382
ENSMUSG00000034940	1943
ENSMUSG00000034947	1045
ENSMUSG00000034949	986
ENSMUSG00000034951	3028
ENSMUSG00000034957	2394
ENSMUSG00000034958	3707
ENSMUSG00000034959	2651
ENSMUSG00000034968	674
ENSMUSG00000034973	2230
ENSMUSG00000034974	1702
ENSMUSG00000034981	5068
ENSMUSG00000034987	4074
ENSMUSG00000034990	2619
ENSMUSG00000034993	2766
ENSMUSG00000034994	3098
ENSMUSG00000034997	2971
ENSMUSG00000034998	2358
ENSMUSG00000035000	642
ENSMUSG00000035004	2175
ENSMUSG00000035007	3223
ENSMUSG00000035011	1758
ENSMUSG00000035020	1282
ENSMUSG00000035021	573
ENSMUSG00000035024	4314
ENSMUSG00000035027	917
ENSMUSG00000035031	2766
ENSMUSG00000035032	1721
ENSMUSG00000035033	1388
ENSMUSG00000035041	833
ENSMUSG00000035042	600
ENSMUSG00000035045	2374
ENSMUSG00000035047	894
ENSMUSG00000035048	595
ENSMUSG00000035049	4319
ENSMUSG00000035051	4998
ENSMUSG00000035057	1492
ENSMUSG00000035062	2156
ENSMUSG00000035064	672
ENSMUSG00000035067	1702
ENSMUSG00000035069	426
ENSMUSG00000035078	2402
ENSMUSG00000035085	756
ENSMUSG00000035086	786
ENSMUSG00000035093	2295
ENSMUSG00000035095	2300
ENSMUSG00000035104	788
ENSMUSG00000035105	2662
ENSMUSG00000035107	1270
ENSMUSG00000035109	3865
ENSMUSG00000035112	3462
ENSMUSG00000035121	1932
ENSMUSG00000035125	1297
ENSMUSG00000035126	3422
ENSMUSG00000035129	1098
ENSMUSG00000035131	2803
ENSMUSG00000035133	5197
ENSMUSG00000035139	768
ENSMUSG00000035142	896
ENSMUSG00000035148	1388
ENSMUSG00000035150	1103
ENSMUSG00000035151	3690
ENSMUSG00000035152	3269
ENSMUSG00000035158	2017
ENSMUSG00000035161	4993
ENSMUSG00000035164	6448
ENSMUSG00000035165	1036
ENSMUSG00000035168	2809
ENSMUSG00000035171	599
ENSMUSG00000035172	2022
ENSMUSG00000035173	900
ENSMUSG00000035177	746
ENSMUSG00000035179	1458
ENSMUSG00000035181	7761
ENSMUSG00000035183	604
ENSMUSG00000035184	1024
ENSMUSG00000035186	931
ENSMUSG00000035187	3138
ENSMUSG00000035189	1712
ENSMUSG00000035191	1445
ENSMUSG00000035198	1327
ENSMUSG00000035199	1442
ENSMUSG00000035200	3723
ENSMUSG00000035201	1836
ENSMUSG00000035202	1598
ENSMUSG00000035203	732
ENSMUSG00000035206	2866
ENSMUSG00000035208	3006
ENSMUSG00000035211	1391
ENSMUSG00000035212	1826
ENSMUSG00000035215	468
ENSMUSG00000035226	4962
ENSMUSG00000035227	874
ENSMUSG00000035228	601
ENSMUSG00000035232	607
ENSMUSG00000035234	1582
ENSMUSG00000035235	1609
ENSMUSG00000035236	1498
ENSMUSG00000035237	1342
ENSMUSG00000035238	1560
ENSMUSG00000035239	3341
ENSMUSG00000035242	744
ENSMUSG00000035245	616
ENSMUSG00000035246	4867
ENSMUSG00000035247	9000
ENSMUSG00000035248	5551
ENSMUSG00000035258	4441
ENSMUSG00000035262	1665
ENSMUSG00000035266	812
ENSMUSG00000035268	762
ENSMUSG00000035270	3406
ENSMUSG00000035273	2538
ENSMUSG00000035274	3481
ENSMUSG00000035275	2893
ENSMUSG00000035277	2454
ENSMUSG00000035278	1259
ENSMUSG00000035279	2522
ENSMUSG00000035283	2491
ENSMUSG00000035284	2669
ENSMUSG00000035285	572
ENSMUSG00000035293	2724
ENSMUSG00000035295	1194
ENSMUSG00000035296	1298
ENSMUSG00000035297	897
ENSMUSG00000035298	674
ENSMUSG00000035299	2546
ENSMUSG00000035305	5762
ENSMUSG00000035310	3734
ENSMUSG00000035311	726
ENSMUSG00000035314	692
ENSMUSG00000035325	1144
ENSMUSG00000035329	2021
ENSMUSG00000035337	1162
ENSMUSG00000035342	2781
ENSMUSG00000035349	1629
ENSMUSG00000035351	1274
ENSMUSG00000035352	509
ENSMUSG00000035354	1684
ENSMUSG00000035355	3848
ENSMUSG00000035356	3767
ENSMUSG00000035357	1818
ENSMUSG00000035364	603
ENSMUSG00000035365	731
ENSMUSG00000035367	3522
ENSMUSG00000035370	2964
ENSMUSG00000035371	602
ENSMUSG00000035372	1882
ENSMUSG00000035373	801
ENSMUSG00000035376	3603
ENSMUSG00000035378	1814
ENSMUSG00000035382	749
ENSMUSG00000035383	749
ENSMUSG00000035385	954
ENSMUSG00000035387	2617
ENSMUSG00000035390	1398
ENSMUSG00000035392	833
ENSMUSG00000035394	943
ENSMUSG00000035395	4182
ENSMUSG00000035397	2674
ENSMUSG00000035399	773
ENSMUSG00000035401	2368
ENSMUSG00000035403	1132
ENSMUSG00000035407	2646
ENSMUSG00000035413	1633
ENSMUSG00000035420	1342
ENSMUSG00000035427	2402
ENSMUSG00000035429	3495
ENSMUSG00000035431	1883
ENSMUSG00000035435	5260
ENSMUSG00000035437	1958
ENSMUSG00000035439	652
ENSMUSG00000035441	3106
ENSMUSG00000035443	814
ENSMUSG00000035448	3272
ENSMUSG00000035451	3188
ENSMUSG00000035454	1048
ENSMUSG00000035455	2807
ENSMUSG00000035456	3934
ENSMUSG00000035458	558
ENSMUSG00000035459	8140
ENSMUSG00000035469	852
ENSMUSG00000035472	1517
ENSMUSG00000035473	1455
ENSMUSG00000035476	546
ENSMUSG00000035478	1170
ENSMUSG00000035486	1681
ENSMUSG00000035491	835
ENSMUSG00000035493	2678
ENSMUSG00000035495	656
ENSMUSG00000035498	3607
ENSMUSG00000035504	2127
ENSMUSG00000035505	812
ENSMUSG00000035506	2382
ENSMUSG00000035509	1965
ENSMUSG00000035513	1593
ENSMUSG00000035517	618
ENSMUSG00000035521	1742
ENSMUSG00000035522	1070
ENSMUSG00000035523	1222
ENSMUSG00000035528	1643
ENSMUSG00000035529	3917
ENSMUSG00000035530	503
ENSMUSG00000035539	3179
ENSMUSG00000035540	1122
ENSMUSG00000035545	736
ENSMUSG00000035547	668
ENSMUSG00000035551	1806
ENSMUSG00000035557	1551
ENSMUSG00000035559	516
ENSMUSG00000035560	2228
ENSMUSG00000035561	1372
ENSMUSG00000035566	9509
ENSMUSG00000035569	4257
ENSMUSG00000035572	2244
ENSMUSG00000035575	1478
ENSMUSG00000035576	675
ENSMUSG00000035578	750
ENSMUSG00000035580	2946
ENSMUSG00000035582	2476
ENSMUSG00000035585	1046
ENSMUSG00000035592	1162
ENSMUSG00000035594	1807
ENSMUSG00000035595	678
ENSMUSG00000035596	797
ENSMUSG00000035597	4192
ENSMUSG00000035601	874
ENSMUSG00000035606	3140
ENSMUSG00000035614	6434
ENSMUSG00000035615	4812
ENSMUSG00000035620	2909
ENSMUSG00000035621	753
ENSMUSG00000035623	2789
ENSMUSG00000035626	1086
ENSMUSG00000035629	2982
ENSMUSG00000035632	1430
ENSMUSG00000035637	703
ENSMUSG00000035638	2986
ENSMUSG00000035640	663
ENSMUSG00000035642	651
ENSMUSG00000035649	2503
ENSMUSG00000035651	1486
ENSMUSG00000035653	3615
ENSMUSG00000035666	3809
ENSMUSG00000035671	4625
ENSMUSG00000035673	4227
ENSMUSG00000035674	414
ENSMUSG00000035678	1230
ENSMUSG00000035681	6196
ENSMUSG00000035683	672
ENSMUSG00000035686	1338
ENSMUSG00000035692	756
ENSMUSG00000035694	2321
ENSMUSG00000035696	840
ENSMUSG00000035697	3867
ENSMUSG00000035699	1600
ENSMUSG00000035704	870
ENSMUSG00000035711	1546
ENSMUSG00000035713	1913
ENSMUSG00000035722	6638
ENSMUSG00000035725	3392
ENSMUSG00000035726	4491
ENSMUSG00000035735	5588
ENSMUSG00000035745	1637
ENSMUSG00000035754	2954
ENSMUSG00000035757	2536
ENSMUSG00000035759	2753
ENSMUSG00000035762	2572
ENSMUSG00000035764	4179
ENSMUSG00000035765	2471
ENSMUSG00000035769	3134
ENSMUSG00000035770	1074
ENSMUSG00000035772	2429
ENSMUSG00000035773	3163
ENSMUSG00000035775	1927
ENSMUSG00000035776	2468
ENSMUSG00000035778	1221
ENSMUSG00000035780	2117
ENSMUSG00000035781	1682
ENSMUSG00000035783	1781
ENSMUSG00000035785	690
ENSMUSG00000035790	1567
ENSMUSG00000035798	2846
ENSMUSG00000035799	1616
ENSMUSG00000035804	1016
ENSMUSG00000035805	2792
ENSMUSG00000035811	3359
ENSMUSG00000035818	2385
ENSMUSG00000035824	766
ENSMUSG00000035828	2419
ENSMUSG00000035829	646
ENSMUSG00000035831	1989
ENSMUSG00000035834	733
ENSMUSG00000035835	880
ENSMUSG00000035836	2573
ENSMUSG00000035840	3124
ENSMUSG00000035842	4149
ENSMUSG00000035845	1926
ENSMUSG00000035847	2840
ENSMUSG00000035849	2042
ENSMUSG00000035851	3269
ENSMUSG00000035852	2420
ENSMUSG00000035860	2953
ENSMUSG00000035861	4171
ENSMUSG00000035863	2585
ENSMUSG00000035864	3290
ENSMUSG00000035868	1383
ENSMUSG00000035873	1828
ENSMUSG00000035875	609
ENSMUSG00000035877	4006
ENSMUSG00000035878	4351
ENSMUSG00000035885	545
ENSMUSG00000035890	1639
ENSMUSG00000035891	3896
ENSMUSG00000035896	970
ENSMUSG00000035898	4177
ENSMUSG00000035900	4115
ENSMUSG00000035901	1162
ENSMUSG00000035910	1512
ENSMUSG00000035914	1810
ENSMUSG00000035916	7393
ENSMUSG00000035919	1326
ENSMUSG00000035923	1248
ENSMUSG00000035929	2194
ENSMUSG00000035930	1942
ENSMUSG00000035932	3460
ENSMUSG00000035933	2997
ENSMUSG00000035934	1729
ENSMUSG00000035936	5647
ENSMUSG00000035941	4102
ENSMUSG00000035944	2369
ENSMUSG00000035946	1424
ENSMUSG00000035948	2134
ENSMUSG00000035949	1855
ENSMUSG00000035951	700
ENSMUSG00000035953	877
ENSMUSG00000035954	8063
ENSMUSG00000035958	1250
ENSMUSG00000035960	846
ENSMUSG00000035963	1248
ENSMUSG00000035964	1114
ENSMUSG00000035967	3608
ENSMUSG00000035969	722
ENSMUSG00000035983	476
ENSMUSG00000035984	786
ENSMUSG00000035992	4496
ENSMUSG00000036002	3038
ENSMUSG00000036006	2342
ENSMUSG00000036009	1357
ENSMUSG00000036013	898
ENSMUSG00000036019	1852
ENSMUSG00000036022	3305
ENSMUSG00000036023	1788
ENSMUSG00000036026	902
ENSMUSG00000036027	892
ENSMUSG00000036030	4832
ENSMUSG00000036036	762
ENSMUSG00000036040	1069
ENSMUSG00000036045	1131
ENSMUSG00000036046	5069
ENSMUSG00000036052	3093
ENSMUSG00000036053	3384
ENSMUSG00000036054	672
ENSMUSG00000036057	719
ENSMUSG00000036061	3281
ENSMUSG00000036062	768
ENSMUSG00000036067	2012
ENSMUSG00000036073	888
ENSMUSG00000036078	729
ENSMUSG00000036083	3058
ENSMUSG00000036086	1913
ENSMUSG00000036087	4070
ENSMUSG00000036091	1380
ENSMUSG00000036093	2846
ENSMUSG00000036095	5544
ENSMUSG00000036097	6880
ENSMUSG00000036098	3488
ENSMUSG00000036099	2223
ENSMUSG00000036103	3322
ENSMUSG00000036104	2967
ENSMUSG00000036106	1774
ENSMUSG00000036109	1803
ENSMUSG00000036110	3566
ENSMUSG00000036111	912
ENSMUSG00000036112	758
ENSMUSG00000036114	856
ENSMUSG00000036117	1537
ENSMUSG00000036120	2202
ENSMUSG00000036123	2490
ENSMUSG00000036131	2088
ENSMUSG00000036136	2667
ENSMUSG00000036138	878
ENSMUSG00000036139	1504
ENSMUSG00000036144	2360
ENSMUSG00000036151	541
ENSMUSG00000036155	3100
ENSMUSG00000036158	4114
ENSMUSG00000036160	748
ENSMUSG00000036162	708
ENSMUSG00000036167	3788
ENSMUSG00000036168	359
ENSMUSG00000036169	1751
ENSMUSG00000036172	1281
ENSMUSG00000036180	3492
ENSMUSG00000036181	1560
ENSMUSG00000036185	658
ENSMUSG00000036186	732
ENSMUSG00000036188	2446
ENSMUSG00000036192	2854
ENSMUSG00000036196	2960
ENSMUSG00000036197	4251
ENSMUSG00000036198	964
ENSMUSG00000036199	1251
ENSMUSG00000036202	3195
ENSMUSG00000036206	2668
ENSMUSG00000036208	1956
ENSMUSG00000036211	729
ENSMUSG00000036214	998
ENSMUSG00000036216	531
ENSMUSG00000036218	3622
ENSMUSG00000036223	2637
ENSMUSG00000036225	2614
ENSMUSG00000036231	607
ENSMUSG00000036241	831
ENSMUSG00000036242	3100
ENSMUSG00000036244	1214
ENSMUSG00000036246	692
ENSMUSG00000036249	1434
ENSMUSG00000036251	3918
ENSMUSG00000036256	1158
ENSMUSG00000036257	2728
ENSMUSG00000036264	4380
ENSMUSG00000036270	1280
ENSMUSG00000036273	2828
ENSMUSG00000036275	1920
ENSMUSG00000036278	1274
ENSMUSG00000036281	777
ENSMUSG00000036282	2944
ENSMUSG00000036285	1432
ENSMUSG00000036291	3165
ENSMUSG00000036292	2602
ENSMUSG00000036295	3180
ENSMUSG00000036298	2081
ENSMUSG00000036299	1047
ENSMUSG00000036304	1329
ENSMUSG00000036305	253
ENSMUSG00000036306	1784
ENSMUSG00000036309	654
ENSMUSG00000036315	647
ENSMUSG00000036322	686
ENSMUSG00000036323	764
ENSMUSG00000036327	3285
ENSMUSG00000036330	1221
ENSMUSG00000036333	7402
ENSMUSG00000036334	8438
ENSMUSG00000036339	3000
ENSMUSG00000036352	658
ENSMUSG00000036353	2157
ENSMUSG00000036356	520
ENSMUSG00000036357	5410
ENSMUSG00000036362	2528
ENSMUSG00000036368	1802
ENSMUSG00000036371	1227
ENSMUSG00000036372	794
ENSMUSG00000036376	1278
ENSMUSG00000036377	1272
ENSMUSG00000036381	1672
ENSMUSG00000036390	716
ENSMUSG00000036391	3272
ENSMUSG00000036395	2382
ENSMUSG00000036398	657
ENSMUSG00000036401	830
ENSMUSG00000036402	1125
ENSMUSG00000036403	5537
ENSMUSG00000036411	1802
ENSMUSG00000036412	2975
ENSMUSG00000036422	3852
ENSMUSG00000036427	741
ENSMUSG00000036430	1164
ENSMUSG00000036432	1634
ENSMUSG00000036435	2635
ENSMUSG00000036437	2886
ENSMUSG00000036438	890
ENSMUSG00000036442	1819
ENSMUSG00000036446	2075
ENSMUSG00000036449	651
ENSMUSG00000036450	3531
ENSMUSG00000036452	772
ENSMUSG00000036459	750
ENSMUSG00000036461	4043
ENSMUSG00000036463	1406
ENSMUSG00000036466	3208
ENSMUSG00000036469	3181
ENSMUSG00000036473	4283
ENSMUSG00000036478	5010
ENSMUSG00000036480	2180
ENSMUSG00000036492	631
ENSMUSG00000036499	7836
ENSMUSG00000036500	1641
ENSMUSG00000036501	3343
ENSMUSG00000036502	3311
ENSMUSG00000036503	2027
ENSMUSG00000036504	796
ENSMUSG00000036510	3216
ENSMUSG00000036513	892
ENSMUSG00000036521	438
ENSMUSG00000036523	854
ENSMUSG00000036526	1299
ENSMUSG00000036528	2518
ENSMUSG00000036529	796
ENSMUSG00000036533	1967
ENSMUSG00000036534	1382
ENSMUSG00000036537	1223
ENSMUSG00000036545	1154
ENSMUSG00000036550	2381
ENSMUSG00000036551	1792
ENSMUSG00000036552	1856
ENSMUSG00000036553	3892
ENSMUSG00000036555	952
ENSMUSG00000036557	668
ENSMUSG00000036560	524
ENSMUSG00000036561	2887
ENSMUSG00000036564	916
ENSMUSG00000036565	1032
ENSMUSG00000036568	6579
ENSMUSG00000036570	539
ENSMUSG00000036572	2344
ENSMUSG00000036574	1724
ENSMUSG00000036578	656
ENSMUSG00000036580	3098
ENSMUSG00000036585	418
ENSMUSG00000036586	613
ENSMUSG00000036587	1970
ENSMUSG00000036591	704
ENSMUSG00000036594	745
ENSMUSG00000036596	1294
ENSMUSG00000036598	1288
ENSMUSG00000036599	1548
ENSMUSG00000036602	2493
ENSMUSG00000036606	786
ENSMUSG00000036611	1694
ENSMUSG00000036613	1692
ENSMUSG00000036615	587
ENSMUSG00000036617	2959
ENSMUSG00000036620	652
ENSMUSG00000036622	2469
ENSMUSG00000036632	1206
ENSMUSG00000036634	1916
ENSMUSG00000036636	1006
ENSMUSG00000036639	606
ENSMUSG00000036641	3977
ENSMUSG00000036644	596
ENSMUSG00000036646	769
ENSMUSG00000036647	4457
ENSMUSG00000036655	1383
ENSMUSG00000036658	2104
ENSMUSG00000036661	658
ENSMUSG00000036667	2145
ENSMUSG00000036672	830
ENSMUSG00000036676	2780
ENSMUSG00000036678	1816
ENSMUSG00000036686	2392
ENSMUSG00000036687	627
ENSMUSG00000036693	467
ENSMUSG00000036698	13705
ENSMUSG00000036699	2135
ENSMUSG00000036707	2369
ENSMUSG00000036712	4476
ENSMUSG00000036718	2024
ENSMUSG00000036721	2058
ENSMUSG00000036731	873
ENSMUSG00000036733	1526
ENSMUSG00000036737	1606
ENSMUSG00000036743	1693
ENSMUSG00000036744	2254
ENSMUSG00000036745	2897
ENSMUSG00000036748	1887
ENSMUSG00000036749	1368
ENSMUSG00000036751	362
ENSMUSG00000036752	1214
ENSMUSG00000036760	1209
ENSMUSG00000036764	1289
ENSMUSG00000036766	1390
ENSMUSG00000036768	1039
ENSMUSG00000036769	2723
ENSMUSG00000036770	1329
ENSMUSG00000036775	474
ENSMUSG00000036777	670
ENSMUSG00000036779	4489
ENSMUSG00000036781	476
ENSMUSG00000036782	3064
ENSMUSG00000036790	5380
ENSMUSG00000036792	785
ENSMUSG00000036800	4623
ENSMUSG00000036805	1596
ENSMUSG00000036810	1630
ENSMUSG00000036813	1789
ENSMUSG00000036814	2732
ENSMUSG00000036815	2566
ENSMUSG00000036816	450
ENSMUSG00000036817	746
ENSMUSG00000036819	4355
ENSMUSG00000036820	924
ENSMUSG00000036822	3856
ENSMUSG00000036825	2416
ENSMUSG00000036826	1205
ENSMUSG00000036832	2464
ENSMUSG00000036833	715
ENSMUSG00000036834	6010
ENSMUSG00000036835	488
ENSMUSG00000036840	1968
ENSMUSG00000036845	791
ENSMUSG00000036850	588
ENSMUSG00000036853	698
ENSMUSG00000036854	1330
ENSMUSG00000036855	2661
ENSMUSG00000036856	4194
ENSMUSG00000036858	1283
ENSMUSG00000036860	757
ENSMUSG00000036862	4073
ENSMUSG00000036863	4261
ENSMUSG00000036864	1896
ENSMUSG00000036867	417
ENSMUSG00000036872	4611
ENSMUSG00000036873	545
ENSMUSG00000036875	2959
ENSMUSG00000036879	1013
ENSMUSG00000036880	1515
ENSMUSG00000036882	2551
ENSMUSG00000036885	1866
ENSMUSG00000036887	1040
ENSMUSG00000036890	652
ENSMUSG00000036892	772
ENSMUSG00000036893	1546
ENSMUSG00000036894	6793
ENSMUSG00000036896	1074
ENSMUSG00000036898	1886
ENSMUSG00000036899	2634
ENSMUSG00000036902	4936
ENSMUSG00000036904	3346
ENSMUSG00000036905	1088
ENSMUSG00000036907	2000
ENSMUSG00000036908	1830
ENSMUSG00000036912	2414
ENSMUSG00000036913	5705
ENSMUSG00000036915	930
ENSMUSG00000036916	3863
ENSMUSG00000036918	2028
ENSMUSG00000036921	683
ENSMUSG00000036923	1012
ENSMUSG00000036924	783
ENSMUSG00000036925	632
ENSMUSG00000036928	989
ENSMUSG00000036931	2007
ENSMUSG00000036932	2221
ENSMUSG00000036934	419
ENSMUSG00000036938	796
ENSMUSG00000036940	995
ENSMUSG00000036941	4971
