Feature.ID	baseMean	log2(brain/UHR)	lfcSE	stat	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm	UHR_1.rlog	UHR_2.rlog	brain_1.rlog	brain_2.rlog
AMZ2	248.997	0.414078	0.156974	2.63788	0.00834266	0.0154839	254	263	227	244	213.59	213.44	282.87	286.09	7.74	7.74	8.14	8.16
AMZ2P1	60.2124	1.55365	0.331717	4.68366	2.81804e-06	7.54359e-06	42	32	66	83	35.32	25.97	82.24	97.32	5.16	4.73	6.34	6.58
ANAPC1	68.4375	-1.66537	0.339006	-4.91252	8.99126e-07	2.50559e-06	114	138	35	19	95.86	112	43.61	22.28	6.57	6.79	5.46	4.54
ANAPC10	16.8612	-0.819937	0.623968	-1.31407	0.188823	0.267406	26	26	14	6	21.86	21.1	17.45	7.04	4.41	4.36	4.11	2.97
ANAPC11	446.886	-0.383866	0.122686	-3.12885	0.00175489	0.00356793	577	649	311	331	485.2	526.71	387.54	388.1	8.92	9.04	8.6	8.6
ANAPC13	126.798	0.21498	0.220226	0.97618	0.328975	0.432106	141	143	119	106	118.57	116.05	148.29	124.29	6.89	6.86	7.21	6.96
ANAPC16	207.166	-0.496361	0.179809	-2.76049	0.00577153	0.0109703	266	322	129	156	223.68	261.33	160.75	182.91	7.8	8.03	7.33	7.52
ANAPC2	457.998	0.31636	0.126971	2.49159	0.0127174	0.0228844	497	491	369	474	417.93	398.48	459.81	555.77	8.71	8.64	8.84	9.12
ANAPC4	58.0513	-0.149686	0.322938	-0.463514	0.642996	0.733102	66	82	47	44	55.5	66.55	58.57	51.59	5.8	6.05	5.87	5.69
ANAPC5	698.804	-0.379514	0.100851	-3.76313	0.000167799	0.000381757	913	1001	499	506	767.74	812.38	621.81	593.29	9.58	9.67	9.28	9.21
ANAPC7	371.824	-0.649125	0.134883	-4.81252	1.4904e-06	4.08096e-06	536	564	218	262	450.72	457.72	271.65	307.2	8.81	8.84	8.09	8.26
ANG	52.3481	-4.18882	0.562257	-7.45	9.33424e-14	3.91696e-13	126	114	5	4	105.95	92.52	6.23	4.69	6.67	6.48	2.86	2.54
ANGEL1	254.939	0.352789	0.155847	2.26369	0.0235934	0.0404607	270	272	236	237	227.04	220.75	294.08	277.89	7.83	7.79	8.2	8.12
ANGEL2	89.5574	0.542641	0.268856	2.01833	0.0435565	0.0712899	72	105	83	93	60.54	85.21	103.43	109.04	5.93	6.41	6.69	6.76
ANGPT1	23.0844	-0.411081	0.518434	-0.792927	0.42782	0.537339	28	36	12	21	23.55	29.22	14.95	24.62	4.55	4.85	3.95	4.61
ANGPT2	17.3662	3.25188	0.722482	4.50098	6.76407e-06	1.75342e-05	3	5	26	26	2.52	4.06	32.4	30.49	1.73	2.23	4.89	4.81
ANGPT4	2.04287	0.54116	1.67921	0.32227	0.747248	0.824056	3	1	2	2	2.52	0.81	2.49	2.35	1.17	0.36	1.15	1.1
ANGPTL1	4.52128	-0.559884	1.15124	-0.48633	0.626733	0.718351	7	6	4	2	5.89	4.87	4.98	2.35	2.45	2.24	2.26	1.54
ANGPTL2	288.331	0.906398	0.148645	6.09772	1.07594e-09	3.66915e-09	234	252	293	330	196.77	204.52	365.11	386.93	7.62	7.68	8.51	8.59
ANGPTL4	293.301	1.34765	0.156437	8.61465	7.01568e-18	3.50085e-17	193	208	306	393	162.29	168.81	381.31	460.8	7.35	7.4	8.57	8.84
ANGPTL5	1.72402	0.125433	1.8032	0.0695613	0.944543	0.973721	2	2	1	2	1.68	1.62	1.25	2.35	0.76	0.73	0.57	1.01
ANGPTL6	5.76825	-1.91419	1.12404	-1.70295	0.0885774	0.135903	13	9	2	2	10.93	7.3	2.49	2.35	3.24	2.75	1.63	1.57
ANGPTL7	10.7684	2.69255	0.847551	3.17686	0.00148881	0.00305405	3	4	13	18	2.52	3.25	16.2	21.11	1.69	1.94	3.88	4.23
ANK1	918.141	2.35029	0.0981021	23.9575	7.70978e-127	2.2667e-125	365	364	1187	1357	306.93	295.41	1479.12	1591.1	8.27	8.21	10.53	10.63
ANK2	1814.41	5.49993	0.123014	44.7096	0	0	92	98	2788	3093	77.36	79.53	3474.13	3626.59	6.29	6.33	11.76	11.82
ANK3	951.409	4.3528	0.127043	34.2624	2.84893e-257	2.23014e-255	100	115	1488	1513	84.09	93.33	1854.2	1774.02	6.41	6.56	10.85	10.79
ANKAR	6.3055	1.03174	0.970117	1.06352	0.287547	0.385925	6	4	7	7	5.05	3.25	8.72	8.21	2.38	1.91	3.01	2.94
ANKDD1A	70.1049	2.34434	0.331372	7.07465	1.49831e-12	5.95628e-12	20	36	94	100	16.82	29.22	117.13	117.25	4.14	4.89	6.85	6.85
ANKFN1	3.03894	-0.62657	1.41383	-0.443173	0.65764	0.746844	3	6	1	3	2.52	4.87	1.25	3.52	1.4	2.04	0.88	1.71
ANKFY1	634.708	0.107023	0.105448	1.01493	0.310138	0.410911	760	719	519	571	639.08	583.52	646.73	669.51	9.32	9.19	9.34	9.39
ANKH	1060.32	1.34126	0.0863229	15.5377	1.92762e-54	2.30612e-53	726	727	1185	1334	610.49	590.01	1476.63	1564.14	9.26	9.21	10.53	10.61
ANKHD1	17.6225	-0.425564	0.583253	-0.72964	0.46561	0.574448	23	26	10	15	19.34	21.1	12.46	17.59	4.26	4.38	3.69	4.13
ANKHD1-EIF4EBP3	4.39827	-1.9557	1.29052	-1.51543	0.129663	0.191733	7	10	1	2	5.89	8.12	1.25	2.35	2.4	2.77	1	1.47
ANKIB1	318.185	0.115555	0.143579	0.804819	0.420924	0.530548	386	353	260	288	324.59	286.48	323.99	337.68	8.34	8.16	8.34	8.4
ANKK1	6.5946	1.81819	1.0272	1.77005	0.0767183	0.1195	6	1	8	9	5.05	0.81	9.97	10.55	2.34	0.71	3.13	3.2
ANKLE1	39.4682	-0.688774	0.392787	-1.75355	0.0795068	0.123278	56	62	25	25	47.09	50.32	31.15	29.31	5.55	5.64	4.98	4.89
ANKLE2	449.746	-0.413994	0.124136	-3.33499	0.00085301	0.00179789	644	599	316	322	541.54	486.13	393.77	377.55	9.08	8.92	8.62	8.56
ANKMY1	82.6739	-0.313062	0.271079	-1.15488	0.248141	0.339481	102	120	61	61	85.77	97.39	76.01	71.52	6.42	6.6	6.25	6.16
ANKMY2	125.201	0.440684	0.223495	1.97178	0.0486345	0.078902	128	129	128	110	107.63	104.69	159.5	128.98	6.75	6.71	7.31	7.01
ANKRA2	48.8839	0.178697	0.346692	0.515434	0.60625	0.698272	57	54	40	46	47.93	43.82	49.84	53.94	5.58	5.46	5.64	5.75
ANKRD1	28.493	-3.87917	0.707639	-5.48185	4.20893e-08	1.29258e-07	69	60	3	3	58.02	48.69	3.74	3.52	5.77	5.53	2.25	2.18
ANKRD10	291.895	-0.148383	0.150841	-0.983704	0.325261	0.42838	343	401	211	248	288.43	325.44	262.93	290.78	8.17	8.35	8.04	8.18
ANKRD11	1143.6	-0.0354307	0.0847658	-0.417983	0.67596	0.762866	1445	1356	900	970	1215.1	1100.49	1121.49	1137.34	10.25	10.1	10.13	10.15
ANKRD12	199.202	1.10741	0.178712	6.19662	5.7687e-10	1.99441e-09	146	160	209	242	122.77	129.85	260.44	283.75	6.95	7.03	8.02	8.14
ANKRD13A	224.688	-0.978865	0.173935	-5.62778	1.82543e-08	5.72896e-08	342	380	131	119	287.59	308.4	163.24	139.53	8.16	8.26	7.35	7.13
ANKRD13B	407.362	1.37913	0.129197	10.6747	1.33705e-26	8.78227e-26	266	282	458	517	223.68	228.86	570.71	606.19	7.81	7.84	9.15	9.24
ANKRD13C	132.207	0.728658	0.213427	3.41408	0.000639968	0.00136735	117	124	132	141	98.38	100.63	164.49	165.32	6.63	6.66	7.36	7.36
ANKRD13D	344.531	0.788713	0.136543	5.7763	7.63612e-09	2.46319e-08	294	318	341	382	247.22	258.08	424.92	447.9	7.95	8.01	8.73	8.8
ANKRD16	83.2345	0.253388	0.266755	0.949891	0.342168	0.446414	88	96	70	80	74	77.91	87.23	93.8	6.21	6.29	6.45	6.55
ANKRD17	723.009	0.0201473	0.100493	0.200485	0.841102	0.892577	825	914	609	595	693.74	741.77	758.88	697.65	9.44	9.53	9.57	9.45
ANKRD18A	11.0344	-0.679398	0.752425	-0.902944	0.366556	0.473137	12	21	8	6	10.09	17.04	9.97	7.04	3.34	4.01	3.33	2.91
ANKRD19	193.777	-0.331405	0.178575	-1.85583	0.0634778	0.100749	251	272	140	144	211.07	220.75	174.45	168.84	7.72	7.78	7.45	7.4
ANKRD2	14.2763	3.68388	0.857493	4.2961	1.73826e-05	4.32621e-05	2	3	19	25	1.68	2.43	23.68	29.31	1.3	1.63	4.42	4.71
ANKRD20A4	1.22066	-0.0300908	2.13482	-0.0140952	0.988754	0.990479	1	2	1	1	0.84	1.62	1.25	1.17	0.07	0.47	0.29	0.25
ANKRD20B	1.22066	-0.0300908	2.13482	-0.0140952	0.988754	0.990479	1	2	1	1	0.84	1.62	1.25	1.17	0.07	0.47	0.29	0.25
ANKRD22	1.60403	1.53432	1.9526	0.785784	0.431994	0.540211	1	1	1	3	0.84	0.81	1.25	3.52	0.17	0.14	0.41	1.22
ANKRD23	69.3777	0.256615	0.29141	0.880598	0.378535	0.486421	78	75	61	64	65.59	60.87	76.01	75.04	6.04	5.93	6.24	6.23
ANKRD24	269.697	4.14329	0.222661	18.6081	2.7641e-77	4.72405e-76	33	37	379	468	27.75	30.03	472.27	548.74	4.84	4.95	8.87	9.09
ANKRD26	45.6228	-0.0135457	0.361223	-0.0374995	0.970087	0.990479	52	59	40	35	43.73	47.88	49.84	41.04	5.45	5.58	5.63	5.36
ANKRD26P1	1.82532	0.969293	1.77507	0.546059	0.585025	0.68418	1	2	2	2	0.84	1.62	2.49	2.35	0.32	0.74	1.07	1.02
ANKRD27	224.886	-0.0806346	0.174249	-0.462755	0.64354	0.73359	279	281	153	210	234.61	228.05	190.65	246.23	7.87	7.83	7.58	7.94
ANKRD28	322.805	-0.302439	0.142334	-2.12485	0.0335988	0.0561268	406	458	224	255	341.4	371.7	279.13	298.99	8.41	8.54	8.13	8.22
ANKRD29	37.7736	1.4519	0.413704	3.50952	0.000448914	0.000978485	25	24	37	55	21.02	19.48	46.11	64.49	4.43	4.32	5.51	5.97
ANKRD30A	1.64111	-0.776574	1.89389	-0.410042	0.681775	0.767426	3	2	1	1	2.52	1.62	1.25	1.17	1.04	0.69	0.52	0.48
ANKRD30B	5.82183	-1.52064	1.07806	-1.41053	0.158384	0.228726	8	13	2	3	6.73	10.55	2.49	3.52	2.67	3.21	1.65	1.97
ANKRD30BL	17.7315	-0.544089	0.585933	-0.928585	0.353104	0.458199	25	26	9	15	21.02	21.1	11.21	17.59	4.37	4.38	3.56	4.13
ANKRD30BP2	1.22799	-0.0415279	2.13141	-0.0194838	0.984455	0.990479	2	1	1	1	1.68	0.81	1.25	1.17	0.49	0.05	0.29	0.25
ANKRD31	2.26416	0.237265	1.59998	0.148293	0.882112	0.927046	3	2	3	1	2.52	1.62	3.74	1.17	1.24	0.87	1.58	0.67
ANKRD32	73.2768	-1.33163	0.300604	-4.42985	9.42995e-06	2.40968e-05	124	130	33	36	104.27	105.5	41.12	42.21	6.69	6.71	5.38	5.42
ANKRD33	1.51379	0.545404	1.92985	0.282614	0.777473	0.846251	1	2	1	2	0.84	1.62	1.25	2.35	0.2	0.62	0.44	0.89
ANKRD33B	191.612	1.58588	0.185476	8.5503	1.22768e-17	6.07991e-17	109	123	229	247	91.66	99.82	285.36	289.61	6.53	6.65	8.15	8.17
ANKRD34A	274.99	3.50235	0.192751	18.1703	8.87268e-74	1.4413e-72	53	55	399	438	44.57	44.64	497.19	513.56	5.5	5.51	8.95	8.99
ANKRD34B	4.35717	-0.112423	1.16018	-0.0969012	0.922805	0.958804	5	6	2	5	4.2	4.87	2.49	5.86	2.07	2.23	1.58	2.42
ANKRD34C	30.4067	6.18465	1.09856	5.62979	1.80428e-08	5.66728e-08	1	1	37	63	0.84	0.81	46.11	73.87	0.8	0.76	5.42	6.08
ANKRD35	58.7093	4.77582	0.537675	8.88235	6.54635e-19	3.40231e-18	6	4	99	88	5.05	3.25	123.36	103.18	2.55	2.05	6.89	6.63
ANKRD36	13.9061	0.133141	0.653698	0.203674	0.838609	0.890378	19	13	13	11	15.98	10.55	16.2	12.9	3.98	3.44	3.99	3.7
ANKRD36B	7.22268	-0.236927	0.904557	-0.261926	0.793378	0.857869	7	12	5	6	5.89	9.74	6.23	7.04	2.61	3.21	2.68	2.82
ANKRD36BP1	11.4474	-0.776683	0.72894	-1.0655	0.286652	0.384868	18	17	6	8	15.14	13.8	7.48	9.38	3.87	3.75	2.99	3.26
ANKRD37	32.2216	-0.117248	0.432507	-0.27109	0.786322	0.851789	44	37	28	23	37	30.03	34.89	26.97	5.2	4.91	5.12	4.77
ANKRD39	134.752	0.734773	0.212461	3.45839	0.000543418	0.00117092	121	124	129	150	101.75	100.63	160.75	175.88	6.67	6.66	7.32	7.45
ANKRD40	639.201	1.5317	0.110097	13.9123	5.33032e-44	5.30577e-43	381	415	719	856	320.38	336.8	895.95	1003.67	8.33	8.4	9.81	9.97
ANKRD42	41.2637	0.675159	0.377755	1.78729	0.0738905	0.115455	36	41	41	43	30.27	33.27	51.09	50.42	4.94	5.07	5.66	5.64
ANKRD43	288.836	6.34515	0.374665	16.9355	2.46098e-64	3.45993e-63	9	8	436	510	7.57	6.49	543.3	597.98	3.1	2.92	9.07	9.21
ANKRD44	27.4137	0.549597	0.464993	1.18195	0.237227	0.326477	23	31	25	29	19.34	25.16	31.15	34	4.3	4.66	4.95	5.07
ANKRD45	6.29584	3.20312	1.19965	2.67004	0.00758415	0.0141785	1	2	6	13	0.84	1.62	7.48	15.24	0.63	1.1	2.71	3.6
ANKRD46	139.225	2.07936	0.224014	9.28228	1.65892e-20	9.12548e-20	65	64	176	197	54.66	51.94	219.31	230.99	5.79	5.72	7.77	7.84
ANKRD49	37.5146	-0.878305	0.419264	-2.09487	0.0361821	0.0600625	52	66	16	28	43.73	53.56	19.94	32.83	5.44	5.72	4.37	5.04
ANKRD5	27.2086	-1.21284	0.496934	-2.44065	0.0146608	0.0260707	43	49	17	10	36.16	39.77	21.18	11.73	5.15	5.28	4.42	3.65
ANKRD50	149.21	-0.865447	0.20964	-4.12824	3.65547e-05	8.83873e-05	213	254	87	88	179.11	206.14	108.41	103.18	7.48	7.68	6.77	6.7
ANKRD52	1026	-0.244846	0.0850575	-2.87859	0.0039946	0.00775281	1348	1346	745	810	1133.53	1092.37	928.35	949.74	10.15	10.09	9.86	9.89
ANKRD53	9.67174	2.07907	0.842891	2.46659	0.0136407	0.024419	3	6	11	15	2.52	4.87	13.71	17.59	1.7	2.4	3.66	3.98
ANKRD54	230.119	0.198958	0.16706	1.19094	0.233679	0.322221	258	261	181	227	216.95	211.82	225.54	266.16	7.76	7.73	7.82	8.05
ANKRD55	3.96216	1.14243	1.22875	0.929747	0.352502	0.457512	2	4	5	4	1.68	3.25	6.23	4.69	1.15	1.75	2.42	2.12
ANKRD56	38.9472	4.49402	0.618145	7.27017	3.59036e-13	1.46904e-12	5	3	67	56	4.2	2.43	83.49	65.66	2.31	1.73	6.3	5.96
ANKRD57	96.6088	-2.51678	0.507759	-4.95663	7.1725e-07	2.01529e-06	181	218	14	34	152.2	176.92	17.45	39.87	7.23	7.45	4.22	5.34
ANKRD58	8.32525	-0.572965	0.858182	-0.66765	0.504357	0.61393	14	10	7	4	11.77	8.12	8.72	4.69	3.47	3.02	3.1	2.4
ANKRD6	105.203	2.53305	0.279826	9.05226	1.40044e-19	7.45361e-19	43	32	126	172	36.16	25.97	157.01	201.67	5.2	4.74	7.28	7.64
ANKRD7	1.62243	1.54934	1.92675	0.804123	0.421326	0.530548	1	1	2	2	0.84	0.81	2.49	2.35	0.21	0.19	0.95	0.91
ANKRD9	464.688	0.137479	0.124309	1.10594	0.268752	0.36422	557	514	367	440	468.38	417.15	457.32	515.91	8.87	8.71	8.84	9.01
ANKS1A	395.181	0.269783	0.128329	2.10228	0.0355289	0.0590658	423	445	331	385	355.7	361.15	412.46	451.42	8.48	8.5	8.69	8.82
ANKS1B	281.982	7.60069	0.561291	13.5415	8.90085e-42	8.46983e-41	3	4	447	482	2.52	3.25	557.01	565.15	1.9	2.12	9.1	9.12
ANKS3	155.329	0.656654	0.198152	3.31389	0.000920067	0.0019328	145	147	146	169	121.93	119.3	181.93	198.16	6.93	6.9	7.5	7.63
ANKS4B	18.6158	-1.62851	0.612082	-2.66061	0.00779993	0.0145561	35	33	9	6	29.43	26.78	11.21	7.04	4.82	4.69	3.54	2.97
ANKS6	371.144	0.167043	0.130746	1.27761	0.201386	0.28311	407	440	314	336	342.24	357.09	391.28	393.97	8.42	8.48	8.61	8.62
ANKZF1	411.956	-0.759538	0.12927	-5.87558	4.21362e-09	1.38503e-08	631	623	233	274	530.61	505.61	290.34	321.27	9.05	8.98	8.18	8.33
ANLN	479.865	-0.599605	0.123464	-4.85653	1.19461e-06	3.29857e-06	647	754	321	310	544.06	611.92	400	363.48	9.09	9.26	8.64	8.51
ANO1	24.9681	0.912254	0.487548	1.87111	0.0613303	0.0976255	19	23	26	28	15.98	18.67	32.4	32.83	4.04	4.25	4.99	5.01
ANO10	163.118	-0.213317	0.193067	-1.10489	0.269209	0.364711	211	213	123	127	177.43	172.86	153.27	148.91	7.47	7.43	7.26	7.22
ANO2	13.7896	0.553857	0.655893	0.844432	0.398428	0.508003	14	13	16	11	11.77	10.55	19.94	12.9	3.58	3.44	4.26	3.7
ANO3	44.1958	5.7154	0.791703	7.21913	5.23225e-13	2.12757e-12	2	2	63	81	1.68	1.62	78.5	94.97	1.37	1.33	6.21	6.48
ANO4	48.1452	2.60362	0.400957	6.49353	8.38506e-11	3.04332e-10	13	20	65	72	10.93	16.23	81	84.42	3.55	4.07	6.3	6.36
ANO5	53.6986	2.25736	0.362843	6.22131	4.93011e-10	1.71257e-09	21	24	72	75	17.66	19.48	89.72	87.94	4.2	4.33	6.46	6.43
ANO6	258.525	-1.83853	0.171171	-10.7409	6.5416e-27	4.32815e-26	492	486	91	96	413.72	394.42	113.4	112.56	8.69	8.62	6.84	6.82
ANO7	25.887	-0.528514	0.482374	-1.09565	0.273232	0.36865	36	38	19	16	30.27	30.84	23.68	18.76	4.91	4.93	4.57	4.26
ANO8	490.782	1.13836	0.119896	9.49458	2.2111e-21	1.24732e-20	385	357	527	591	323.75	289.73	656.7	692.96	8.34	8.18	9.36	9.43
ANO9	61.473	-5.64043	0.769516	-7.32984	2.30431e-13	9.51643e-13	139	153	2	2	116.88	124.17	2.49	2.35	6.81	6.9	1.92	1.85
ANP32A	674.335	-0.617613	0.104018	-5.93758	2.89258e-09	9.58417e-09	958	1020	405	477	805.58	827.8	504.67	559.29	9.65	9.69	8.98	9.13
ANP32B	727.554	-2.18086	0.110755	-19.6908	2.5848e-86	4.90209e-85	1400	1487	219	216	1177.25	1206.8	272.9	253.26	10.2	10.23	8.1	7.99
ANP32C	10.2947	-0.350413	0.756718	-0.463069	0.643315	0.733377	12	16	7	8	10.09	12.99	8.72	9.38	3.34	3.65	3.16	3.25
ANP32D	2.56865	-0.858658	1.53343	-0.559958	0.575508	0.683395	4	4	2	1	3.36	3.25	2.49	1.17	1.59	1.56	1.31	0.76
ANP32E	356.329	-0.502917	0.136266	-3.6907	0.000223638	0.00050207	518	493	237	251	435.58	400.1	295.33	294.3	8.77	8.64	8.21	8.2
ANPEP	246.094	-3.99988	0.25102	-15.9345	3.64995e-57	4.641e-56	552	570	18	30	464.17	462.59	22.43	35.18	8.85	8.84	4.57	5.18
ANTXR1	279.728	-0.422319	0.150522	-2.80569	0.00502091	0.00962391	377	399	187	209	317.02	323.82	233.02	245.06	8.31	8.34	7.87	7.94
ANTXR2	109.544	-3.52597	0.336225	-10.487	9.91663e-26	6.38572e-25	247	241	12	17	207.7	195.59	14.95	19.93	7.68	7.59	4.01	4.38
ANUBL1	35.6459	2.25516	0.483476	4.66448	3.09394e-06	8.25544e-06	8	22	58	39	6.73	17.85	72.27	45.73	2.92	4.19	6.12	5.48
ANXA1	186.735	-3.2172	0.24373	-13.1999	8.78591e-40	8.03102e-39	414	402	30	30	348.13	326.25	37.38	35.18	8.43	8.34	5.26	5.18
ANXA10	1.64111	-0.776574	1.89389	-0.410042	0.681775	0.767426	3	2	1	1	2.52	1.62	1.25	1.17	1.04	0.69	0.52	0.48
ANXA11	747.148	-0.517438	0.100228	-5.16263	2.4351e-07	7.07184e-07	1090	1039	478	540	916.58	843.22	595.64	633.16	9.84	9.72	9.22	9.31
ANXA13	1.52112	0.534715	1.92724	0.27745	0.781434	0.848233	2	1	1	2	1.68	0.81	1.25	2.35	0.64	0.18	0.44	0.89
ANXA2	680.471	-4.36746	0.167868	-26.0173	3.1572e-149	1.16841e-147	1529	1614	59	45	1285.73	1309.87	73.52	52.76	10.32	10.35	6.22	5.76
ANXA2P1	17.5846	-3.41459	0.814335	-4.19311	2.75159e-05	6.73019e-05	35	43	2	3	29.43	34.9	2.49	3.52	4.77	5.01	1.81	2.12
ANXA2P2	330.979	-5.0093	0.278686	-17.9747	3.07339e-72	4.88812e-71	752	803	16	17	632.35	651.69	19.94	19.93	9.29	9.34	4.41	4.4
ANXA2P3	57.8186	-4.03316	0.516171	-7.8136	5.55755e-15	2.45851e-14	123	141	7	4	103.43	114.43	8.72	4.69	6.65	6.79	3.27	2.56
ANXA3	30.1569	-1.07746	0.460992	-2.33725	0.019426	0.0338545	49	50	18	14	41.2	40.58	22.43	16.42	5.34	5.32	4.51	4.09
ANXA4	141.54	-2.07424	0.234536	-8.84404	9.23192e-19	4.77459e-18	273	281	41	49	229.56	228.05	51.09	57.45	7.83	7.82	5.7	5.86
ANXA5	792.784	-2.23387	0.106747	-20.9268	3.05368e-97	6.59332e-96	1554	1612	228	232	1306.75	1308.25	284.11	272.02	10.35	10.35	8.15	8.09
ANXA6	1106.73	1.08946	0.0843126	12.9217	3.39738e-38	2.97948e-37	833	881	1169	1326	700.47	714.99	1456.69	1554.76	9.45	9.48	10.51	10.6
ANXA7	395.039	0.248844	0.130189	1.91141	0.0559519	0.0897855	427	447	367	342	359.06	362.77	457.32	401	8.49	8.5	8.84	8.65
ANXA9	39.391	-0.00966427	0.39887	-0.0242291	0.98067	0.990479	37	59	32	33	31.11	47.88	39.88	38.69	4.97	5.57	5.32	5.27
AOAH	9.41109	3.8279	1.08532	3.52697	0.000420339	0.00091915	1	2	16	13	0.84	1.62	19.94	15.24	0.7	1.17	4.07	3.72
AOC2	30.7581	0.528623	0.43838	1.20586	0.227873	0.315244	28	33	32	28	23.55	26.78	39.88	32.83	4.58	4.75	5.3	5.03
AOC3	42.3212	-0.728016	0.388668	-1.87311	0.0610538	0.0971936	61	67	20	33	51.29	54.38	24.92	38.69	5.67	5.75	4.68	5.28
AOX1	37.7187	-2.47467	0.478549	-5.1712	2.32599e-07	6.7653e-07	68	87	11	8	57.18	70.61	13.71	9.38	5.8	6.09	3.85	3.37
AOX2P	1.73508	0.151528	1.82057	0.0832313	0.933668	0.966964	1	3	2	1	0.84	2.43	2.49	1.17	0.28	1.03	1.03	0.49
AP1AR	96.7172	0.112152	0.249673	0.449196	0.65329	0.742791	110	115	87	79	92.5	93.33	108.41	92.63	6.53	6.55	6.76	6.53
AP1B1	1188.59	0.604223	0.0845709	7.14458	9.02701e-13	3.63027e-12	1068	1218	1113	1263	898.08	988.49	1386.91	1480.89	9.81	9.95	10.44	10.53
AP1G1	448.237	-0.158494	0.120413	-1.31625	0.188089	0.266466	556	589	346	355	467.54	478.01	431.15	416.24	8.87	8.9	8.75	8.7
AP1G2	596.617	0.186576	0.110863	1.68294	0.0923866	0.141087	689	662	478	575	579.38	537.26	595.64	674.2	9.18	9.07	9.22	9.4
AP1M1	687.312	0.203814	0.100324	2.03157	0.0421977	0.0692447	765	782	571	648	643.29	634.65	711.52	759.79	9.33	9.31	9.47	9.57
AP1M2	55.5195	-5.48839	0.774279	-7.08839	1.35685e-12	5.4041e-12	127	136	3	1	106.79	110.37	3.74	1.17	6.68	6.73	2.27	1.36
AP1S1	497.65	0.203113	0.115652	1.75624	0.0790474	0.122671	530	591	423	459	445.68	479.64	527.1	538.18	8.8	8.91	9.04	9.07
AP1S2	118.11	0.0389877	0.225084	0.173214	0.862484	0.910139	141	141	99	99	118.57	114.43	123.36	116.08	6.89	6.84	6.95	6.86
AP1S3	13.9335	0.491306	0.649261	0.756716	0.44922	0.557262	16	12	12	15	13.45	9.74	14.95	17.59	3.75	3.34	3.89	4.1
AP2A1	1557.84	0.876593	0.0743983	11.7824	4.80787e-32	3.64218e-31	1325	1335	1565	1777	1114.19	1083.44	1950.15	2083.56	10.12	10.08	10.93	11.02
AP2A2	1373	1.94933	0.079597	24.49	1.8886e-132	5.85096e-131	655	713	1748	1863	550.79	578.65	2178.19	2184.4	9.11	9.18	11.09	11.09
AP2B1	1720.95	0.578988	0.0714004	8.10903	5.10244e-16	2.35066e-15	1623	1720	1601	1815	1364.77	1395.9	1995.01	2128.12	10.41	10.45	10.96	11.05
AP2M1	3302.39	0.691963	0.0597312	11.5846	4.93177e-31	3.64744e-30	2910	3208	3212	3545	2447.01	2603.51	4002.48	4156.57	11.26	11.35	11.97	12.02
AP2S1	723.144	-0.228161	0.0983536	-2.3198	0.0203517	0.035335	906	984	528	575	761.85	798.58	657.94	674.2	9.57	9.64	9.36	9.4
AP3B1	169.131	-1.71739	0.215452	-7.97109	1.57277e-15	7.10115e-15	294	335	52	79	247.22	271.88	64.8	92.63	7.94	8.08	6.04	6.54
AP3B2	498.885	5.75279	0.241176	23.8531	9.39988e-126	2.70916e-124	21	23	764	859	17.66	18.67	952.02	1007.19	4.22	4.3	9.89	9.97
AP3D1	1779.29	0.156887	0.0682771	2.2978	0.021573	0.0372446	2009	2065	1512	1593	1689.36	1675.89	1884.11	1867.82	10.72	10.71	10.88	10.87
AP3M1	198.986	-1.17903	0.184695	-6.38365	1.72913e-10	6.15368e-10	315	354	94	108	264.88	287.3	117.13	126.63	8.05	8.16	6.88	6.99
AP3M2	264.134	1.40528	0.168707	8.32966	8.10748e-17	3.86227e-16	165	186	271	366	138.75	150.95	337.69	429.14	7.12	7.24	8.4	8.74
AP3S1	101.55	0.115454	0.242814	0.475484	0.634442	0.725567	120	116	81	94	100.91	94.14	100.93	110.22	6.66	6.56	6.66	6.78
AP3S2	403.089	0.809156	0.13106	6.17396	6.66024e-10	2.29596e-09	331	379	389	462	278.34	307.58	484.73	541.7	8.12	8.27	8.92	9.08
AP4B1	154.418	-0.000869191	0.201596	-0.00431155	0.99656	0.997084	178	196	135	120	149.68	159.07	168.22	140.7	7.23	7.31	7.39	7.14
AP4E1	70.7187	-0.862779	0.297369	-2.90137	0.00371529	0.00724696	106	115	42	41	89.14	93.33	52.34	48.07	6.47	6.53	5.72	5.6
AP4M1	71.6667	-0.279685	0.292013	-0.957781	0.338173	0.442173	101	89	55	52	84.93	72.23	68.54	60.97	6.4	6.17	6.1	5.94
AP4S1	28.8263	2.19014	0.502411	4.35925	1.30506e-05	3.28937e-05	16	9	42	36	13.45	7.3	52.34	42.21	3.8	3.01	5.65	5.35
APAF1	93.2951	-0.0348501	0.25816	-0.134994	0.892617	0.935501	105	124	66	87	88.29	100.63	82.24	102.01	6.47	6.65	6.37	6.67
APBA1	742.176	7.21719	0.307542	23.4673	8.79908e-122	2.43279e-120	7	17	1197	1243	5.89	13.8	1491.58	1457.44	2.86	3.89	10.53	10.5
APBA2	1307.67	3.59878	0.0985993	36.499	1.14942e-291	1.18185e-289	233	250	1863	2141	195.93	202.89	2321.49	2510.36	7.62	7.67	11.18	11.29
